,map equation centrality rank
0,12403
1,10014
2,1997
3,12565
4,10785
5,9698
6,9321
7,6603
8,9982
9,4048
10,4581
11,9660
12,8034
13,8829
14,8060
15,11965
16,3716
17,4177
18,5506
19,8830
20,8035
21,9298
22,8210
23,5799
24,883
25,11767
26,9066
27,9488
28,9965
29,12154
30,9068
31,7337
32,5089
33,426
34,13302
35,8065
36,10379
37,3428
38,12907
39,6447
40,8477
41,6448
42,5524
43,11482
44,10812
45,5807
46,5387
47,9301
48,9071
49,5723
50,9209
51,7343
52,10814
53,11818
54,3752
55,12962
56,4690
57,11490
58,7596
59,8713
60,10817
61,9303
62,10818
63,5088
64,8072
65,8990
66,5781
67,2832
68,12104
69,9881
70,9689
71,12483
72,12755
73,7444
74,4563
75,6644
76,13306
77,7597
78,4817
79,7281
80,11497
81,9765
82,8040
83,4286
84,6645
85,8073
86,3897
87,4066
88,6774
89,1887
90,9626
91,6460
92,12351
93,6649
94,12086
95,9624
96,8707
97,8195
98,7833
99,8590
100,8591
101,7710
102,5212
103,2694
104,7835
105,9686
106,3151
107,9617
108,11503
109,4322
110,5498
111,12354
112,4374
113,9077
114,10835
115,10838
116,4890
117,9685
118,8078
119,3830
120,12356
121,8291
122,6788
123,4566
124,10080
125,9308
126,2093
127,7277
128,6610
129,5336
130,11737
131,8840
132,5244
133,4815
134,5882
135,7648
136,11514
137,9309
138,12738
139,8042
140,6427
141,5749
142,3631
143,4319
144,8179
145,5215
146,11778
147,3653
148,4325
149,12736
150,7276
151,8844
152,4151
153,7156
154,11144
155,10506
156,10850
157,12361
158,3613
159,11522
160,7523
161,6799
162,7323
163,3842
164,8605
165,10853
166,12261
167,9457
168,8169
169,8168
170,8607
171,7237
172,10501
173,3497
174,13182
175,4889
176,8087
177,5872
178,6129
179,6018
180,6382
181,6482
182,11835
183,5567
184,5991
185,9232
186,9910
187,10499
188,8504
189,7894
190,7800
191,9180
192,12668
193,4645
194,3902
195,5374
196,4798
197,9218
198,11724
199,2828
200,7801
201,8093
202,6766
203,7802
204,6870
205,4305
206,4564
207,9682
208,9756
209,13036
210,9902
211,10077
212,3828
213,10489
214,7246
215,9444
216,9443
217,2998
218,9440
219,7005
220,10487
221,7803
222,11097
223,11092
224,8049
225,5669
226,3661
227,7804
228,9434
229,6745
230,4823
231,4222
232,8050
233,7127
234,12712
235,8925
236,12371
237,10045
238,2723
239,4576
240,7706
241,7318
242,1778
243,10893
244,6681
245,7619
246,12900
247,8617
248,12953
249,8301
250,3579
251,5918
252,10042
253,9211
254,7805
255,9831
256,9579
257,7417
258,8273
259,7664
260,12375
261,8849
262,10894
263,6746
264,9908
265,8269
266,8303
267,5098
268,5095
269,2458
270,7069
271,9317
272,10898
273,10482
274,10903
275,9828
276,11694
277,12653
278,5887
279,10481
280,4706
281,4940
282,10360
283,7624
284,11686
285,10039
286,5169
287,5889
288,6488
289,11685
290,7074
291,6260
292,4586
293,8887
294,5642
295,9100
296,12390
297,7050
298,11071
299,7332
300,12391
301,10906
302,6126
303,10471
304,10472
305,6860
