,map equation centrality rank
0,106
1,836
2,9
3,471
4,66
5,54
6,14
7,650
8,53
9,46
10,435
11,3
12,49
13,135
14,10
15,1
16,237
17,110
18,4
19,857
20,287
21,2
22,8
23,270
24,802
25,271
26,153
27,268
28,154
29,101
30,806
31,102
32,7
33,767
34,765
35,72
36,598
37,924
38,44
39,138
40,545
41,88
42,15
43,847
44,17
45,953
46,36
47,171
48,330
49,29
50,42
51,810
52,811
53,257
54,734
55,258
56,115
57,313
58,315
59,238
60,81
61,999
62,25
63,69
64,490
65,77
66,829
67,103
68,230
69,574
70,59
71,930
72,932
73,73
74,617
75,918
76,239
77,620
78,16
79,739
80,21
81,430
82,11
83,13
84,244
85,221
86,22
87,554
88,858
89,232
90,90
91,579
92,71
93,130
94,468
95,269
96,785
97,262
98,19
99,673
100,584
101,234
102,37
103,895
104,30
105,31
106,1015
107,67
108,474
109,207
110,83
111,380
112,0
113,76
114,724
115,96
116,479
117,32
118,541
119,18
120,591
121,285
122,24
123,797
124,114
125,310
126,165
127,79
128,967
129,321
130,91
131,609
132,887
133,293
134,35
135,755
136,12
137,480
138,448
139,777
140,651
141,256
142,255
143,152
144,41
145,39
146,392
147,585
148,127
149,64
150,28
151,804
152,78
153,158
154,843
155,6
156,710
157,504
158,213
159,807
160,124
161,395
162,194
163,344
164,346
165,51
166,592
167,98
168,732
169,20
170,654
171,719
172,125
173,404
174,196
175,421
176,733
177,27
178,680
179,150
180,236
181,605
182,377
183,129
184,457
185,408
186,660
187,38
188,188
189,5
190,886
191,174
192,853
193,611
194,838
195,662
196,900
197,163
198,943
199,917
200,889
201,903
202,737
203,160
204,107
205,161
206,55
207,781
208,56
209,212
210,506
211,192
212,403
213,126
214,23
215,242
216,147
217,243
218,331
219,134
220,509
221,466
222,580
223,911
224,304
225,222
226,223
227,537
228,276
229,34
230,277
231,441
232,206
233,314
234,951
235,1007
236,473
237,833
238,588
239,112
240,925
241,113
242,1021
243,61
244,941
245,382
246,444
247,57
248,786
249,955
250,700
251,43
252,818
253,144
254,595
255,227
256,177
257,334
258,45
259,1003
260,170
261,1004
262,241
263,633
264,328
265,979
266,63
267,60
268,933
269,93
270,686
271,249
272,273
273,823
274,274
275,729
276,782
277,172
278,1011
279,629
280,708
281,709
282,156
283,805
284,935
285,763
286,248
287,119
288,342
289,936
290,26
291,322
292,298
293,299
294,715
295,601
296,419
297,181
298,349
299,952
300,62
301,963
302,964
303,954
304,197
305,401
306,85
307,292
308,884
309,186
310,187
311,84
312,425
313,80
314,987
315,683
316,131
317,488
318,360
319,776
320,40
321,497
322,854
323,855
324,494
325,500
326,219
327,50
328,498
329,501
330,1016
331,261
332,132
333,575
334,527
335,361
336,324
337,325
338,841
339,665
340,306
341,922
342,111
343,553
344,140
345,99
346,761
347,65
348,438
349,669
350,534
351,988
352,327
353,764
354,100
355,768
356,283
357,743
358,744
359,48
360,512
361,291
362,876
363,105
364,636
365,1009
366,279
367,834
368,772
369,235
370,590
371,381
372,280
373,835
374,195
375,412
376,136
377,245
378,648
379,443
380,305
381,913
382,87
383,569
384,224
385,225
386,33
387,608
388,82
389,336
390,182
391,286
392,204
393,475
394,870
395,337
396,173
397,756
398,919
399,183
400,295
401,449
402,121
403,247
404,250
405,842
406,151
407,166
408,317
409,167
410,318
411,890
412,74
413,191
414,184
415,414
416,343
417,536
418,137
419,632
420,788
421,599
422,600
423,789
424,70
425,516
426,770
427,940
428,878
429,965
430,1019
431,422
432,722
433,52
434,658
435,795
436,397
437,97
438,118
439,977
440,986
441,647
442,735
443,145
444,610
445,92
446,851
447,139
448,547
449,89
450,573
451,164
452,902
453,888
454,252
455,359
456,973
457,308
458,727
459,905
460,407
461,1018
462,323
463,974
464,528
465,75
466,695
467,507
468,363
469,266
470,109
471,551
472,367
473,368
474,434
475,290
476,762
477,133
478,910
479,303
480,1014
481,143
482,583
483,406
484,674
485,233
486,586
487,971
488,180
489,375
490,698
491,1006
492,278
493,169
494,720
495,721
496,879
497,746
498,478
499,914
500,645
501,68
502,481
503,927
504,796
505,302
506,562
507,47
508,447
509,915
510,387
511,120
512,837
513,332
514,428
515,800
516,754
517,394
518,576
519,294
520,335
521,185
522,157
523,613
524,871
525,637
526,702
527,265
528,779
529,626
530,757
531,920
532,436
533,689
534,341
535,652
536,210
537,496
538,288
539,959
540,653
541,505
542,1000
543,218
544,533
545,216
546,990
547,589
548,508
549,731
550,86
551,347
552,128
553,420
554,455
555,602
556,603
557,352
558,571
559,848
560,108
561,880
562,644
563,353
564,881
565,882
566,122
567,116
568,966
569,426
570,607
571,205
572,275
573,828
574,168
575,942
576,399
577,723
578,492
579,462
580,978
581,725
582,146
583,615
584,618
585,868
586,994
587,701
588,281
589,220
590,95
591,253
592,214
593,529
594,694
595,621
596,316
597,465
598,365
599,148
600,628
601,1012
602,267
603,630
604,623
605,202
606,437
607,816
608,388
609,846
610,960
611,961
612,893
613,300
614,372
615,716
616,319
617,320
618,860
619,477
620,376
621,149
622,638
623,246
624,791
625,747
626,301
627,849
628,817
629,699
630,898
631,749
632,863
633,482
634,445
635,593
636,1024
637,594
638,819
639,484
640,798
641,446
642,526
643,472
644,821
645,550
646,389
647,228
648,552
649,432
650,1017
651,778
652,684
653,391
654,703
655,525
656,578
657,338
658,493
659,339
660,326
661,450
662,451
663,707
664,783
665,309
666,619
667,597
668,296
669,297
670,282
671,159
672,544
673,691
674,542
675,892
676,396
677,409
678,894
679,418
680,718
681,263
682,693
683,226
684,635
685,655
686,604
687,264
688,773
689,411
690,657
691,975
692,520
693,572
694,284
695,850
696,659
697,402
698,379
699,251
700,685
701,459
702,94
703,687
704,1002
705,356
706,357
707,753
708,663
709,523
710,867
711,614
712,972
713,178
714,736
715,503
716,945
717,946
718,872
719,58
720,830
721,104
722,815
723,548
724,666
725,117
726,985
727,998
728,668
729,844
730,909
731,538
732,311
733,312
734,949
735,405
736,713
737,670
738,671
739,766
740,950
741,714
742,912
743,141
744,717
745,769
746,980
747,896
748,962
749,832
750,208
751,996
752,624
753,643
754,794
755,679
756,646
757,726
758,883
759,384
760,539
761,259
762,566
763,751
764,386
765,904
766,568
767,956
768,329
769,989
770,176
771,333
772,991
773,929
774,839
775,957
776,476
777,198
778,822
779,272
780,229
781,577
782,704
783,873
784,254
785,705
786,801
787,560
788,627
789,758
790,948
791,907
792,908
793,587
794,803
795,730
796,452
797,217
798,531
799,1013
800,845
801,938
802,649
803,692
804,453
805,454
806,417
807,824
808,992
809,634
810,351
811,546
812,570
813,518
814,697
815,790
816,519
817,423
818,656
819,809
820,456
821,354
822,862
823,682
824,370
825,606
826,522
827,775
828,458
829,661
830,398
831,374
832,461
833,355
834,612
835,916
836,688
837,358
838,812
839,813
840,840
841,993
842,869
843,738
844,463
845,640
846,664
847,1020
848,1010
849,362
850,530
851,201
852,921
853,549
854,596
855,366
856,622
857,289
858,874
859,369
860,891
861,469
862,581
863,696
864,741
865,203
866,787
867,440
868,559
869,371
870,373
871,190
872,193
873,123
874,939
875,877
876,981
877,1008
878,745
879,861
880,792
881,926
882,410
883,513
884,215
885,383
886,385
887,565
888,1022
889,260
890,750
891,142
892,413
893,752
894,340
895,820
896,467
897,631
898,672
899,799
900,429
901,969
902,901
903,179
904,175
905,199
906,390
907,524
908,984
909,556
910,155
911,616
912,582
913,780
914,947
915,231
916,535
917,439
918,567
919,189
920,393
921,502
922,934
923,784
924,511
925,711
926,997
927,712
928,415
929,540
930,808
931,875
932,345
933,416
934,162
935,348
936,209
937,514
938,1005
939,350
940,982
941,517
942,995
943,897
944,639
945,485
946,825
947,681
948,486
949,424
950,211
951,487
952,521
953,826
954,827
955,460
956,865
957,866
958,489
959,1001
960,491
961,968
962,510
963,899
964,240
965,495
966,690
967,400
968,931
969,499
970,958
971,944
972,427
973,200
974,464
975,831
976,856
977,814
978,431
979,906
980,706
981,364
982,532
983,667
984,759
985,760
986,433
987,976
988,555
989,740
990,923
991,859
992,557
993,558
994,937
995,470
996,970
997,742
998,675
999,676
1000,677
1001,442
1002,561
1003,771
1004,641
1005,543
1006,983
1007,378
1008,678
1009,793
1010,642
1011,563
1012,748
1013,307
1014,774
1015,564
1016,728
1017,1023
1018,885
1019,864
1020,928
1021,515
1022,483
1023,625
1024,852
