,map equation centrality rank
0,1883
1,1267
2,2516
3,1516
4,2506
5,1882
6,1514
7,1836
8,1837
9,3864
10,919
11,1839
12,1178
13,1376
14,242
15,593
16,233
17,153
18,1986
19,1987
20,1988
21,1989
22,951
23,1967
24,4101
25,27
26,22
27,17
28,321
29,16
30,30
31,8
32,43
33,24
34,18
35,1136
36,36
37,49
38,34
39,4
40,45
41,15
42,44
43,5
44,23
45,41
46,3
47,26
48,2708
49,13
50,37
51,33
52,11
53,10
54,38
55,7
56,35
57,228
58,48
59,31
60,9
61,42
62,40
63,39
64,29
65,0
66,1
67,6
68,28
69,2
70,32
71,19
72,20
73,14
74,21
75,51
76,128
77,1026
78,596
79,2965
80,603
81,314
82,1885
83,1076
84,1996
85,1116
86,3450
87,959
88,824
89,2000
90,2001
91,842
92,1702
93,2850
94,1383
95,3472
96,4153
97,1304
98,4113
99,486
100,1644
101,996
102,2073
103,445
104,2132
105,2807
106,489
107,707
108,3025
109,1450
110,58
111,59
112,60
113,84
114,62
115,63
116,135
117,64
118,120
119,55
120,25
121,65
122,152
123,61
124,124
125,132
126,56
127,71
128,50
129,66
130,121
131,134
132,54
133,57
134,12
135,122
136,85
137,70
138,53
139,52
140,67
141,79
142,83
143,136
144,123
145,68
146,69
147,75
148,72
149,133
150,125
151,86
152,73
153,3414
154,1572
155,2657
156,955
157,725
158,1315
159,1569
160,3405
161,4110
162,661
163,1985
164,4118
165,531
166,953
167,571
168,3967
169,1226
170,906
171,1221
172,2365
173,1814
174,377
175,3059
176,3063
177,559
178,3624
179,164
180,3014
181,676
182,359
183,1857
184,2423
185,2075
186,2424
187,1743
188,604
189,863
190,773
191,548
192,256
193,1370
194,774
195,145
196,1744
197,1416
198,1373
199,1970
200,1298
201,1968
202,1299
203,1712
204,1105
205,4100
206,855
207,1635
208,998
209,1636
210,1144
211,1590
212,2701
213,608
214,2987
215,1445
216,714
217,3284
218,1534
219,172
220,838
221,2034
222,743
223,393
224,1592
225,1595
226,2713
227,643
228,376
229,2359
230,1807
231,165
232,1478
233,3817
234,344
235,348
236,350
237,357
238,343
239,313
240,355
241,346
242,347
243,345
244,349
245,358
246,351
247,352
248,353
249,354
250,78
251,356
252,2852
253,1699
254,149
255,2878
256,2150
257,1669
258,1663
259,589
260,126
261,475
262,537
263,2060
264,1358
265,285
266,3319
267,3320
268,634
269,1251
270,3163
271,1254
272,461
273,462
274,463
275,320
276,464
277,465
278,466
279,467
280,184
281,468
282,469
283,470
284,471
285,472
286,473
287,496
288,1183
289,1728
290,369
291,379
292,1407
293,600
294,1050
295,1029
296,699
297,933
298,1842
299,2435
300,480
301,141
302,1135
303,2707
304,175
305,2026
306,977
307,157
308,440
309,1041
310,239
311,739
312,200
313,439
314,1138
315,259
316,940
317,391
318,140
319,302
320,227
321,1218
322,1126
323,1458
324,395
325,3548
326,2914
327,1721
328,2916
329,877
330,1723
331,1962
332,1101
333,2610
334,1102
335,574
336,2611
337,820
338,2612
339,515
340,3077
341,610
342,1555
343,4065
344,2567
345,2568
346,1938
347,1946
348,1515
349,2498
350,2502
351,616
352,3085
353,2404
354,1828
355,914
356,176
357,2198
358,1726
359,1191
360,318
361,1284
362,1283
363,1280
364,299
365,1543
366,1541
367,1715
368,874
369,1729
370,1730
371,801
372,2929
373,599
374,776
375,2932
376,785
377,3029
378,786
379,1589
380,4157
381,3274
382,2538
383,2933
384,1399
385,2895
