,map equation centrality rank
0,1
1,90
2,41
3,485
4,233
5,42
6,47
7,51
8,166
9,182
10,46
11,58
12,142
13,30
14,21
15,490
16,161
17,55
18,20
19,89
20,135
21,203
22,136
23,87
24,24
25,12
26,44
27,86
28,230
29,104
30,393
31,6
32,168
33,98
34,64
35,26
36,4
37,3
38,489
39,72
40,5
41,102
42,78
43,164
44,13
45,149
46,389
47,33
48,387
49,130
50,124
51,397
52,201
53,84
54,75
55,76
56,237
57,52
58,67
59,115
60,287
61,15
62,8
63,105
64,388
65,39
66,91
67,156
68,117
69,50
70,35
71,18
72,16
73,93
74,22
75,77
76,286
77,238
78,25
79,391
80,19
81,82
82,28
83,232
84,14
85,234
86,70
87,36
88,31
89,184
90,121
91,163
92,202
93,2
94,40
95,101
96,43
97,66
98,69
99,68
100,0
101,61
102,169
103,60
104,34
105,178
106,150
107,11
108,10
109,141
110,7
111,116
112,92
113,57
114,88
115,37
116,74
117,118
118,65
119,48
120,38
121,54
122,106
123,140
124,49
125,17
126,27
127,180
128,45
129,23
130,53
131,59
132,111
133,9
134,183
135,63
136,107
137,146
138,29
139,179
140,73
141,81
142,79
143,394
144,162
145,132
146,278
147,143
148,193
149,62
150,95
151,114
152,222
153,174
154,277
155,198
156,223
157,224
158,97
159,144
160,173
161,56
162,276
163,158
164,128
165,199
166,176
167,227
168,196
169,157
170,85
171,177
172,463
173,80
174,275
175,129
176,200
177,197
178,372
179,468
180,235
181,159
182,373
183,113
184,469
185,374
186,171
187,477
188,120
189,273
190,483
191,229
192,376
193,160
194,32
195,375
196,481
197,145
198,236
199,377
200,131
201,378
202,83
203,379
204,381
205,380
206,472
207,473
208,283
209,172
210,262
211,139
212,342
213,152
214,435
215,436
216,126
217,215
218,189
219,264
220,445
221,155
222,266
223,449
224,216
225,345
226,336
227,71
228,454
229,191
230,269
231,340
232,434
233,270
234,271
235,343
236,438
237,439
238,217
239,357
240,442
241,346
242,192
243,218
244,447
245,349
246,352
247,219
248,231
249,282
250,220
251,354
252,355
253,284
254,272
255,127
256,225
257,154
258,437
259,268
260,344
261,347
262,382
263,348
264,433
265,267
266,281
267,279
268,226
269,458
270,195
271,367
272,368
273,108
274,138
275,280
276,370
277,112
278,221
279,194
280,366
281,371
282,359
283,361
284,274
285,228
286,364
287,96
288,424
289,110
290,147
291,320
292,363
293,362
294,170
295,254
296,455
297,462
298,460
299,457
300,464
301,358
302,465
303,456
304,459
305,360
306,365
307,467
308,482
309,480
310,471
311,487
312,488
313,390
314,392
315,486
316,188
317,350
318,448
319,453
320,186
321,261
322,353
323,452
324,316
325,356
326,212
327,451
328,450
329,153
330,122
331,134
332,260
333,339
334,190
335,334
336,311
337,335
338,109
339,123
340,125
341,425
342,430
343,255
344,148
345,210
346,94
347,325
348,211
349,185
350,119
351,259
352,151
353,333
354,322
355,429
356,258
357,319
358,252
359,317
360,431
361,253
362,257
363,256
364,327
365,332
366,318
367,321
368,428
369,326
370,324
371,427
372,426
373,323
374,137
375,446
376,337
377,167
378,213
379,444
380,214
381,187
382,285
383,484
384,384
385,478
386,443
387,440
388,338
389,386
390,491
391,396
392,395
393,476
394,383
395,470
396,475
397,385
398,474
399,175
400,410
401,289
402,204
403,100
404,492
405,411
406,398
407,494
408,243
409,493
410,165
411,293
412,181
413,99
414,103
415,133
416,495
417,328
418,329
419,248
420,496
421,250
422,205
423,206
424,239
425,240
426,412
427,497
428,312
429,413
430,313
431,414
432,415
433,432
434,341
435,441
436,263
437,314
438,416
439,315
440,417
441,498
442,418
443,330
444,297
445,298
446,399
447,300
448,400
449,304
450,294
451,310
452,401
453,306
454,404
455,331
456,207
457,291
458,209
459,208
460,302
461,299
462,402
463,305
464,249
465,307
466,288
467,241
468,309
469,403
470,242
471,290
472,244
473,292
474,245
475,405
476,265
477,369
478,295
479,296
480,247
481,466
482,301
483,303
484,251
485,420
486,421
487,419
488,499
489,246
490,406
491,461
492,422
493,423
494,407
495,408
496,479
497,351
498,409
499,308
