,map equation centrality rank
0,1405
1,249
2,427
3,1430
4,2714
5,4102
6,4094
7,2715
8,2726
9,425
10,1432
11,1885
12,709
13,700
14,2732
15,662
16,1235
17,2370
18,2371
19,1250
20,395
21,2373
22,63
23,1252
24,3959
25,3953
26,1254
27,1256
28,97
29,4719
30,1901
31,4717
32,3485
33,3850
34,96
35,2282
36,2283
37,233
38,2284
39,3838
40,1161
41,2286
42,2294
43,389
44,2298
45,3837
46,388
47,3873
48,1166
49,1169
50,3870
51,1172
52,3863
53,234
54,2299
55,1176
56,2300
57,137
58,2281
59,1180
60,2303
61,3862
62,1159
63,58
64,529
65,2305
66,235
67,1147
68,387
69,2307
70,139
71,638
72,1151
73,2310
74,1152
75,3860
76,1154
77,3848
78,3845
79,1158
80,2314
81,1160
82,1177
83,2318
84,3843
85,2242
86,2243
87,1165
88,2244
89,2245
90,1168
91,646
92,749
93,1170
94,1171
95,2246
96,2247
97,1156
98,2248
99,3834
100,1150
101,138
102,141
103,4586
104,319
105,315
106,1775
107,3277
108,3281
109,876
110,3266
111,3268
112,3273
113,4588
114,4578
115,2249
116,645
117,2250
118,390
119,2251
120,2252
121,2253
122,3872
123,143
124,2302
125,2254
126,2255
127,3846
128,1155
129,2256
130,3849
131,2257
132,2258
133,2259
134,2260
135,392
136,1167
137,2261
138,1183
139,3847
140,2262
141,2263
142,2264
143,1153
144,140
145,644
146,2265
147,2266
148,2267
149,2277
150,3841
151,1148
152,386
153,2269
154,232
155,166
156,2270
157,2271
158,3854
159,3861
160,3864
161,391
162,649
163,264
164,4177
165,1787
166,41
167,450
168,2889
169,3839
170,3840
171,2272
172,1162
173,142
174,2273
175,2274
176,641
177,2275
178,2276
179,3856
180,640
181,1164
182,642
183,1173
184,2278
185,3866
186,167
187,1532
188,4193
189,4194
190,2915
191,444
192,643
193,2279
194,639
195,3833
196,2280
197,1
198,500
199,3836
200,1163
201,1157
202,647
203,648
204,1174
205,1175
206,2285
207,393
208,2287
209,1769
210,2288
211,2289
212,2290
213,2291
214,2292
215,2293
216,3875
217,883
218,2295
219,2296
220,3865
221,4170
222,4180
223,4173
224,1511
225,443
226,4597
227,885
228,2904
229,2907
230,2909
231,2910
232,2914
233,2624
234,442
235,1507
236,4174
237,2625
238,4185
239,4188
240,4195
241,42
242,2874
243,2875
244,2876
245,527
246,525
247,2297
248,1178
249,1179
250,650
251,2301
252,1181
253,3835
254,1784
255,1777
256,1790
257,1767
258,3261
259,881
260,1182
261,2304
262,651
263,2306
264,1184
265,2890
266,1518
267,1519
268,2308
269,3842
270,2309
271,3844
272,1185
273,3263
274,528
275,3265
276,113
277,4602
278,4601
279,4594
280,4592
281,1788
282,2311
283,2312
284,2313
285,1186
286,2268
287,3851
288,3852
289,3853
290,2315
291,3855
292,2316
293,1527
294,2918
295,1528
296,4583
297,4596
298,884
299,3271
300,189
301,526
302,987
303,1771
304,1772
305,3270
306,3857
307,579
308,3858
309,316
310,3272
311,3859
312,2317
313,1187
314,2319
315,2320
316,2321
317,2322
318,2323
319,3867
320,3869
321,2324
322,2325
323,3871
324,263
325,2908
326,1530
327,2326
328,3874
329,1455
330,254
331,1445
332,4120
333,433
334,2772
335,1680
336,2774
337,4106
338,732
339,2775
340,1669
341,838
342,3144
343,1671
344,184
345,1672
346,830
347,1673
348,298
349,3169
350,488
351,490
352,832
353,3165
354,1674
355,4377
356,4378
357,3159
358,299
359,839
360,110
361,4381
362,4382
363,3154
364,3153
365,3150
366,3146
367,833
368,301
369,1676
370,494
371,4383
372,1677
373,3177
374,840
375,489
376,3170
377,3166
378,3164
379,3149
380,835
381,1678
382,302
383,1679
384,4388
385,496
386,4391
387,4395
388,1681
389,491
390,1682
391,297
392,3157
393,827
394,826
395,3163
396,1675
397,3155
398,3145
399,4396
400,4401
401,3148
402,3172
403,4376
404,3173
405,300
406,296
407,1683
408,109
409,497
410,4384
411,495
412,493
413,731
414,2785
415,1444
416,2927
417,3147
418,776
419,1684
420,1039
421,1685
422,4403
423,831
424,3151
425,3152
426,492
427,829
428,828
429,3156
430,4385
431,1686
432,3158
433,837
434,3160
435,4400
436,3161
437,3162
438,2921
439,1541
440,1539
441,1547
442,775
443,4201
444,4405
445,836
446,1687
447,834
448,4379
449,4380
450,1688
451,3167
452,3168
453,183
454,1689
455,4386
456,4387
457,3171
458,4389
459,4390
460,1690
461,4392
462,4393
463,4394
464,1691
465,3174
466,4397
467,961
468,605
469,4122
470,1450
471,435
472,2796
473,736
474,737
475,2799
476,4103
477,4398
478,4399
479,3175
480,3176
481,4402
482,1670
483,4404
484,3178
485,4406
486,4407
487,4408
488,4409
489,259
490,1458
491,1459
492,1461
493,2790
494,1449
495,106
496,270
497,4410
498,4411
499,4412
500,4413
501,4126
502,4414
503,252
504,708
505,1436
506,1437
507,1438
508,2736
509,248
510,1440
511,2739
512,1433
513,158
514,100
515,250
516,704
517,707
518,3072
519,3407
520,2722
521,4093
522,420
523,2731
524,422
525,1427
526,1428
527,2733
528,2734
529,18
530,703
531,1409
532,702
533,1425
534,2689
535,2695
536,701
537,1420
538,2696
539,2697
540,4089
541,418
542,419
543,1439
544,2735
545,159
546,2737
547,1402
548,1403
549,1404
550,423
551,4088
552,4086
553,1921
554,947
555,1410
556,424
557,2738
558,1413
559,2681
560,4082
561,4077
562,4076
563,4095
564,889
565,1422
566,67
567,251
568,119
569,561
570,4096
571,2684
572,1411
573,1415
574,3461
575,68
576,421
577,1400
578,891
579,3292
580,1812
581,4752
582,1938
583,4753
584,3543
585,1919
586,1401
587,1412
588,4087
589,4084
590,1421
591,4099
592,2687
593,567
594,4754
595,3085
596,3086
597,3087
598,3090
599,4091
600,2688
601,1429
602,1434
