,map equation centrality rank
0,1860
1,1162
2,1163
3,1853
4,1165
5,1569
6,2189
7,604
8,665
9,1094
10,947
11,1397
12,1398
13,763
14,178
15,584
16,69
17,1854
18,881
19,882
20,697
21,695
22,883
23,361
24,1099
25,1255
26,1256
27,2415
28,1722
29,1723
30,2290
31,1472
32,1943
33,185
34,1295
35,2120
36,1539
37,1283
38,1284
39,1959
40,1045
41,1650
42,139
43,77
44,1855
45,1173
46,756
47,2451
48,2190
49,2118
50,780
51,832
52,443
53,1400
54,958
55,177
56,432
57,505
58,2254
59,589
60,2386
61,1999
62,1474
63,123
64,391
65,282
66,17
67,12
68,126
69,704
70,60
71,526
72,221
73,1608
74,2024
75,281
76,381
77,38
78,287
79,1822
80,239
81,442
82,97
83,592
84,965
85,242
86,964
87,595
88,855
89,2445
90,2191
91,2318
92,1060
93,1334
94,1531
95,664
96,2465
97,1566
98,245
99,613
100,614
101,81
102,188
103,615
104,897
105,1431
106,2384
107,1403
108,430
109,1378
110,1597
111,718
112,1930
113,1725
114,2302
115,645
116,2110
117,1726
118,1728
119,2347
120,2124
121,901
122,2216
123,9
124,16
125,1053
126,903
127,121
128,353
129,351
130,647
131,11
132,259
133,1480
134,726
135,389
136,335
137,829
138,487
139,117
140,354
141,260
142,648
143,1307
144,375
145,1537
146,521
147,30
148,200
149,1216
150,827
151,355
152,1729
153,838
154,1940
155,943
156,598
157,315
158,428
159,1211
160,1415
161,425
162,146
163,1205
164,434
165,96
166,31
167,1655
168,602
169,1410
170,181
171,1180
172,367
173,236
174,140
175,1329
176,2203
177,1083
178,116
179,2201
180,310
181,1084
182,1739
183,2503
184,823
185,1591
186,1422
187,59
188,1488
189,84
190,694
191,2294
192,163
193,384
194,258
195,1590
196,40
197,911
198,1111
199,981
200,617
201,982
202,983
203,147
204,621
205,49
206,189
207,98
208,71
209,1823
210,1113
211,848
212,1615
213,1114
214,240
215,582
216,165
217,29
218,785
219,238
220,758
221,833
222,759
223,312
224,66
225,313
226,2046
227,183
228,708
229,591
230,946
231,766
232,593
233,439
234,1875
235,311
236,1671
237,141
238,1220
239,334
240,252
241,616
242,332
243,100
244,318
245,2012
246,1613
247,831
248,481
249,1262
250,358
251,157
252,461
253,483
254,1124
255,217
256,70
257,54
258,28
259,1154
260,501
261,266
262,1779
263,1071
264,370
265,859
266,1761
267,716
268,113
269,1047
270,1667
271,53
272,1402
273,1433
274,446
275,321
276,1212
277,2177
278,1214
279,142
280,320
281,319
282,1774
283,1778
284,1521
285,1064
286,2353
287,1338
288,448
289,447
290,920
291,988
292,1596
293,2363
294,524
295,1594
296,1812
297,2023
298,898
299,55
300,530
301,1948
302,159
303,37
304,156
305,482
306,2205
307,2206
308,273
309,209
310,2305
311,1735
312,1933
313,539
314,1807
315,1293
316,1353
317,537
318,1585
319,771
320,435
321,67
322,580
323,486
324,1016
325,1270
326,1332
327,356
328,1736
329,1017
330,2301
331,544
332,2321
333,2144
334,1190
335,1020
336,307
337,641
338,2146
339,79
340,1280
341,523
342,2336
343,1600
344,757
345,308
346,587
347,14
348,422
349,440
350,949
351,590
352,450
353,1022
354,444
355,1892
356,1098
357,48
358,2394
359,1900
360,1489
361,1024
362,1481
363,787
364,2293
365,2127
366,1737
367,1367
368,541
369,1595
370,906
371,909
372,1584
373,907
374,1120
375,2011
376,693
377,730
378,1362
379,82
380,1486
381,514
382,130
383,640
384,877
385,1602
386,377
387,878
388,689
389,511
390,175
391,1477
392,1093
393,2354
394,1795
395,51
396,2188
397,1526
398,1769
399,1670
400,1790
401,952
402,650
403,603
404,830
405,352
406,2021
407,1891
408,844
409,1296
410,23
411,366
412,1532
413,263
414,656
415,846
416,1659
417,68
418,581
419,1437
420,1692
421,1544
422,1571
423,1576
424,241
425,2352
426,1555
427,1193
428,681
429,1333
430,1784
431,72
432,179
433,2123
434,1690
435,870
436,331
437,1222
438,329
439,685
440,272
441,682
442,208
443,872
444,363
445,223
446,1606
447,839
448,725
449,661
450,531
451,1666
452,1075
453,503
454,1747
455,2462
456,1772
457,2184
458,1551
459,1983
460,597
461,1312
462,669
463,1796
464,875
465,1794
466,2178
467,2174
468,2161
469,1956
470,2337
471,1987
472,2339
473,680
474,1327
475,504
476,205
477,1078
478,2017
479,904
480,857
481,858
482,676
483,371
484,1485
485,1317
486,1797
487,1573
488,1341
489,2005
490,1798
491,1574
492,124
493,507
494,18
495,83
496,1426
497,1553
498,1942
499,678
500,2198
501,677
502,2256
503,1876
504,1751
505,1408
506,1976
507,1660
508,1661
509,957
510,1194
511,987
512,1427
513,459
514,762
515,2158
516,970
517,1209
518,1902
519,322
520,1215
521,618
522,324
523,1059
524,1980
525,1611
526,244
527,1444
528,1773
529,1518
530,1984
531,670
532,2013
533,1354
534,1578
535,914
536,1355
537,1356
538,1766
539,1538
540,1269
541,1313
542,657
543,496
544,2016
545,2436
546,284
547,1221
548,204
549,1168
550,529
551,1997
552,605
553,1487
554,1949
555,1508
556,698
557,1582
558,534
559,535
560,703
561,884
562,2494
563,790
564,1680
565,1044
566,606
567,1079
568,594
569,1559
570,865
571,1085
572,24
573,1042
574,249
575,148
576,506
577,25
578,971
579,1664
580,73
581,1331
582,1082
583,1067
584,206
585,323
586,2175
587,2167
588,1320
589,1752
590,783
591,1179
592,423
593,429
594,1413
595,719
596,125
597,213
598,720
599,1377
600,80
601,917
602,1106
603,280
604,3
605,1366
606,57
607,22
608,912
609,120
610,2222
611,1603
612,1588
613,1986
614,1770
615,1931
616,2525
617,224
618,56
619,219
620,42
621,41
622,586
623,1418
624,1420
625,1421
626,1856
627,1125
628,1364
629,1809
630,1811
631,1478
632,764
633,2072
634,826
635,1754
636,1721
637,1805
638,1803
639,880
640,2008
641,2213
642,1446
643,1688
644,20
645,462
646,128
647,1443
648,1686
649,960
650,1169
651,767
652,596
653,2448
654,852
655,1401
656,2056
657,2259
658,445
659,317
660,600
661,774
662,396
663,161
664,724
665,276
666,1359
667,728
668,2380
669,2060
670,1867
671,1677
672,1756
673,111
674,2288
675,1938
676,1360
677,2219
678,129
679,515
680,449
681,1428
682,192
683,2390
684,1757
685,643
686,193
687,19
688,479
689,638
690,110
691,154
692,158
693,1025
694,52
695,2446
696,2181
697,1527
698,1988
699,1817
700,114
701,667
702,773
703,441
704,1411
705,980
706,457
707,15
708,460
709,1192
710,1027
711,478
712,1490
713,1286
714,155
715,2313
716,1499
717,1340
718,1463
719,383
720,2355
721,2079
722,1953
723,2312
724,2010
725,849
726,290
727,490
728,2022
729,386
730,545
731,1361
732,1520
733,314
734,237
735,1815
736,916
737,543
738,1121
739,131
740,164
741,127
742,1501
743,194
744,1990
745,2383
746,500
747,1975
748,729
749,288
750,1294
751,889
752,2136
753,1513
754,1297
755,2381
756,1963
757,1496
758,1030
759,1950
760,1648
761,1404
762,583
763,1176
764,1614
765,289
766,58
767,1115
768,921
769,220
770,438
771,913
772,696
773,2385
774,436
775,796
776,579
777,1171
778,99
779,191
780,464
781,1884
782,765
783,1679
784,2395
785,1944
786,610
787,1031
788,291
789,542
790,1
791,360
792,119
793,558
794,552
795,134
796,862
797,1720
798,1335
799,684
800,1869
801,1653
802,265
803,1958
804,369
805,666
806,187
807,184
808,701
809,799
810,215
811,989
812,489
813,2059
814,1183
815,968
816,577
817,112
818,1068
819,642
820,1727
821,1035
822,1175
823,1070
824,705
825,2297
826,1076
827,1292
828,644
829,782
830,1178
831,2019
832,278
833,390
834,1122
835,0
836,21
837,1730
838,1947
839,1941
840,853
841,1298
842,1052
843,180
844,1974
845,1742
846,1683
847,1676
848,463
849,1416
850,1601
851,166
852,707
853,2522
854,1081
855,2227
856,674
857,1414
858,1786
859,1174
860,2018
861,1506
862,1505
863,2528
864,1654
865,2202
866,722
867,711
868,1816
869,1069
870,2357
871,1978
872,1304
873,2173
874,1302
875,1862
876,182
877,43
878,691
879,274
880,601
881,1802
882,1657
883,2211
884,1166
885,2361
886,854
887,1610
888,2217
889,1308
890,2171
891,1223
892,1764
893,2179
894,1423
895,1300
896,2116
897,1936
898,2292
899,611
900,364
901,203
902,2306
903,2152
904,540
905,1504
906,1558
907,392
908,1373
909,222
910,930
911,1528
912,2346
913,1346
914,2221
915,797
916,2389
917,919
918,1529
919,1077
920,2192
921,860
922,536
923,918
924,533
925,39
926,251
927,248
928,1206
929,532
930,118
931,85
932,1376
933,254
934,1733
935,768
936,488
937,1451
938,333
939,991
940,608
941,1219
942,1898
943,1968
944,2058
945,1873
946,2204
947,1897
948,1199
949,1996
950,861
951,327
952,499
953,646
954,1788
955,1550
956,1112
957,1063
958,1110
959,662
960,1109
961,1818
962,1888
963,115
964,1442
965,1675
966,992
967,659
968,770
969,1278
970,1748
971,2160
972,620
973,326
974,612
975,969
976,778
977,1040
978,1188
979,201
980,1023
981,269
982,1552
983,1882
984,1440
985,218
986,717
987,216
988,2257
989,892
990,528
991,160
992,214
993,1749
994,1750
995,842
996,887
997,1128
998,518
999,122
1000,1375
1001,2026
1002,1901
1003,2396
1004,453
1005,795
1006,1287
1007,2063
1008,1877
