,map equation centrality rank
0,1011
1,3979
2,2707
3,15586
4,668
5,2804
6,348
7,4096
8,381
9,14262
10,4436
11,9828
12,126
13,14089
14,7749
15,957
16,3381
17,25
18,8277
19,230
20,1795
21,97
22,4529
23,731
24,7083
25,20
26,2402
27,649
28,5395
29,151
30,15513
31,8045
32,7574
33,11110
34,1968
35,1303
36,436
37,4568
38,185
39,4100
40,1486
41,10822
42,726
43,2335
44,1508
45,10229
46,2204
47,246
48,2893
49,8267
50,11899
51,3860
52,5785
53,2253
54,1771
55,6318
56,2658
57,845
58,4510
59,9640
60,1519
61,4567
62,5389
63,797
64,312
65,325
66,827
67,1630
68,8953
69,428
70,5748
71,3845
72,4103
73,15792
74,4449
75,245
76,102
77,268
78,920
79,14176
80,13608
81,9386
82,9387
83,2780
84,3396
85,14254
86,4963
87,10487
88,10484
89,6283
90,5901
91,8863
92,5397
93,15572
94,10137
95,7134
96,5812
97,9136
98,13615
99,19
100,220
101,38
102,94
103,988
104,212
105,8911
106,508
107,552
108,569
109,2030
110,1410
111,342
112,623
113,334
114,242
115,93
116,1148
117,1520
118,1880
119,3290
120,1487
121,4731
122,3291
123,550
124,648
125,476
126,8046
127,6882
128,4590
129,6316
130,4768
131,11979
132,4764
133,11227
134,5754
135,4581
136,11978
137,9902
138,11
139,79
140,309
141,944
142,2388
143,4417
144,366
145,4271
146,631
147,327
148,31
149,646
150,12
151,958
152,711
153,298
154,670
155,1296
156,1255
157,2444
158,824
159,6572
160,274
161,1120
162,4112
163,962
164,114
165,2343
166,2122
167,210
168,2438
169,682
170,645
171,266
172,3835
173,622
174,1832
175,713
176,474
177,1482
178,104
179,4119
180,257
181,749
182,65
183,98
184,187
185,121
186,1205
187,1047
188,4114
189,66
190,1644
191,192
192,1610
193,43
194,236
195,593
196,371
197,1973
198,708
199,3829
200,1180
201,417
202,2992
203,1064
204,1324
205,5611
206,13521
207,13525
208,3504
209,6542
210,2513
211,7381
212,6571
213,6830
214,2852
215,6585
216,5842
217,9320
218,5044
219,3111
220,2345
221,652
222,6326
223,167
224,2820
225,1084
226,1963
227,2188
228,1528
229,2451
230,892
231,2467
232,624
233,1655
234,481
235,3162
236,4902
237,10943
238,5215
239,4625
240,2659
241,2904
242,2628
243,1264
244,5216
245,10559
246,7425
247,9402
248,10560
249,13029
250,15722
251,15721
252,17099
253,2243
254,22
255,1441
256,254
257,1666
258,667
259,346
260,108
261,1705
262,555
263,587
264,1211
265,2183
266,107
267,115
268,124
269,183
270,3931
271,360
272,683
273,5018
274,173
275,1190
276,13782
277,4828
278,8063
279,780
280,87
281,78
282,688
283,2654
284,2674
285,1652
286,1355
287,1770
288,55
289,1123
290,249
291,893
292,841
293,1575
294,1332
295,2892
296,2757
297,2147
298,8914
299,3169
300,1502
301,2201
302,28
303,772
304,2259
305,5697
306,3005
307,928
308,1526
309,1573
310,1485
311,2721
312,2716
313,1701
314,7495
315,7859
316,403
317,5761
318,900
319,394
320,996
321,4207
322,3602
323,1472
324,2490
325,1740
326,6208
327,1866
328,2854
329,3797
330,2073
331,2497
332,3167
333,1435
334,6481
335,3649
336,2664
337,2256
338,2146
339,10348
340,1389
341,2688
342,2350
343,3932
344,8843
345,1007
346,7983
347,5142
348,10188
349,5505
350,6761
351,4043
352,9948
353,14475
354,6896
355,16917
356,6575
357,10250
358,9719
359,5760
360,10280
361,355
362,1801
363,1374
364,111
365,1977
366,14
367,13
368,3
369,1853
370,2932
371,422
372,450
373,1320
374,1323
375,5992
376,8430
377,8431
378,8437
379,5991
380,6615
381,2116
382,7699
383,7183
384,7182
385,39
386,83
387,113
388,429
389,36
390,760
391,748
392,263
393,339
394,202
395,910
396,939
397,7998
398,105
399,1116
400,34
401,405
402,9839
403,2989
404,839
405,7679
406,2789
407,237
408,63
409,448
410,515
411,3078
412,3288
413,1368
414,6815
415,782
416,4560
417,7997
418,2419
419,1010
420,154
421,2158
422,1370
423,1080
424,1172
425,1240
426,2779
427,665
428,2086
429,1291
430,4439
431,6113
432,2300
433,168
434,1688
435,759
436,3708
437,259
438,101
439,1206
440,1325
441,3910
442,1746
443,2299
444,4045
445,669
446,1445
447,8047
448,4666
449,1326
450,4582
451,11420
452,5188
453,2878
454,2241
455,1113
456,2863
457,3469
458,8481
459,3261
460,5148
461,3262
462,3263
463,4833
464,4832
465,3264
466,4983
467,2862
468,5153
469,2861
470,5151
471,4837
472,11158
473,8838
474,2112
475,7092
476,9841
477,4433
478,3824
479,10231
480,9819
481,14056
482,1922
483,400
484,4699
485,5154
486,333
487,7231
488,2938
489,8646
490,2258
491,4712
492,6876
493,12065
494,15751
495,8065
496,137
497,6105
498,181
499,16952
500,1019
501,127
502,9
503,58
504,61
505,583
506,269
507,295
508,68
509,286
510,207
511,293
512,1035
513,294
514,1234
515,184
516,323
517,1034
518,401
519,174
520,287
521,305
522,153
523,56
524,213
525,783
526,3965
527,2709
528,1262
529,1366
530,1510
531,1043
532,90
533,914
534,64
535,171
536,2624
537,537
538,822
539,370
540,2431
541,145
542,7093
543,413
544,50
545,3079
546,33
547,551
548,715
549,1474
550,1955
551,2031
552,6836
553,2986
554,516
555,395
556,820
557,415
558,2244
559,1282
560,681
561,701
562,412
563,5745
564,2781
565,2025
566,5037
567,2621
568,2247
569,1730
570,2336
571,742
572,2427
573,706
574,1725
575,1168
576,1322
577,2035
578,1340
579,1271
580,1128
581,702
582,1233
583,243
584,815
585,485
586,661
587,10789
588,3641
589,10793
590,1463
591,5373
592,5184
593,7397
594,3200
595,2129
596,3958
597,5766
598,3206
599,9332
600,7382
601,769
602,1070
603,10384
604,5384
605,1387
606,2564
607,2570
608,1817
609,2568
610,2576
611,2579
612,2567
613,2573
614,2577
615,2578
616,10791
617,13773
618,13763
619,16513
620,16331
621,2449
622,5461
623,1987
624,2717
625,8514
626,5814
627,12394
628,15714
629,5942
630,10
631,1
632,199
633,306
634,1668
635,4762
636,5244
637,1015
638,1251
639,1488
640,678
641,5365
642,3287
643,3092
644,3082
645,7999
646,9840
647,2511
648,4250
649,1623
650,8434
651,4561
652,1591
653,875
654,8854
655,2332
656,3380
657,689
658,3281
659,4408
660,3788
661,6181
662,4555
663,5367
664,14051
665,2985
666,5744
667,12851
668,11085
669,6844
670,8860
671,3097
672,4094
673,8453
674,9501
675,13210
676,11883
677,74
678,7
679,9446
680,398
681,9452
682,283
683,156
684,148
685,509
686,10377
687,211
688,524
689,1106
690,549
691,687
692,2
693,175
694,693
695,2189
696,224
697,541
698,359
699,240
700,597
701,231
702,52
703,596
704,1649
705,272
706,2417
707,526
708,1727
709,69
710,2121
711,8
712,163
713,3716
714,358
715,1780
716,2622
717,176
718,128
719,568
720,594
721,826
722,472
723,447
724,464
725,1038
726,1119
727,5230
728,2890
729,347
730,455
731,3698
732,248
733,299
734,7155
735,851
736,971
737,2762
738,1239
739,437
740,1204
741,4880
742,502
743,1145
744,647
745,260
746,53
747,3113
748,267
749,1605
750,2521
751,232
752,133
753,164
754,2184
755,1708
756,1466
757,735
758,3640
759,3837
760,80
761,2261
762,2254
763,319
764,9405
765,492
766,3521
767,4594
768,1020
769,2071
770,942
771,1883
772,1732
773,11140
774,11956
775,9364
776,7323
777,1694
778,1518
779,1501
780,571
781,7709
782,8873
783,5614
784,3635
785,3724
786,4587
787,986
788,2443
789,5784
790,2696
791,6540
792,1483
793,9908
794,1568
795,8087
796,4147
797,1177
798,9880
799,12935
800,3842
801,2251
802,1957
803,2117
804,7698
805,8750
806,1039
807,935
808,1073
809,898
810,1696
811,5195
812,14157
813,2620
814,2706
815,4879
816,8001
817,10187
818,2605
819,6012
820,4263
821,11149
822,9014
823,11146
824,12918
825,17068
826,15559
827,8896
828,1131
829,4331
830,7562
831,5511
832,8269
833,616
834,144
835,15
836,17
837,3952
838,365
839,1659
840,321
841,1058
842,71
843,0
844,271
845,855
846,226
847,873
848,82
849,24
850,5227
851,273
852,86
853,100
854,4
855,45
856,16
857,177
858,23
859,42
860,642
861,123
862,727
863,629
864,75
865,1009
866,1800
867,471
868,2434
869,21
870,161
871,4406
872,186
873,404
874,383
875,452
876,1479
877,1601
878,560
879,374
880,784
881,1797
882,598
883,2898
884,1651
885,613
886,1733
887,2896
888,1882
889,1371
890,3400
891,3394
892,1021
893,3393
894,2344
895,2791
896,6577
897,2032
898,5019
899,1565
900,2242
901,747
902,4737
903,582
904,1693
905,3511
906,3209
907,4266
908,2994
909,1447
910,4106
911,8878
912,1448
913,4885
914,1650
915,5200
916,3510
917,5030
918,3832
919,6584
920,6566
921,5035
922,6827
923,3512
924,2618
925,3520
926,6564
927,5619
928,3728
929,2995
930,5197
931,3397
932,4260
933,7122
934,2889
935,7401
936,6567
937,4431
938,15574
939,6842
940,12959
941,459
942,72
943,2767
944,219
945,4097
946,2575
947,1272
948,625
949,513
950,363
951,1033
952,130
953,676
954,816
955,373
956,1586
957,1162
958,487
959,1553
960,1129
961,486
962,770
963,1600
964,430
965,2477
966,1469
967,723
968,1628
969,7330
970,9193
971,9186
972,3439
973,10095
974,3514
975,9448
976,662
977,5537
978,11711
979,2276
980,521
981,4404
982,3683
983,3676
984,14827
985,3675
986,12410
987,7271
988,12627
989,3674
990,2833
991,15151
992,12630
993,12632
994,1569
995,1178
996,241
997,1259
998,390
999,2996
1000,1253
1001,1803
1002,1724
1003,2856
1004,1806
1005,1635
1006,3465
1007,336
1008,1697
1009,5139
1010,6207
1011,1865
1012,345
1013,4693
1014,3827
1015,416
1016,247
1017,258
1018,73
1019,2783
1020,8848
1021,129
1022,891
1023,4877
1024,2029
1025,1082
1026,470
1027,916
1028,876
1029,1607
1030,4413
1031,10486
1032,4728
1033,919
1034,1444
1035,941
1036,322
1037,940
1038,3299
1039,1602
1040,779
1041,4732
1042,7095
1043,7391
1044,6812
1045,4265
1046,3503
1047,7992
1048,6538
1049,7097
1050,5366
1051,5379
1052,5606
1053,12896
1054,8889
1055,2738
1056,7386
1057,7827
1058,14074
1059,5022
1060,15531
1061,9317
1062,41
1063,18
1064,410
1065,6
1066,49
1067,507
1068,235
1069,1604
1070,705
1071,138
1072,326
1073,265
1074,420
1075,604
1076,201
1077,142
1078,194
1079,70
1080,47
1081,26
1082,215
1083,331
1084,29
1085,5603
1086,1290
1087,209
1088,752
1089,251
1090,638
1091,673
1092,1201
1093,565
1094,1144
1095,729
1096,1685
1097,320
1098,1110
1099,307
1100,1289
1101,1171
1102,1598
1103,1597
1104,391
1105,1643
1106,1950
1107,30
1108,264
1109,1647
1110,1954
1111,162
1112,1603
1113,1045
1114,350
1115,134
1116,1642
1117,728
1118,229
1119,498
1120,1646
1121,1952
1122,1951
1123,244
1124,1726
1125,1401
1126,27
1127,1114
1128,506
1129,3956
1130,1551
1131,4407
1132,2206
1133,1572
1134,3207
1135,160
1136,2478
1137,14129
1138,6009
1139,4517
1140,823
1141,961
1142,1315
1143,1729
1144,197
1145,2744
1146,169
1147,2739
1148,1581
1149,602
1150,1032
1151,544
1152,3240
1153,1855
1154,1582
1155,603
1156,3237
1157,3241
1158,1712
1159,393
1160,6813
1161,4198
1162,2593
1163,2594
1164,4202
1165,1249
1166,392
1167,5369
1168,8447
1169,1562
1170,2174
1171,750
1172,1365
1173,4788
1174,5699
1175,3388
1176,4251
1177,3390
1178,881
1179,449
1180,882
1181,1789
1182,1477
1183,883
1184,844
1185,1367
1186,846
1187,608
1188,423
1189,979
1190,1786
1191,1785
1192,978
1193,880
1194,985
1195,885
1196,1293
1197,886
1198,888
1199,1779
1200,878
1201,884
1202,1202
1203,433
1204,984
1205,887
1206,1781
1207,1443
1208,890
1209,1788
1210,847
1211,1783
1212,1778
1213,983
1214,848
1215,3090
1216,4866
1217,5495
1218,8846
1219,1599
1220,2785
1221,2979
1222,2423
1223,1402
1224,1687
1225,1645
