,map equation centrality rank
0,0
1,1
2,3
3,2
4,8
5,10
6,31
7,44
8,22
9,4
10,34
11,97
12,25
13,42
14,19
15,90
16,9
17,54
18,5
19,27
20,36
21,15
22,23
23,14
24,28
25,7
26,128
27,6
28,264
29,35
30,75
31,12
32,11
33,82
34,16
35,33
36,47
37,40
38,86
39,24
40,145
41,45
42,103
43,67
44,99
45,164
46,60
47,32
48,84
49,224
50,63
51,142
52,57
53,41
54,204
55,165
56,39
57,149
58,156
59,240
60,70
61,29
62,59
63,175
64,129
65,37
66,225
67,49
68,73
69,447
70,130
71,125
72,94
73,169
74,178
75,351
76,238
77,257
78,311
79,179
80,383
81,309
82,246
83,370
84,516
85,147
86,80
87,227
88,248
89,18
90,193
91,181
92,21
93,53
94,218
95,141
96,50
97,228
98,339
99,56
100,291
101,120
102,111
103,404
104,76
105,68
106,229
107,356
108,64
109,52
110,398
111,321
112,307
113,327
114,559
115,132
116,155
117,113
118,133
119,402
120,136
121,91
122,106
123,439
124,308
125,43
126,167
127,295
128,197
129,146
130,26
131,55
132,726
133,546
134,87
135,362
136,564
137,109
138,102
139,297
140,77
141,81
142,259
143,226
144,790
145,72
146,565
147,313
148,469
149,669
150,195
151,316
152,350
153,110
154,220
155,69
156,394
157,203
158,61
159,140
160,318
161,46
162,510
163,695
164,418
165,813
166,983
167,231
168,58
169,223
170,48
171,96
172,139
173,279
174,20
175,157
176,379
177,191
178,384
179,305
180,163
181,438
182,144
183,115
184,473
185,288
186,378
187,17
188,827
189,451
190,474
191,341
192,365
193,519
194,382
195,640
196,119
197,851
198,153
199,85
200,121
201,78
202,586
203,118
204,271
205,114
206,104
207,230
208,202
209,177
210,126
211,517
212,860
213,1124
214,804
215,239
216,864
217,518
218,481
219,340
220,397
221,463
222,626
223,417
224,138
225,583
226,281
227,497
228,410
229,83
230,572
231,243
232,263
233,250
234,127
235,201
236,168
237,479
238,440
239,160
240,137
241,375
242,436
243,189
244,377
245,734
246,199
247,846
248,476
249,931
250,65
251,1062
252,459
253,393
254,262
255,344
256,171
257,98
258,1360
259,338
260,1203
261,1191
262,690
263,261
264,421
265,674
266,465
267,477
268,645
269,217
270,247
271,360
272,324
273,631
274,435
275,590
276,849
277,515
278,610
279,376
280,568
281,765
282,989
283,895
284,730
285,691
286,1183
287,460
288,623
289,933
290,692
291,1133
292,719
293,791
294,638
295,891
296,601
297,420
298,280
299,416
300,267
301,1333
302,537
303,1200
304,542
305,810
306,275
307,500
308,1201
309,991
310,868
311,514
312,389
313,740
314,780
315,963
316,767
317,495
318,619
319,620
320,995
321,496
322,733
323,996
324,611
325,615
326,461
327,793
328,511
329,856
330,603
331,899
332,857
333,1110
334,513
335,893
336,735
337,1513
338,1178
339,870
340,725
341,998
342,503
343,1310
344,999
345,1185
346,731
347,1431
348,732
349,1243
350,1190
351,401
352,845
353,789
354,1192
355,1193
356,1209
357,848
358,1451
359,861
360,847
361,1000
362,582
363,1462
364,1446
365,150
366,74
367,432
368,363
369,162
370,158
371,196
372,842
373,174
374,348
375,180
376,392
377,282
378,148
379,249
380,591
381,251
382,334
383,38
384,884
385,502
386,105
387,13
388,372
389,66
390,51
391,550
392,298
393,107
394,704
395,520
396,289
397,215
398,380
399,605
400,501
401,232
402,755
403,966
404,1044
405,236
406,296
407,235
408,320
409,88
410,270
411,30
412,310
413,530
414,346
415,79
416,727
417,728
418,328
419,385
420,986
421,173
422,867
423,850
424,949
425,869
426,596
427,751
428,588
429,592
430,639
431,1423
432,190
433,1546
434,684
435,589
436,656
437,858
438,859
439,1206
440,703
441,431
442,1207
443,531
444,1216
445,882
446,1338
447,599
448,1524
449,837
450,1429
451,641
452,445
453,642
454,997
455,1549
456,1433
457,1294
458,108
459,62
460,143
461,407
462,212
463,151
464,95
465,182
466,184
467,100
468,283
469,89
470,290
471,1103
472,1104
473,462
474,245
475,865
476,92
477,569
478,112
479,577
480,673
481,1170
482,208
483,866
484,391
485,265
486,788
487,593
488,123
489,737
490,381
491,1102
492,746
493,1091
494,1036
495,1041
496,1240
497,266
498,1092
499,358
500,1471
501,1035
502,753
503,647
504,754
505,1223
506,646
507,1022
508,1007
509,1478
510,1450
511,1202
512,1029
513,1407
514,1408
515,1405
516,1580
517,1403
518,853
519,1448
520,1435
521,152
522,71
523,268
524,480
525,214
526,134
527,399
528,255
529,219
530,400
531,319
532,186
533,1006
534,345
535,292
536,478
537,772
538,131
539,1057
540,606
541,635
542,357
543,1072
544,547
545,672
546,915
547,609
548,185
549,774
550,980
551,200
552,906
553,1125
554,1075
555,234
556,907
557,1073
558,342
559,371
560,437
561,300
562,317
563,539
564,663
565,1074
566,911
567,93
568,354
569,1087
570,1076
571,395
572,117
573,388
574,1265
575,534
576,757
577,1267
578,775
579,607
580,1550
581,781
582,912
583,1088
584,910
585,1266
586,1560
587,1280
588,1538
589,1195
590,1539
591,323
592,258
593,304
594,968
595,449
596,361
597,374
598,916
599,777
600,969
601,678
602,1284
603,1084
604,1552
605,1290
606,1278
607,1080
608,101
609,194
610,540
611,135
612,222
613,685
614,213
615,795
616,768
617,1030
618,1119
619,560
620,1605
621,426
622,1611
623,1305
624,1620
625,939
626,1285
627,802
628,154
629,183
630,242
631,444
632,554
633,613
634,926
635,1095
636,785
637,557
638,1577
639,618
640,359
641,786
642,1283
643,1575
644,1601
645,686
646,1592
647,1300
648,443
649,1594
650,1582
651,1296
652,784
653,1588
654,1590
655,1295
656,1105
657,325
658,403
659,920
660,211
661,787
662,555
663,274
664,1096
665,1097
666,614
667,677
668,924
669,1292
670,1100
671,921
672,1574
673,1569
674,187
675,355
676,894
677,900
678,448
679,587
680,823
681,699
682,814
683,329
684,1256
685,815
686,573
687,878
688,1498
689,558
690,1101
691,1141
692,892
693,1257
694,556
695,1497
696,1412
697,367
698,409
699,368
700,408
701,244
702,698
703,697
704,330
705,294
706,369
707,331
708,562
709,563
710,366
711,450
712,570
713,566
714,499
715,567
716,1629
717,1322
718,561
719,664
720,176
721,808
722,942
723,1316
724,1630
725,1325
726,1326
727,885
728,1186
729,581
730,644
731,1184
732,422
733,886
734,525
735,887
736,285
737,425
738,630
739,688
740,617
741,637
742,598
743,597
744,1194
745,1454
746,1493
747,1456
748,1227
749,1188
750,293
751,406
752,801
753,798
754,797
755,796
756,1622
757,1623
758,414
759,736
760,608
761,984
762,985
763,209
764,852
765,1675
766,1418
767,1268
768,1269
769,724
770,1081
771,1142
772,1205
773,988
774,1414
775,1417
776,1562
777,1557
778,122
779,287
780,284
781,205
782,315
783,873
784,216
785,256
786,544
787,1553
788,551
789,549
790,1039
791,1082
792,595
793,548
794,1093
795,441
796,903
797,1040
798,747
799,545
800,1077
801,543
802,1090
803,1086
804,1535
805,1042
806,237
807,1198
808,1199
809,594
810,188
811,806
812,1540
813,206
814,1649
815,1083
816,914
817,1541
818,1544
819,538
820,934
821,671
822,1079
823,987
824,992
825,904
826,863
827,1204
828,1329
829,1208
830,993
831,994
832,475
833,1438
834,1439
835,533
836,353
837,254
838,396
839,472
840,349
841,817
842,770
843,896
844,269
845,352
846,1106
847,1260
848,897
849,1383
850,1262
851,655
852,701
853,322
854,670
855,967
856,905
857,1395
858,909
859,488
860,487
861,486
862,1655
863,1107
864,1597
865,116
866,159
867,430
868,667
869,902
870,415
871,1179
872,1187
873,429
874,494
875,1048
876,1402
877,964
878,621
879,1189
880,694
881,1536
882,1404
883,1120
884,1197
885,1113
886,272
887,470
888,471
889,434
890,210
891,602
892,696
893,659
894,172
895,1318
896,651
897,1317
898,761
899,468
900,467
901,778
902,1244
903,1246
904,1248
905,1249
906,1052
907,604
908,1511
909,1250
910,493
911,166
912,650
913,521
914,1410
915,680
916,1587
917,1589
918,433
919,1061
920,1526
921,1527
922,668
923,658
924,666
925,1261
926,1336
927,1242
928,541
929,705
930,1286
931,760
932,763
933,575
934,1135
935,1140
936,1500
937,526
938,1233
939,1173
940,898
941,1400
942,1401
943,1174
944,192
945,662
946,720
947,1065
948,1358
949,1066
950,1252
951,1698
952,1253
953,762
954,260
955,1254
956,1514
957,1067
958,764
959,1069
960,1068
961,1517
962,1520
963,1521
964,458
965,1522
966,1523
967,1330
968,428
969,862
970,1210
971,277
972,1235
973,528
974,835
975,1302
976,1436
977,1437
978,1109
979,1297
980,1585
981,925
982,1586
983,739
984,170
985,529
986,337
987,124
988,253
989,1441
990,427
991,221
992,1299
993,273
994,491
995,442
996,1301
997,689
998,1596
999,552
1000,1598
1001,1599
1002,1639
1003,1600
1004,571
1005,411
1006,661
1007,660
1008,1445
1009,812
