,map equation centrality rank
0,195
1,724
2,723
3,58
4,10
5,1
6,264
7,196
8,138
9,197
10,198
11,199
12,34
13,59
14,200
15,203
16,201
17,338
18,339
19,591
20,6
21,340
22,186
23,38
24,341
25,11
26,86
27,15
28,342
29,187
30,50
31,577
32,497
33,136
34,708
35,603
36,604
37,42
38,132
39,133
40,498
41,842
42,496
43,137
44,130
45,52
46,712
47,714
48,131
49,605
50,499
51,134
52,29
53,135
54,500
55,806
56,807
57,808
58,265
59,57
60,266
61,722
62,504
63,509
64,501
65,502
66,88
67,461
68,462
69,181
70,453
71,18
72,458
73,787
74,786
75,455
76,639
77,236
78,237
79,81
80,322
81,632
82,633
83,634
84,179
85,644
86,637
87,530
88,531
89,148
90,149
91,532
92,533
93,113
94,728
95,72
96,202
97,725
98,726
99,811
100,268
101,813
102,814
103,204
104,205
105,739
106,3
107,154
108,155
109,156
110,44
111,45
112,157
113,158
114,159
115,160
116,161
117,760
118,14
119,211
120,755
121,212
122,761
123,762
124,763
125,515
126,516
127,517
128,505
129,506
130,512
131,513
132,514
133,521
134,518
135,519
136,141
137,142
138,33
139,715
140,717
141,716
142,21
143,721
144,720
145,719
146,718
147,4
148,143
149,139
150,140
151,147
152,146
153,145
154,43
155,144
156,782
157,784
158,234
159,783
160,601
161,602
162,600
163,5
164,684
165,209
166,153
167,686
168,399
169,683
170,400
171,685
172,834
173,835
174,485
175,47
176,490
177,487
178,20
179,169
180,522
181,39
182,23
183,579
184,523
185,524
186,582
187,520
188,226
189,36
190,227
191,228
192,222
193,223
194,224
195,225
196,359
197,360
198,361
199,190
200,489
201,56
202,111
203,486
204,362
205,488
206,363
207,796
208,797
209,798
210,352
211,799
212,800
213,571
214,570
215,566
216,17
217,568
218,299
219,303
220,98
221,78
222,304
223,305
224,7
225,306
226,292
227,30
228,293
229,294
230,623
231,622
232,40
233,626
234,8
235,32
236,100
237,101
238,102
239,103
240,104
241,105
242,106
243,107
244,624
245,235
246,625
247,177
248,54
249,53
250,184
251,572
252,97
253,574
254,575
255,77
256,302
257,291
258,436
259,437
260,775
261,438
262,267
263,732
264,812
265,91
266,735
267,737
268,534
269,810
270,536
271,22
272,738
273,817
274,816
275,815
276,729
277,650
278,13
279,653
280,651
281,19
282,463
283,803
284,330
285,331
286,464
287,332
288,259
289,468
290,465
291,466
292,334
293,335
294,336
295,471
296,788
297,467
298,83
299,82
300,326
301,469
302,645
303,652
304,470
305,646
306,87
307,647
308,648
309,649
310,832
311,791
312,789
313,790
314,827
315,828
316,643
317,636
318,635
319,631
320,418
321,419
322,420
323,421
324,118
325,422
326,770
327,771
328,768
329,769
330,413
331,414
332,415
333,416
334,417
335,46
336,94
337,277
338,278
339,279
340,280
341,281
342,282
343,550
344,551
345,552
346,553
347,554
348,830
349,642
350,831
351,238
352,114
353,377
354,89
355,378
356,379
357,565
358,558
359,559
360,560
361,25
362,68
363,66
364,74
365,69
366,70
367,71
368,73
369,75
370,76
371,2
372,65
373,315
374,31
375,316
376,317
377,314
378,318
379,319
380,451
381,27
382,452
383,785
384,9
385,122
386,446
387,80
388,384
389,385
390,386
391,387
392,115
393,388
394,389
395,730
396,731
397,270
398,271
399,272
400,92
401,273
402,274
403,117
404,275
405,749
406,750
407,26
408,818
409,276
410,819
411,244
412,241
413,243
414,345
415,346
416,682
417,242
418,343
419,240
420,127
421,344
422,232
423,231
424,37
425,67
426,24
427,230
428,229
429,191
430,699
431,702
432,700
433,628
434,95
435,629
436,640
437,96
438,295
439,296
440,297
441,298
442,627
443,108
444,630
445,164
446,165
447,166
448,167
449,16
450,168
451,112
452,28
453,12
454,41
455,62
456,495
457,192
458,333
459,328
460,329
461,327
462,300
463,49
464,301
465,151
466,535
467,537
468,538
469,539
470,733
471,734
472,540
473,736
474,588
475,594
476,595
477,170
478,597
479,598
480,593
481,182
482,661
483,123
484,727
485,188
486,109
487,665
488,126
489,110
490,475
491,55
492,692
493,694
494,695
495,189
496,674
497,833
498,676
499,677
500,337
501,679
502,794
503,239
504,792
505,793
506,681
507,0
508,675
509,369
510,370
511,366
512,368
513,364
514,772
515,773
516,48
517,698
518,119
519,697
520,193
521,581
522,51
523,583
524,580
525,587
526,669
527,589
528,183
529,590
530,194
531,592
532,673
533,578
534,596
535,178
536,172
537,99
538,173
539,174
540,175
541,176
542,823
543,824
544,425
545,426
546,427
547,163
548,428
549,64
550,429
551,804
552,805
553,430
554,431
555,432
556,433
557,434
558,435
559,353
560,354
561,129
562,355
563,356
564,357
565,795
566,801
567,802
568,180
569,325
570,323
571,825
572,324
573,638
574,321
