,map equation centrality rank
0,924
1,957
2,753
3,428
4,997
5,985
6,732
7,672
8,891
9,825
10,548
11,451
12,364
13,272
14,780
15,223
16,740
17,686
18,739
19,299
20,593
21,920
22,967
23,746
24,123
25,439
26,533
27,333
28,419
29,159
30,833
31,487
32,499
33,359
34,300
35,197
36,193
37,455
38,276
39,206
40,344
41,561
42,467
43,289
44,225
45,224
46,64
47,121
48,403
49,625
50,587
51,297
52,2
53,1
54,495
55,127
56,910
57,664
58,112
59,205
60,271
61,275
62,800
63,109
64,24
65,600
66,916
67,676
68,990
69,968
70,837
71,217
72,500
73,696
74,468
75,70
76,140
77,33
78,189
79,99
80,266
81,345
82,152
83,440
84,844
85,219
86,438
87,370
88,262
89,142
90,222
91,18
92,38
93,371
94,323
95,7
96,4
97,972
98,953
99,560
100,518
101,172
102,273
103,350
104,198
105,757
106,873
107,342
108,852
109,621
110,529
111,562
112,563
113,848
114,915
115,356
116,905
117,530
118,139
119,306
120,96
121,390
122,728
123,84
124,83
125,612
126,146
127,85
128,122
129,45
130,40
131,26
132,360
133,44
134,261
135,377
136,365
137,389
138,57
139,196
140,181
141,13
142,34
143,103
144,20
145,10
146,65
147,48
148,21
149,62
150,255
151,143
152,207
153,5
154,91
155,327
156,162
157,257
158,133
159,283
160,211
161,649
162,513
163,430
164,375
165,574
166,346
167,247
168,554
169,310
170,282
171,353
172,312
173,151
174,320
175,9
176,485
177,363
178,177
179,418
180,129
181,228
182,101
183,496
184,547
185,629
186,307
187,0
188,117
189,234
190,703
191,395
192,249
193,212
194,186
195,145
196,15
197,90
198,267
199,764
200,124
201,324
202,546
203,141
204,202
205,254
206,369
207,165
208,402
209,87
210,132
211,138
212,195
213,75
214,174
215,218
216,576
217,60
218,41
219,29
220,73
221,119
222,253
223,63
224,190
225,781
226,575
227,644
228,160
229,420
230,94
231,67
232,248
233,243
234,49
235,149
236,691
237,697
238,591
239,337
240,173
241,711
242,391
243,545
244,147
245,474
246,729
247,105
248,69
249,936
250,744
251,851
252,658
253,665
254,382
255,349
256,3
257,376
258,204
259,601
260,508
261,322
262,380
263,466
264,316
265,394
266,531
267,559
268,330
269,169
270,74
271,97
272,381
273,319
274,175
275,348
276,50
277,92
278,184
279,387
280,51
281,287
282,110
283,431
284,716
285,831
286,180
287,318
288,98
289,892
290,445
291,427
292,765
293,401
294,668
295,573
296,689
297,292
298,410
299,155
300,35
301,115
302,436
303,527
304,246
305,259
306,424
307,423
308,210
309,845
310,685
311,76
312,170
313,361
314,265
315,194
316,792
317,733
318,503
