,map equation centrality rank
0,105
1,28
2,73
3,104
4,210
5,151
6,359
7,292
8,1
9,150
10,141
11,89
12,16
13,108
14,36
15,527
16,332
17,75
18,40
19,95
20,27
21,345
22,122
23,98
24,110
25,248
26,364
27,37
28,106
29,127
30,204
31,257
32,216
33,310
34,2
35,358
36,445
37,206
38,188
39,93
40,49
41,48
42,4
43,233
44,229
45,198
46,243
47,32
48,488
49,123
50,258
51,255
52,343
53,222
54,306
55,118
56,11
57,109
58,500
59,146
60,376
61,212
62,398
63,70
64,381
65,17
66,66
67,14
68,163
69,136
70,55
71,19
72,131
73,79
74,50
75,42
76,520
77,69
78,320
79,23
80,92
81,38
82,35
83,173
84,58
85,116
86,81
87,290
88,238
89,13
90,399
91,230
92,20
93,90
94,56
95,39
96,167
97,169
98,31
99,615
100,6
101,9
102,22
103,8
104,179
105,300
106,61
107,129
108,3
109,138
110,322
111,357
112,335
113,278
114,401
115,77
116,435
117,443
118,0
119,183
120,12
121,205
122,178
123,125
124,346
125,256
126,246
127,312
128,286
129,10
130,165
131,177
132,382
133,175
134,245
135,25
136,5
137,135
138,283
139,130
140,293
141,46
142,15
143,620
144,338
145,96
146,285
147,331
148,24
149,298
150,422
151,284
152,30
153,375
154,334
155,190
156,111
157,311
158,101
159,172
160,71
161,145
162,282
163,477
164,325
165,202
166,18
167,124
168,176
169,649
170,184
171,249
172,107
173,126
174,303
175,562
176,355
177,655
178,563
179,221
180,149
181,313
182,619
183,51
184,154
185,387
186,115
187,60
188,91
189,65
190,160
191,139
192,76
193,142
194,158
195,272
196,44
197,333
198,439
199,217
200,577
201,82
202,59
203,503
204,454
205,219
206,392
207,128
208,171
209,148
210,374
211,347
212,33
213,120
214,7
215,45
216,397
217,94
218,329
219,227
220,218
221,26
222,119
223,193
224,266
225,68
226,250
227,254
228,112
229,168
230,62
231,166
232,341
233,63
234,121
235,323
236,64
237,156
238,240
239,21
240,683
241,575
242,351
243,288
244,379
245,87
246,264
247,587
248,279
249,97
250,232
251,41
252,53
253,189
254,43
255,213
256,137
257,67
258,140
259,211
260,88
261,451
262,699
263,455
264,408
265,505
266,367
267,356
268,489
269,214
270,52
271,302
272,531
273,452
274,557
275,578
276,294
277,522
278,572
279,581
280,715
281,457
282,377
283,161
284,269
285,469
286,228
287,566
288,344
289,277
290,460
291,295
292,252
293,147
294,478
295,159
296,197
297,72
298,103
299,368
300,410
301,307
302,599
303,74
304,224
305,114
306,80
307,241
308,201
309,507
310,299
311,702
312,309
313,437
314,251
315,185
316,516
317,117
318,199
319,186
320,57
321,170
322,591
323,349
324,336
325,132
326,207
327,509
328,192
329,86
330,273
331,508
332,152
333,84
334,100
335,34
336,143
337,47
338,54
339,411
340,449
341,547
342,134
343,162
344,432
345,187
346,265
347,730
348,420
349,191
350,261
351,523
352,476
353,528
354,456
355,342
356,582
357,438
358,393
359,182
360,85
361,495
362,208
363,417
364,318
365,328
366,348
367,239
368,271
369,493
370,529
371,29
372,611
373,482
374,275
375,617
376,514
377,490
378,196
379,530
380,716
381,441
382,113
383,263
384,308
385,304
386,407
387,223
388,684
389,442
390,220
391,360
392,750
393,597
394,157
395,236
396,556
397,394
398,586
399,268
400,633
401,567
402,340
403,353
404,501
405,440
406,78
407,144
408,532
409,200
410,324
411,416
412,480
413,195
414,319
415,194
416,373
417,384
418,354
419,372
420,215
421,365
422,102
423,385
424,386
425,267
426,390
427,330
428,276
429,519
430,608
431,305
432,242
