,map equation centrality rank
0,6653
1,9
2,0
3,3946
4,397
5,2219
6,3365
7,648
8,2434
9,1489
10,2168
11,2851
12,3175
13,880
14,68
15,3659
16,4411
17,23
18,3343
19,173
20,188
21,3053
22,1539
23,96
24,133
25,764
26,6
27,905
28,2757
29,66
30,33
31,4404
32,1625
33,3761
34,473
35,300
36,140
37,205
38,41
39,19
40,275
41,2295
42,3257
43,203
44,148
45,180
46,1742
47,1362
48,232
49,3256
50,468
51,2483
52,87
53,1898
54,62
55,752
56,1162
57,2055
58,143
59,545
60,210
61,88
62,267
63,2795
64,1300
65,2427
66,503
67,1753
68,4055
69,680
70,3942
71,155
72,1232
73,100
74,120
75,2856
76,145
77,371
78,2584
79,712
80,249
81,4678
82,5180
83,89
84,104
85,500
86,334
87,2085
88,606
89,75
90,244
91,750
92,498
93,2777
94,3397
95,1833
96,1184
97,2796
98,1792
99,1008
100,385
101,289
102,3402
103,1493
104,2059
105,6306
106,501
107,3404
108,4264
109,153
110,3926
111,1369
112,1177
113,1774
114,184
115,327
116,134
117,859
118,1180
119,129
120,698
121,4322
122,1650
123,1165
124,3485
125,162
126,5030
127,166
128,273
129,1166
130,1167
131,2293
132,4607
133,218
134,4204
135,24
136,137
137,913
138,294
139,1111
140,272
141,2
142,172
143,765
144,414
145,3300
146,2806
147,1235
148,2623
149,462
150,1068
151,1233
152,1396
153,3727
154,2607
155,3475
156,3517
157,1373
158,183
159,3005
160,3718
161,372
162,362
163,310
164,2837
165,246
166,2831
167,1739
168,461
169,2247
170,5654
171,1903
172,5326
173,1546
174,4046
175,2489
176,258
177,4419
178,4289
179,3419
180,3127
181,287
182,2666
183,3077
184,3518
185,4977
186,3623
187,4267
188,2344
189,625
190,2616
191,3432
192,2253
193,1914
194,1805
195,1423
196,2001
197,1073
198,136
199,2404
200,2517
201,1842
202,834
203,3409
204,2407
205,3754
206,1133
207,1627
208,4253
209,4285
210,61
211,1829
212,5630
213,2321
214,3291
215,1895
216,2776
217,1188
218,2067
219,1107
220,2417
221,1617
222,3670
223,2409
224,4681
225,4682
226,6293
227,3194
228,3930
229,4039
230,182
231,3388
232,2058
233,3410
234,2775
235,3173
236,2225
237,1283
238,1915
239,40
240,2399
241,4511
242,4510
243,2079
244,2738
245,1171
246,308
247,4773
248,3958
249,2944
250,8
251,3427
252,3829
253,847
254,38
255,3413
256,4275
257,3824
258,1112
259,4139
260,4255
261,883
262,3163
263,6948
264,213
265,2750
266,2423
267,2970
268,3922
269,2764
270,2421
271,1635
272,471
273,126
274,2725
275,8630
276,3258
277,5370
278,356
279,2298
280,5957
281,8614
282,4921
283,2419
284,3916
285,6283
286,911
287,6284
288,187
289,1079
290,3678
291,3752
292,176
293,586
294,4307
295,2751
296,2070
297,2303
298,1908
299,2064
300,703
301,2625
302,2805
303,6349
304,2414
305,5323
306,1076
307,2054
308,5560
309,5653
310,3153
311,5207
312,5380
313,5623
314,8608
315,1195
316,3469
317,376
318,8605
319,3483
320,1305
321,6279
322,3717
323,1067
324,4878
325,8602
326,3436
327,7626
328,1925
329,4321
330,3186
331,1069
332,6278
333,1365
334,5978
335,5789
336,8589
337,8585
338,1306
339,2620
340,1417
341,6360
342,4684
343,3383
344,5787
345,5320
346,2770
347,2413
348,6273
349,8580
350,3386
351,1960
352,2802
353,2446
354,3202
355,2431
356,5319
357,8576
358,1671
359,2471
360,377
361,2982
362,311
363,4066
364,4283
365,728
366,4884
367,786
368,3478
369,4402
370,3492
371,3910
372,3421
373,6362
374,6363
375,1662
376,3768
377,6263
378,5315
379,933
380,792
381,1497
382,4284
383,4035
384,8564
385,645
386,979
387,8562
388,8561
389,8560
390,4290
391,3691
392,2768
393,4342
394,8558
395,3045
396,8555
397,3264
398,6709
399,2959
400,4686
401,543
402,4044
403,6261
404,4721
405,1964
406,6365
407,5314
408,1264
409,3046
410,2049
411,3915
412,4687
413,4258
414,6033
415,8549
416,8546
417,8545
418,8544
419,8543
420,4418
421,2844
422,3038
423,1668
424,1801
425,2960
426,2766
427,642
428,8537
429,4348
430,2984
431,4272
432,8533
433,6256
434,1802
435,1014
436,4727
437,5430
438,2415
439,1103
440,8529
441,119
442,540
443,378
444,1366
445,4257
446,4048
447,2961
448,6242
449,4403
450,2243
451,3487
452,2343
453,6247
454,8503
455,6245
456,3974
457,1385
458,4689
459,8494
460,3981
461,2422
462,4951
463,6714
464,3168
465,8482
466,8481
467,199
468,5307
469,8474
470,3770
471,3049
472,4896
473,1424
474,838
475,6230
476,762
477,7117
478,277
479,5775
480,5107
481,8464
482,1277
483,128
484,4750
485,3996
486,8461
487,3707
488,2608
489,8458
490,8455
491,2643
492,1666
493,8453
494,851
495,4898
496,608
497,296
498,179
499,54
500,18
501,7
502,14
503,50
504,31
505,67
506,71
507,15
508,499
509,2053
510,29
511,1618
512,1569
513,268
514,28
515,1110
516,21
517,4
518,114
519,472
520,1736
521,11
522,3513
523,34
524,10
525,379
526,135
527,588
528,494
529,399
530,380
531,230
532,46
533,147
534,770
535,111
536,649
537,163
538,1510
539,49
540,12
541,665
542,6779
543,5251
544,5557
545,4659
546,607
547,3472
548,3270
549,2843
550,6770
551,10014
552,10006
553,3763
554,4052
555,1205
556,3182
557,5061
558,4032
559,2393
560,9994
561,9991
562,2290
563,90
564,2848
565,4910
566,4953
567,9964
568,9962
569,6744
570,2474
571,3760
572,4427
573,6742
574,4030
575,181
576,1006
577,387
578,3762
579,4911
580,1213
581,929
582,4413
583,259
584,6738
585,1959
586,110
587,4020
588,490
589,3047
590,5496
591,6735
592,4536
593,4537
594,5839
595,3320
596,2524
597,4543
598,1334
599,47
600,530
601,2688
602,3577
603,60
604,141
605,2349
606,367
607,6726
608,3890
609,5512
610,3348
611,5103
612,6720
613,3836
614,7338
615,7350
616,7303
617,2954
618,1169
619,2233
620,3195
621,1604
622,328
623,1119
624,360
625,661
626,444
627,247
628,9886
629,936
630,117
631,138
632,168
633,854
634,121
635,389
636,106
637,122
638,1884
639,9877
640,9873
641,2479
642,9874
643,9876
644,4222
645,537
646,2198
647,6713
648,470
649,4913
650,475
651,5527
652,2550
653,9864
654,4524
655,2752
656,6711
657,4502
658,127
659,1101
660,1346
661,43
662,1113
663,5530
664,3037
665,3765
666,4914
667,4051
668,10311
669,2493
670,1677
671,1683
672,983
673,563
674,3255
675,1542
676,295
677,2836
678,3477
679,855
680,894
681,611
682,220
683,329
684,4408
685,857
686,6701
687,9854
688,6700
689,9847
690,2116
691,2841
692,4915
693,5538
694,5537
695,2472
696,3050
697,3756
698,3162
699,303
700,1716
701,3480
702,474
703,691
704,76
705,4228
706,972
707,58
708,102
709,6077
710,307
711,1252
712,1876
713,1727
714,955
715,2518
716,2823
717,858
718,441
719,1301
720,4397
721,9832
722,112
723,624
724,109
725,1160
726,3894
727,2554
728,1163
729,700
730,1722
731,488
732,2192
733,5539
734,4916
735,853
736,2128
737,1956
738,2191
739,69
740,678
741,78
742,2509
743,1818
744,1035
745,2586
746,903
747,2969
748,4917
749,2371
750,388
751,1788
752,2964
753,4449
754,6688
755,79
756,895
757,2017
758,3130
759,3643
760,2205
761,1355
762,825
763,3645
764,6079
765,3758
766,1530
767,3470
768,3052
769,2289
770,2739
771,702
772,2853
773,2972
774,3467
775,3073
776,3901
777,4980
778,2670
779,10396
780,10397
781,4098
782,7023
783,10399
784,7027
785,6906
786,10401
787,10402
788,6914
789,6916
790,10404
791,5442
792,3749
793,223
794,4437
795,3789
796,312
797,4439
798,72
799,1550
800,139
801,146
802,2145
803,1309
804,2860
805,476
806,335
807,1313
808,2859
809,1552
810,150
811,6677
812,6674
813,4143
814,108
815,5047
816,2900
817,1036
