,map equation centrality rank
0,8095
1,9583
2,1154
3,5976
4,12904
5,16834
6,3475
7,141
8,34
9,17776
10,14919
11,26926
12,3404
13,10821
14,12725
15,21530
16,589
17,5293
18,21531
19,194
20,3116
21,498
22,21536
23,26936
24,6870
25,5112
26,26937
27,17801
28,193
29,21873
30,15595
31,1294
32,15592
33,3112
34,21542
35,26938
36,4437
37,5927
38,21545
39,5308
40,26939
41,669
42,21564
43,26941
44,3410
45,21548
46,21555
47,3510
48,5928
49,3403
50,6871
51,26954
52,13241
53,21557
54,26955
55,1662
56,6130
57,18584
58,17800
59,2636
60,3897
61,26956
62,17793
63,6114
64,5929
65,1610
66,26970
67,1062
68,17778
69,26971
70,6868
71,9225
72,21572
73,4629
74,13245
75,26805
76,11433
77,26806
78,10819
79,21574
80,29
81,6372
82,3841
83,1900
84,1721
85,2917
86,281
87,2189
88,6451
89,287
90,233
91,6123
92,482
93,4646
94,4643
95,723
96,201
97,4054
98,5326
99,13452
100,950
101,4647
102,610
103,2142
104,4648
105,2413
106,859
107,11420
108,1183
109,18552
110,11416
111,23047
112,24
113,572
114,1243
115,13920
116,11615
117,2649
118,22
119,398
120,364
121,24678
122,19518
123,14828
124,3227
125,12134
126,11970
127,893
128,1109
129,4240
130,13926
131,13927
132,4504
133,11904
134,10143
135,11906
136,5842
137,1586
138,12673
139,11907
140,4847
141,1776
142,1919
143,5572
144,25932
145,3867
146,8367
147,8608
148,5472
149,2647
150,1079
151,2431
152,2168
153,6925
154,11463
155,9778
156,715
157,1866
158,2527
159,16983
160,17603
161,12638
162,3300
163,4501
164,5230
165,10248
166,5725
167,329
168,5240
169,2255
170,1864
171,10508
172,6716
173,3828
174,2352
175,25107
176,5687
177,13257
178,23033
179,9620
180,15559
181,6140
182,4796
183,2097
184,19503
185,471
186,2468
187,997
188,2475
189,1178
190,170
191,117
192,6538
193,7322
194,10126
195,24686
196,8077
197,3238
198,4235
199,5542
200,24687
201,27909
202,446
203,14503
204,12384
205,3834
206,5799
207,6714
208,21518
209,7930
210,26832
211,26834
212,12722
213,17790
214,21526
215,14924
216,14925
217,10816
218,26835
219,21527
220,21554
221,18693
222,26838
223,21535
224,10824
225,9792
226,244
227,4667
228,804
229,3567
230,878
231,4736
232,22736
233,376
234,6354
235,2190
236,4160
237,9913
238,8930
239,5265
240,11024
241,6373
242,11025
243,8525
244,18575
245,13264
246,2316
247,13512
248,11476
249,7267
250,11477
251,16114
252,1704
253,2194
254,839
255,6271
256,1371
257,2698
258,905
259,13513
260,578
261,13514
262,973
263,3853
264,361
265,60
266,1218
267,940
268,2766
269,19391
270,1155
271,421
272,7429
273,13812
274,24618
275,2497
276,11769
277,311
278,6493
279,9803
280,11768
281,16200
282,24457
283,11638
284,9296
285,15428
286,20441
287,3060
288,2709
289,18385
290,6977
291,9324
292,8514
293,13682
294,6358
295,16116
296,8472
297,8457
298,9985
299,8888
300,5711
301,2268
302,3785
303,1257
304,3786
305,1999
306,1410
307,10357
308,4279
309,6531
310,994
311,4921
312,525
313,12207
314,3406
315,27082
316,12765
317,5122
318,12763
319,17862
320,401
321,21679
322,17860
323,21651
324,21652
325,27074
326,21653
327,3899
328,27071
329,10165
330,4216
331,8681
332,8682
333,5599
334,2432
335,10112
336,2854
337,7082
338,39
339,156
340,417
341,62
342,36
343,15
344,42
345,70
346,7977
347,14930
348,11644
349,128
350,2810
351,745
352,5381
353,1855
354,17278
355,10672
356,6773
357,98
358,20088
359,6555
360,3058
361,17815
362,2844
363,12752
364,8052
365,13274
366,5111
367,1190
368,4067
369,2122
370,8109
371,14
372,9326
373,6476
374,849
375,265
376,55
377,3053
378,26267
379,440
380,26613
381,5917
382,10889
383,22059
384,12837
385,104
386,12832
387,2988
388,10888
389,22978
390,145
391,7282
392,3941
393,2440
394,3667
395,9968
396,16115
397,4101
398,1909
399,4098
400,10827
401,26895
402,17781
403,17783
404,15534
405,26896
406,6231
407,2160
408,1525
409,671
410,4081
411,13592
412,2768
413,9816
414,10453
415,729
416,6507
417,1140
418,8749
419,10236
420,2535
421,1750
422,2219
423,2868
424,8759
425,5635
426,3674
427,2499
428,2838
429,1727
430,6393
431,6394
432,3206
433,2209
434,16659
435,9932
436,8591
437,2500
438,7421
439,1094
440,26915
441,5152
442,9327
443,2361
444,945
445,5151
446,654
447,5994
448,712
449,3916
450,8032
451,708
452,10179
453,19919
454,6495
455,389
456,4869
457,4222
458,4866
459,21664
460,347
461,17845
462,8024
463,1629
464,7234
465,5202
466,9068
467,2083
468,593
469,25200
470,14269
471,5004
472,1130
473,8990
474,8991
475,14402
476,2287
477,1276
478,7755
479,1133
480,5780
481,2924
482,4356
483,14395
484,2022
