,map equation centrality rank
0,403
1,337
2,464
3,465
4,466
5,514
6,26
7,0
8,181
9,82
10,7
11,12
12,134
13,3
14,9
15,6
16,4
17,15
18,42
19,1
20,5
21,61
22,51
23,60
24,44
25,131
26,89
27,50
28,30
29,36
30,37
31,19
32,69
33,24
34,47
35,57
36,160
37,23
38,151
39,46
40,149
41,183
42,59
43,41
44,169
45,20
46,164
47,141
48,146
49,14
50,2
51,21
52,152
53,150
54,13
55,64
56,11
57,73
58,127
59,177
60,154
61,63
62,180
63,35
64,53
65,18
66,34
67,83
68,17
69,28
70,31
71,33
72,10
73,38
74,32
75,25
76,39
77,90
78,66
79,139
80,158
81,159
82,140
83,29
84,8
85,54
86,81
87,148
88,16
89,98
90,143
91,137
92,62
93,45
94,56
95,74
96,389
97,113
98,125
99,93
100,124
101,107
102,110
103,84
104,288
105,384
106,101
107,55
108,362
109,78
110,87
111,122
112,120
113,67
114,88
115,189
116,121
117,118
118,85
119,92
120,114
121,94
122,115
123,79
124,117
125,132
126,96
127,86
128,119
129,80
130,75
131,71
132,27
133,123
134,91
135,97
136,70
137,49
138,43
139,116
140,112
141,111
142,76
143,95
144,106
145,109
146,108
147,104
148,72
149,105
150,77
151,103
152,102
153,68
154,297
155,408
156,174
157,163
158,283
159,296
160,48
161,188
162,612
163,205
164,728
165,551
166,275
167,490
168,138
169,218
170,215
171,305
172,364
173,299
174,371
175,542
176,320
177,325
178,153
179,613
180,196
181,197
182,198
183,199
184,200
185,201
186,202
187,230
188,203
189,204
190,191
191,195
192,225
193,220
194,237
195,238
196,239
197,229
198,240
199,228
200,227
201,241
202,192
203,242
204,226
205,224
206,301
207,136
208,367
209,267
210,266
211,268
212,264
213,253
214,255
215,295
216,216
217,254
218,58
219,782
220,548
221,130
222,147
223,161
224,434
225,435
226,436
227,469
228,470
229,472
230,171
231,393
232,351
233,322
234,185
235,281
236,166
237,212
238,330
239,352
240,303
241,245
242,392
243,290
244,249
245,250
246,285
247,374
248,278
249,386
250,172
251,99
252,280
253,244
254,247
255,187
256,40
257,52
258,126
259,129
260,231
261,211
262,221
263,222
264,234
265,276
266,274
267,355
268,356
269,357
270,306
271,142
272,533
273,144
274,157
275,178
276,190
277,22
278,345
279,286
280,427
281,341
282,291
283,208
284,168
285,175
286,145
287,279
288,256
289,173
290,257
291,258
292,259
293,271
294,260
295,261
296,262
297,263
298,182
299,135
300,165
301,184
302,100
303,314
304,162
305,167
306,292
307,209
308,382
309,528
310,673
311,233
312,483
313,308
314,375
315,376
316,350
317,318
318,323
319,396
320,451
321,540
322,406
323,582
324,219
325,248
326,385
327,273
328,270
329,272
330,186
331,541
332,591
333,424
334,368
335,313
336,155
337,457
338,573
339,491
340,504
341,598
342,599
343,534
344,537
345,400
346,425
347,476
348,170
349,206
350,210
351,207
352,316
353,217
354,300
355,232
356,298
357,338
358,340
359,363
360,252
361,468
362,339
363,326
364,428
365,508
366,838
367,839
368,422
369,360
370,429
371,616
372,617
373,841
374,269
375,347
376,321
377,284
378,353
379,670
380,842
381,332
382,282
383,418
384,417
385,251
386,287
387,361
388,133
389,478
390,455
391,565
392,388
393,561
394,686
395,515
396,545
397,546
398,454
399,518
400,520
401,521
402,843
403,358
404,331
405,319
406,294
407,342
408,307
409,359
410,624
411,379
412,328
413,626
414,366
415,844
416,354
417,333
418,432
419,327
420,176
421,179
422,394
423,499
424,500
425,632
426,193
427,194
428,235
429,335
430,277
431,310
432,633
433,501
434,485
435,532
436,682
437,502
438,343
439,128
440,214
441,156
442,213
443,637
444,309
445,440
446,246
447,302
448,391
449,442
450,414
451,689
452,535
453,536
454,690
455,685
456,681
457,845
458,405
459,344
460,407
461,430
462,669
463,667
464,390
465,446
466,447
467,329
468,444
469,223
470,423
471,461
472,399
473,509
474,644
475,510
476,511
477,312
478,304
479,448
480,419
481,412
482,562
483,512
484,846
485,370
486,473
487,575
488,410
489,516
490,517
491,380
492,482
493,477
494,653
495,317
496,655
497,519
498,525
499,657
500,433
501,462
502,492
503,680
504,348
505,474
506,660
507,539
508,661
509,662
510,488
511,311
512,381
513,642
514,401
515,805
516,567
517,833
518,834
519,835
520,646
521,421
522,453
523,684
524,487
525,456
526,426
527,377
528,372
529,522
530,397
531,289
532,836
533,365
534,583
535,559
536,584
537,413
538,664
539,437
540,588
541,349
542,346
543,489
544,569
545,450
546,395
547,378
548,590
549,443
550,484
551,592
552,593
553,449
554,683
555,293
556,837
557,265
558,547
559,848
560,568
561,840
562,595
563,678
564,467
565,497
566,596
567,597
568,691
569,692
570,480
571,526
572,439
573,677
574,693
575,459
576,398
577,415
578,438
579,471
580,674
581,694
582,610
583,600
584,538
585,566
586,695
587,696
588,601
589,672
590,602
591,495
592,603
593,494
594,604
595,554
596,460
597,524
598,530
599,563
600,336
601,697
602,698
603,668
604,605
605,688
606,334
607,416
608,445
609,409
610,402
611,560
612,549
613,676
614,571
615,574
616,570
617,387
618,458
619,373
620,479
621,531
622,675
623,606
624,431
625,404
626,513
627,324
628,441
629,507
630,236
631,699
632,529
633,671
634,503
635,527
636,607
637,608
638,523
639,420
640,609
641,65
642,572
643,557
644,558
645,496
646,315
647,611
648,700
649,687
650,701
651,702
652,703
653,704
654,705
655,706
656,707
657,708
658,709
659,710
660,711
661,712
662,713
663,714
664,715
665,716
666,717
667,718
668,719
669,720
670,721
671,722
672,723
673,724
674,725
675,726
676,727
677,729
678,730
679,731
680,732
681,733
682,734
683,735
684,736
685,737
686,738
687,739
688,740
689,741
690,742
691,743
692,744
693,745
694,746
695,747
696,748
697,749
698,750
699,751
700,752
701,753
702,754
703,755
704,756
705,757
706,758
707,759
708,760
709,761
710,762
711,763
712,764
713,765
714,766
715,767
716,768
717,769
718,770
719,771
720,772
721,773
722,774
723,775
724,505
725,776
726,777
727,778
728,779
729,780
730,781
731,786
732,783
733,784
734,785
735,498
736,787
737,788
738,789
739,790
740,791
741,792
742,793
743,794
744,795
745,796
746,797
747,798
748,799
749,800
750,801
751,802
752,803
753,804
754,826
755,806
756,807
757,808
758,809
759,810
760,811
761,812
762,813
763,814
764,815
765,816
766,817
767,818
768,819
769,820
770,821
771,822
772,823
773,824
774,825
775,847
776,555
777,556
778,614
779,640
780,615
781,827
782,618
783,619
784,828
785,829
786,830
787,463
788,831
789,506
790,411
791,663
792,486
793,620
794,665
795,832
796,621
797,666
798,679
799,550
800,622
801,623
802,625
803,627
804,628
805,629
806,630
807,631
808,634
809,635
810,636
811,638
812,639
813,585
814,641
815,643
816,645
817,493
818,647
819,648
820,649
821,650
822,651
823,652
824,654
825,656
826,658
827,659
828,576
829,577
830,578
831,579
832,580
833,581
834,586
835,587
836,553
837,552
838,543
839,544
840,452
841,243
842,564
843,589
844,369
845,475
846,594
847,383
848,481
