,map equation centrality rank
0,138
1,224
2,139
3,57
4,113
5,26
6,84
7,85
8,86
9,87
10,4
11,43
12,114
13,115
14,116
15,35
16,140
17,27
18,183
19,47
20,66
21,36
22,117
23,59
24,184
25,190
26,37
27,25
28,31
29,326
30,327
31,328
32,324
33,325
34,159
35,67
36,209
37,210
38,188
39,23
40,54
41,88
42,15
43,255
44,256
45,144
46,145
47,146
48,257
49,147
50,148
51,149
52,0
53,46
54,73
55,122
56,158
57,162
58,163
59,164
60,38
61,79
62,95
63,96
64,165
65,71
66,14
67,98
68,99
69,17
70,56
71,55
72,178
73,180
74,42
75,100
76,101
77,102
78,103
79,104
80,171
81,105
82,107
83,106
84,108
85,91
86,18
87,109
88,53
89,110
90,111
91,112
92,32
93,90
94,76
95,167
96,150
97,72
98,52
99,92
100,93
101,12
102,82
103,174
104,175
105,29
106,176
107,77
108,177
109,151
110,94
111,179
112,97
113,128
114,129
115,130
116,206
117,16
118,21
119,268
120,78
121,152
122,153
123,181
124,182
125,132
126,28
127,39
128,208
129,30
130,225
131,70
132,226
133,157
134,317
135,40
136,133
137,64
138,65
139,191
140,123
141,124
142,8
143,125
144,126
145,127
146,192
147,193
148,194
149,195
150,196
151,1
152,186
153,118
154,119
155,62
156,60
157,61
158,185
159,120
160,20
161,44
162,227
163,228
164,234
165,318
166,322
167,320
168,321
169,319
170,323
171,89
172,272
173,50
174,273
175,215
176,68
177,41
178,34
179,51
180,161
181,3
182,74
183,216
184,217
185,19
186,218
187,69
188,75
189,63
190,207
191,131
192,135
193,219
194,136
195,170
196,7
197,197
198,198
199,199
200,200
201,201
202,202
203,203
204,204
205,205
206,137
207,220
208,166
209,172
210,24
211,156
212,80
213,81
214,48
215,154
216,269
217,270
218,49
219,155
220,271
221,33
222,173
223,221
224,222
225,169
226,10
227,187
228,121
229,229
230,9
231,141
232,142
233,230
234,231
235,45
236,232
237,233
238,223
239,6
240,274
241,275
242,276
243,277
244,278
245,279
246,280
247,281
248,282
249,283
250,284
251,285
252,286
253,287
254,143
255,235
256,83
257,13
258,288
259,289
260,290
261,291
262,292
263,293
264,2
265,236
266,237
267,238
268,239
269,240
270,241
271,242
272,243
273,244
274,245
275,246
276,247
277,248
278,249
279,250
280,251
281,252
282,253
283,254
284,258
285,259
286,260
287,261
288,262
289,263
290,264
291,265
292,266
293,267
294,11
295,211
296,212
297,134
298,213
299,294
300,22
301,295
302,214
303,189
304,160
305,5
306,303
307,304
308,305
309,306
310,307
311,308
312,309
313,310
314,311
315,312
316,313
317,314
318,315
319,316
320,296
321,297
322,298
323,299
324,300
325,301
326,302
327,168
328,58
