,map equation centrality rank
0,4
1,2552
2,3138
3,2551
4,3146
5,2893
6,3557
7,2329
8,3351
9,1020
10,3148
11,4020
12,4018
13,1768
14,2726
15,4016
16,3234
17,2901
18,4015
19,2622
20,2725
21,885
22,3062
23,2547
24,2620
25,816
26,832
27,3652
28,2894
29,2895
30,2550
31,2147
32,3559
33,3926
34,3617
35,3925
36,3064
37,4014
38,3242
39,2727
40,1311
41,2095
42,3923
43,4013
44,3550
45,2978
46,3659
47,3920
48,2214
49,3745
50,3059
51,3463
52,3943
53,1769
54,3350
55,2546
56,700
57,2729
58,2973
59,2401
60,3363
61,3843
62,1983
63,3555
64,3460
65,2979
66,2730
67,725
68,3237
69,3141
70,3937
71,3840
72,2093
73,3143
74,4017
75,2813
76,3835
77,3561
78,3244
79,2975
80,2148
81,3846
82,1647
83,3451
84,2899
85,2814
86,3553
87,2892
88,2327
89,3353
90,3916
91,3354
92,2267
93,3355
94,2217
95,3552
96,3238
97,3851
98,1198
99,2900
100,3236
101,2400
102,3562
103,2631
104,1729
105,2817
106,3359
107,0
108,2902
109,1524
110,3657
111,2816
112,3832
113,1415
114,4019
115,2268
116,2545
117,3556
118,1571
119,940
120,3733
121,2974
122,923
123,2462
124,3735
125,3734
126,3450
127,2628
128,1885
129,3453
130,2624
131,3457
132,2625
133,2459
134,2398
135,3144
136,278
137,2626
138,3938
139,3243
140,3065
141,1887
142,1339
143,2977
144,2731
145,3932
146,3145
147,3560
148,2325
149,2811
150,3067
151,3462
152,3654
153,3944
154,3917
155,3849
156,2980
157,3839
158,2043
159,2812
160,3924
161,2042
162,3352
163,3551
164,3841
165,3063
166,3742
167,3455
168,3056
169,1481
170,1271
171,2216
172,1388
173,2948
174,3736
175,2544
176,2819
177,3057
178,2891
179,3848
180,2330
181,3139
182,3838
183,3919
184,2458
185,1984
186,1310
187,2621
188,1221
189,3454
190,3743
191,3842
192,3660
193,3653
194,2399
195,3247
196,2896
197,2619
198,2949
199,1246
200,1019
201,3744
202,3746
203,1021
204,2215
205,3918
206,3747
207,3834
208,3459
209,4025
210,4023
211,1807
212,2464
213,1439
214,2549
215,4022
216,3934
217,3357
218,3246
219,3564
220,3732
221,3358
222,3060
223,1929
224,1884
225,3147
226,2810
227,2732
228,3845
229,3563
230,3239
231,2263
232,2044
233,3936
234,3941
235,3661
236,1526
237,3461
238,2149
239,986
240,3833
241,3939
242,2094
243,3361
244,3933
245,3656
246,2815
247,3850
248,2264
249,2091
250,3658
251,2809
252,883
253,3853
254,2548
255,3940
256,3915
257,2460
258,2728
259,3356
260,3360
261,1480
262,3737
263,3448
264,3650
265,1930
266,2463
267,3935
268,3066
269,3554
270,3738
271,753
272,1289
273,3233
274,2818
275,3150
276,2461
277,884
278,3142
279,3942
280,1337
281,2630
282,3921
283,3655
284,2629
285,1247
286,3931
287,4024
288,3739
289,3740
290,2820
291,1572
292,4012
293,3836
294,3837
295,3149
296,3449
297,2041
298,3061
299,2326
300,3452
301,3844
302,2324
303,2266
304,1059
305,3922
306,3241
307,3741
308,2092
309,3140
310,2897
311,3458
312,1985
313,1525
314,2898
315,1038
316,3930
317,3464
318,3058
319,3362
320,2265
321,3852
322,768
323,1441
324,1986
325,1440
326,2397
327,3731
328,3240
329,1808
330,2623
331,2328
332,1338
333,3364
334,1886
335,4021
336,3847
337,3245
338,3456
339,1931
340,3558
341,2976
342,1648
343,2465
344,3235
345,2627
346,1932
347,3465
348,13
414,180
428,391
1684,1
1912,2
2814,3929
2838,3748
2885,3749
3003,3750
3173,2424
3290,3651
353,475
363,523
366,512
376,279
389,1214
420,1633
475,350
483,12
484,438
517,460
526,505
538,599
563,568
566,618
580,631
596,1268
601,2028
606,569
629,3038
637,390
641,861
649,3613
651,750
896,314
897,850
898,1461
899,3782
900,2912
901,1657
902,1263
903,1655
904,3780
905,2519
906,691
907,2841
908,1733
909,2989
910,3625
911,3969
912,3209
913,1302
914,2592
915,1596
916,219
917,295
918,3970
919,1832
920,2837
921,442
922,1775
923,3379
924,1281
925,149
926,2227
927,726
928,3264
929,3670
930,1115
931,2679
932,904
933,2021
934,651
935,3414
936,1515
937,3413
938,1851
939,2514
940,2513
941,1079
942,875
943,2940
944,1511
945,3696
946,153
947,386
948,1469
949,2125
950,3167
951,2339
952,621
953,416
954,1055
955,3170
956,3160
957,874
958,2099
959,1251
960,462
961,2838
962,1914
963,1690
964,1955
965,2589
966,385
967,433
968,1403
969,1704
970,2745
971,1626
972,2228
973,2414
974,3025
975,1081
976,2078
977,1957
978,457
979,3164
980,301
981,1233
982,818
983,925
984,1352
985,3415
986,3026
987,3573
988,1380
989,1588
990,1825
991,2343
992,1771
993,198
994,1905
995,847
996,3675
997,517
998,3179
999,702
1000,2593
1001,1432
1002,3681
1003,527
1004,359
1005,2778
1006,238
1007,2591
1008,3275
1009,1008
1010,1554
1011,1702
1012,1717
1013,2951
1014,499
1015,1553
1016,3265
1017,215
1018,1132
1019,995
1020,994
1021,947
1022,3682
1023,3263
1024,612
1025,1833
1026,668
1027,3775
1028,837
1029,676
1030,3072
1031,3764
1032,685
1033,2557
1034,3776
1035,1954
1036,992
1037,1512
1038,3585
1039,1891
1040,835
1041,1212
1042,2676
1043,2991
1044,1867
1045,2990
1046,3778
1047,870
1048,443
1049,653
1050,3000
1051,1262
1052,914
1053,3378
1054,1069
1055,2752
1056,869
1057,3671
1058,3387
1059,157
1060,1138
1061,3166
1062,2180
1063,2163
1064,1911
1065,3886
1066,830
1067,720
1068,1172
1069,2229
1070,695
1071,3777
1072,1951
1073,3161
1074,905
1075,667
1076,234
1077,2648
1078,95
1079,331
1080,973
1081,1788
1082,1011
1083,441
1084,2647
1085,866
1086,27
1087,3386
1088,2833
1089,2780
1090,2859
1091,2281
1092,1145
1093,3204
1094,3029
1095,2076
1096,3965
1097,1578
1098,2157
1099,1030
1100,893
1101,329
1102,1133
1103,3307
1104,424
1105,3679
1106,1907
1107,241
1108,1324
1109,1455
1110,788
1111,3261
1112,1067
1113,1236
1114,1468
1115,1555
1116,1815
1117,341
1118,1614
1119,3964
1120,1134
1121,2072
1122,1187
1123,770
1124,290
1125,372
1126,43
1127,2244
1128,502
1129,965
1130,852
1131,1703
1132,236
1133,3485
1134,3024
1135,819
1136,1692
1137,1852
1138,2831
1139,2073
1140,3200
1141,2433
1142,1672
1143,2779
1144,2271
1145,3966
1146,220
1147,3609
1148,876
1149,470
1150,2750
1151,3489
1152,2511
1153,251
1154,3206
1155,1283
1156,493
1157,3581
1158,859
1159,950
1160,588
