,map equation centrality rank
0,123
1,6
2,2
3,3
4,27
5,8
6,112
7,23
8,41
9,159
10,14
11,72
12,17
13,22
14,13
15,80
16,49
17,1
18,54
19,37
20,44
21,10
22,15
23,19
24,36
25,76
26,26
27,116
28,25
29,82
30,5
31,81
32,130
33,73
34,79
35,4
36,98
37,63
38,9
39,59
40,68
41,46
42,24
43,16
44,30
45,69
46,97
47,35
48,34
49,119
50,50
51,129
52,11
53,128
54,29
55,141
56,28
57,7
58,78
59,31
60,55
61,131
62,106
63,12
64,297
65,142
66,39
67,83
68,84
69,90
70,38
71,122
72,126
73,32
74,153
75,71
76,212
77,93
78,117
79,88
80,104
81,114
82,195
83,0
84,101
85,33
86,107
87,124
88,75
89,87
90,64
91,51
92,40
93,177
94,256
95,18
96,21
97,77
98,45
99,118
100,351
101,43
102,65
103,52
104,167
105,89
106,47
107,188
108,139
109,137
110,240
111,62
112,20
113,237
114,56
115,134
116,210
117,190
118,171
119,121
120,174
121,94
122,146
123,157
124,53
125,138
126,95
127,100
128,136
129,220
130,67
131,200
132,283
133,253
134,102
135,221
136,201
137,222
138,254
139,223
140,58
141,48
142,57
143,206
144,242
145,271
146,268
147,179
148,115
149,209
150,120
151,183
152,213
153,173
154,110
155,99
156,151
157,66
158,161
159,105
160,133
161,369
162,204
163,60
164,42
165,155
166,132
167,74
168,96
169,91
170,86
171,61
172,108
173,109
174,70
175,154
176,147
177,265
178,152
179,232
180,162
181,182
182,143
183,330
184,144
185,145
186,234
187,85
188,148
189,309
190,158
191,184
192,186
193,156
194,310
195,163
196,311
197,233
198,241
199,207
200,313
201,266
202,314
203,393
204,324
205,235
206,394
207,150
208,208
209,180
210,214
211,262
212,202
213,358
214,359
215,298
216,361
217,203
218,363
219,168
220,365
221,301
222,367
223,368
224,384
225,257
226,371
227,372
228,302
229,374
230,375
231,376
232,377
233,378
234,379
235,380
236,92
237,399
238,400
239,160
240,103
241,402
242,217
243,274
244,149
245,192
246,125
247,224
248,166
249,135
250,164
251,344
252,111
253,205
254,231
255,230
256,258
257,349
258,194
259,165
260,172
261,185
262,395
263,325
264,181
265,178
266,270
267,292
268,342
269,236
270,264
271,293
272,211
273,284
274,229
275,343
276,338
277,255
278,415
279,339
280,410
281,416
282,412
283,285
284,411
285,227
286,286
287,341
288,340
289,414
290,226
291,225
292,364
293,294
294,356
295,243
296,269
297,353
298,295
299,370
300,296
301,347
302,345
303,366
304,362
305,360
306,354
307,127
308,198
309,276
310,246
311,196
312,197
313,277
314,250
315,331
316,216
317,336
318,279
319,247
320,278
321,327
322,113
323,140
324,169
325,413
326,187
327,299
328,273
329,170
330,316
331,312
332,308
333,391
334,307
335,389
336,390
337,263
338,322
339,388
340,267
341,306
342,239
343,300
344,228
345,303
346,193
347,323
348,238
349,401
350,261
351,191
352,260
353,348
354,189
355,244
356,259
357,304
358,355
359,357
360,305
361,287
362,288
363,373
364,381
365,383
366,289
367,291
368,382
369,328
370,329
371,346
372,290
373,409
374,199
375,332
376,251
377,252
378,334
379,176
380,335
381,281
382,219
383,218
384,280
385,175
386,407
387,333
388,397
389,386
390,318
391,215
392,245
393,282
394,337
395,275
396,248
397,320
398,326
399,403
400,272
401,321
402,350
403,317
404,408
405,385
406,249
407,315
408,396
409,404
410,405
411,387
412,392
413,352
414,319
415,398
416,406
