,map equation centrality rank
0,358
1,1
2,361
3,65
4,184
5,22
6,30
7,28
8,26
9,364
10,66
11,77
12,365
13,63
14,165
15,160
16,308
17,309
18,353
19,64
20,726
21,161
22,162
23,310
24,164
25,727
26,723
27,725
28,307
29,76
30,78
31,311
32,163
33,988
34,728
35,729
36,730
37,731
38,732
39,733
40,734
41,735
42,736
43,737
44,679
45,296
46,682
47,60
48,981
49,684
50,80
51,666
52,295
53,2
54,385
55,191
56,82
57,359
58,81
59,79
60,360
61,27
62,6
63,189
64,363
65,83
66,29
67,187
68,188
69,31
70,369
71,44
72,190
73,917
74,229
75,230
76,228
77,495
78,73
79,496
80,74
81,374
82,375
83,193
84,258
85,597
86,52
87,51
88,136
89,140
90,592
91,139
92,261
93,151
94,61
95,152
96,297
97,671
98,672
99,675
100,673
101,153
102,20
103,154
104,21
105,196
106,680
107,979
108,50
109,686
110,298
111,232
112,299
113,685
114,124
115,123
116,937
117,233
118,512
119,231
120,498
121,499
122,508
123,513
124,19
125,603
126,266
127,379
128,255
129,135
130,959
131,257
132,138
133,587
134,599
135,260
136,960
137,949
138,516
139,517
140,125
141,519
142,127
143,241
144,521
145,129
146,524
147,126
148,46
149,954
150,254
151,585
152,586
153,555
154,557
155,558
156,48
157,150
158,5
159,249
160,670
161,292
162,674
163,293
164,676
165,43
166,17
167,120
168,4
169,503
170,421
171,130
172,504
173,224
174,16
175,119
176,506
177,510
178,507
179,223
180,488
181,18
182,511
183,589
184,486
185,487
186,494
187,489
188,267
189,602
190,845
191,594
192,268
193,137
194,593
195,591
196,604
197,590
198,269
199,270
200,271
201,272
202,259
203,596
204,964
205,965
206,947
207,128
208,544
209,47
210,939
211,546
212,243
213,550
214,945
215,948
216,251
217,567
218,248
219,247
220,131
221,245
222,569
223,577
224,134
225,579
226,580
227,253
228,581
229,10
230,501
231,440
232,214
233,37
234,102
235,103
236,45
237,122
238,505
239,121
240,69
241,509
242,839
243,840
244,841
245,338
246,842
247,339
248,176
249,256
250,600
251,601
252,265
253,263
254,598
255,605
256,262
257,805
258,820
259,172
260,331
261,804
262,827
263,808
264,812
265,332
266,940
267,242
268,951
269,543
270,952
271,572
272,246
273,573
274,574
275,578
276,86
277,49
278,570
279,35
280,583
281,556
282,99
283,442
284,14
285,8
286,9
287,204
288,100
289,929
290,835
291,213
292,207
293,96
294,445
295,836
296,837
297,838
298,175
299,337
300,24
301,425
302,1016
303,334
304,70
305,641
306,177
307,178
308,843
309,340
310,844
311,287
312,288
313,55
314,642
315,282
316,59
317,285
318,643
319,174
320,56
321,813
322,286
323,814
324,815
325,816
326,817
327,818
328,173
329,23
330,67
331,819
332,68
333,821
334,822
335,1014
336,824
337,1012
338,825
339,823
340,1010
341,333
342,828
343,829
344,984
345,703
346,155
347,704
348,705
349,706
350,707
351,708
352,303
353,709
354,710
355,301
356,305
357,306
358,157
359,714
360,715
361,716
362,158
363,718
364,159
365,720
366,986
367,721
368,95
369,200
370,416
371,412
372,584
373,420
374,90
375,38
376,7
377,446
378,104
379,448
380,3
381,450
382,290
383,451
384,439
385,205
386,648
387,281
388,147
389,651
390,655
391,57
392,645
393,148
394,284
395,58
396,659
397,809
398,810
399,341
400,640
401,387
402,32
403,388
404,33
405,11
406,88
407,389
408,87
409,391
410,452
411,471
412,473
413,109
414,480
415,481
416,483
417,484
418,105
419,453
420,211
421,108
422,217
423,15
424,218
425,847
426,215
427,40
428,456
429,111
430,342
431,343
432,848
433,179
434,849
435,180
436,344
437,1019
438,850
439,345
440,1020
441,851
442,852
443,846
444,853
445,347
446,34
447,198
448,0
449,393
450,394
451,695
452,201
453,12
454,395
455,112
456,203
457,91
458,113
459,220
460,467
461,41
462,469
463,755
464,996
465,756
466,402
467,411
468,921
469,94
470,418
471,397
472,398
473,415
474,796
475,401
476,414
477,403
478,404
479,405
480,392
481,922
482,317
483,406
484,760
485,761
486,315
487,762
488,318
489,478
490,764
491,765
492,766
493,166
494,316
495,767
496,768
497,773
498,770
499,771
500,772
501,998
502,417
503,199
504,319
505,146
506,774
507,320
508,321
509,777
510,1000
511,779
512,197
513,84
514,386
515,323
516,629
517,631
518,634
519,635
520,639
521,606
522,607
523,608
524,609
525,144
526,324
527,799
528,801
529,789
530,803
531,780
532,326
533,278
534,171
535,273
536,610
537,141
538,611
539,276
540,612
541,277
542,53
543,970
544,613
545,274
546,616
547,170
548,325
549,784
550,791
551,785
552,786
553,167
554,787
555,169
556,142
557,322
558,327
559,617
560,275
561,971
562,790
563,1005
564,168
565,1004
566,792
567,793
568,983
569,689
570,690
571,691
572,156
573,692
574,987
575,693
576,694
577,302
578,240
579,696
580,536
581,236
582,537
583,538
584,541
585,540
586,92
587,93
588,396
589,669
590,294
591,667
592,244
593,75
594,209
595,221
596,378
597,371
598,328
599,380
600,195
601,566
602,382
603,913
604,383
605,62
606,384
607,683
608,681
609,571
610,132
611,576
612,133
613,431
614,410
615,433
616,101
617,443
618,436
619,437
620,438
621,115
622,116
623,482
624,117
625,632
626,633
627,143
628,54
629,279
630,636
631,637
632,638
633,280
634,973
635,800
636,329
637,802
638,330
639,1007
640,1003
641,186
642,72
643,206
644,434
645,208
646,928
647,36
648,435
649,444
650,98
651,441
652,470
653,464
654,106
655,465
656,931
657,466
658,216
659,468
660,366
661,194
662,367
663,368
664,370
665,192
666,372
667,373
668,227
669,491
670,492
671,225
672,226
673,493
674,118
675,497
676,336
677,447
678,449
679,25
680,210
681,13
682,422
683,97
684,423
685,424
686,212
687,219
688,426
689,926
690,457
691,458
692,39
693,110
694,933
695,930
696,460
697,107
698,461
699,346
700,462
701,463
702,746
703,313
704,748
705,314
706,749
707,750
708,751
709,753
710,752
711,621
712,967
713,622
714,618
715,623
716,624
717,628
718,145
719,630
720,886
721,887
722,888
723,739
724,989
725,740
726,963
727,834
728,335
729,289
730,42
731,472
732,932
733,757
734,758
735,354
736,741
737,595
738,652
739,348
740,653
741,871
742,350
743,351
744,181
745,864
746,865
747,866
748,868
749,1024
750,966
751,264
752,826
753,349
754,862
755,1029
756,182
757,879
758,880
759,863
760,867
761,881
762,1026
763,894
764,183
765,724
766,738
767,312
768,185
769,990
770,722
771,518
772,545
773,357
774,514
775,515
776,235
777,539
778,520
779,522
780,542
781,552
782,237
783,523
784,946
785,717
786,300
787,687
788,982
789,1032
790,889
791,890
792,376
793,564
794,957
795,525
796,526
797,527
798,528
799,529
800,942
801,941
802,530
803,238
804,531
805,532
806,938
807,944
808,533
809,234
810,950
811,534
812,1038
813,903
814,904
815,905
816,906
817,907
818,908
819,909
820,910
821,911
822,955
823,568
824,490
825,953
826,560
827,561
828,562
829,250
830,563
831,252
832,565
833,927
834,958
835,830
836,1015
837,831
838,832
839,833
840,697
841,698
842,699
843,700
844,701
845,304
846,702
847,85
848,919
849,89
850,399
851,427
852,428
853,644
854,283
855,646
856,647
857,149
858,649
859,650
860,974
861,202
862,413
863,419
864,429
865,114
866,474
867,1022
868,854
869,855
870,475
871,476
872,856
873,857
874,858
875,859
876,860
877,861
878,71
879,872
880,873
881,878
882,1027
883,874
884,875
885,876
886,877
887,1028
888,222
889,485
890,778
891,995
892,742
893,743
894,744
895,745
896,769
897,775
898,776
899,535
900,239
901,549
902,719
903,985
904,711
905,712
906,713
907,547
908,551
909,553
910,554
911,548
912,895
913,896
914,897
915,902
916,900
917,943
918,688
919,582
920,390
921,924
922,788
923,781
924,782
925,783
926,559
927,915
928,614
929,615
930,912
931,362
932,377
933,916
934,677
935,678
936,914
937,502
938,454
939,935
940,455
941,459
942,381
943,1017
944,961
945,962
946,588
947,355
948,891
949,356
950,892
951,893
952,1033
953,1021
954,869
955,1025
956,1011
957,870
958,1023
959,747
960,997
961,763
962,754
963,759
964,969
965,619
966,620
967,625
968,626
969,968
970,627
971,972
972,794
973,795
974,1001
975,1002
976,797
977,798
978,1006
979,1037
980,898
981,899
982,901
983,668
984,978
985,956
986,400
987,925
988,407
989,920
990,408
991,409
992,923
993,918
994,980
995,430
996,575
997,500
998,432
999,936
1000,477
1001,479
1002,993
1003,975
1004,654
1005,660
1006,656
1007,657
1008,658
1009,291
1010,977
1011,934
1012,999
1013,994
1014,1018
1015,665
1016,661
1017,662
1018,663
1019,664
1020,976
1021,1034
1022,1035
1023,1036
1024,352
1025,882
1026,883
1027,884
1028,885
1029,1030
1030,991
1031,1031
1032,992
1033,806
1034,1008
1035,1009
1036,807
1037,811
1038,1013
