,map equation centrality rank
0,4253
1,968
2,2121
3,3673
4,860
5,1721
6,817
7,973
8,1021
9,46
10,3993
11,721
12,1083
13,540
14,2250
15,3410
16,1614
17,89
18,1248
19,73
20,1662
21,2600
22,2112
23,1897
24,141
25,784
26,1210
27,2255
28,421
29,1591
30,1249
31,3136
32,2500
33,2288
34,2413
35,530
36,1660
37,252
38,664
39,1896
40,3286
41,1294
42,1431
43,556
44,325
45,2454
46,2883
47,1429
48,1535
49,3505
50,1241
51,584
52,1751
53,1290
54,2489
55,2501
56,1163
57,905
58,2177
59,2772
60,1536
61,1724
62,2264
63,2330
64,1288
65,2418
66,3402
67,1482
68,1781
69,1081
70,661
71,872
72,124
73,785
74,2592
75,2669
76,2109
77,3508
78,3623
79,2247
80,133
81,830
82,2335
83,1155
84,165
85,842
86,1208
87,1761
88,3229
89,1671
90,730
91,4093
92,2266
93,2167
94,1342
95,4407
96,455
97,4286
98,1665
99,4604
100,2251
101,286
102,3813
103,498
104,1900
105,214
106,3606
107,2803
108,531
109,3661
110,3622
111,1162
112,1150
113,2411
114,2758
115,2393
116,2410
117,2646
118,1343
119,4774
120,605
121,654
122,2503
123,4087
124,26
125,4789
126,621
127,3288
128,543
129,3247
130,3408
131,708
132,3282
133,3287
134,4187
135,1782
136,2598
137,3664
138,355
139,2922
140,2540
141,169
142,3283
143,310
144,2666
145,2732
146,2511
147,1643
148,3062
149,2350
150,472
151,644
152,3129
153,1597
154,1856
155,3720
156,5135
157,396
158,2969
159,1806
160,163
161,2891
162,1459
163,5422
164,150
165,4776
166,3181
167,164
168,542
169,211
170,356
171,3002
172,304
173,166
174,1875
175,1645
176,567
177,761
178,3667
179,3490
180,1002
181,631
182,290
183,1327
184,553
185,238
186,995
187,1161
188,2
189,81
190,430
191,579
192,2508
193,679
194,1062
195,2363
196,3472
197,2850
198,425
199,2765
200,2153
201,2002
202,3473
203,3732
204,1947
205,405
206,2590
207,2008
208,2868
209,2498
210,3300
211,2896
212,1481
213,4086
214,2311
215,4418
216,74
217,2713
218,120
219,2616
220,544
221,1347
222,208
223,4317
224,1057
225,2055
226,2432
227,1212
228,2343
229,3198
230,2718
231,1350
232,5354
233,863
234,4807
235,3106
236,1393
237,1730
238,789
239,4313
240,3105
241,371
242,1300
243,4644
244,1169
245,3314
246,1786
247,2441
248,2188
249,2699
250,309
251,190
252,4958
253,709
254,72
255,3528
256,1214
257,457
258,320
259,915
260,609
261,291
262,3714
263,1346
264,3692
265,847
266,1990
267,11
268,1298
269,511
270,439
271,342
272,4998
273,3111
274,786
275,1913
276,3551
277,626
278,865
279,1
280,2337
281,2431
282,558
283,4308
284,353
285,560
286,822
287,1213
288,1605
289,2615
290,1603
291,90
292,2908
293,3018
294,2519
295,470
296,2613
297,2439
298,241
299,4479
300,845
301,3845
302,625
303,471
304,1170
305,1439
306,2272
307,1215
308,3544
309,4653
310,2518
311,588
312,744
313,3531
314,4305
315,823
316,4304
317,156
318,669
319,189
320,4301
321,846
322,3846
323,557
324,575
325,354
326,1391
327,975
328,1125
329,4127
330,1010
331,484
332,406
333,1550
334,91
335,2910
336,3205
337,2056
338,4796
339,559
340,3428
341,4295
342,1056
343,458
344,1124
345,12
346,3535
347,176
348,642
349,745
350,1988
351,883
352,1839
353,1304
354,397
355,3101
356,1607
357,821
358,2517
359,2271
360,13
361,3849
362,3019
363,2118
364,2818
365,2341
366,1610
367,1673
368,687
369,1612
370,1731
371,1122
372,2515
373,765
374,624
375,4658
376,1914
377,1013
378,1549
379,1088
380,3850
381,1090
382,68
383,4670
384,1833
385,943
386,2269
387,3432
388,1351
389,3851
390,4825
391,1551
392,4115
393,2190
394,743
395,3114
396,587
397,4643
398,1488
399,4642
400,2805
401,4641
402,4326
403,2273
404,1171
405,913
406,3696
407,1121
408,787
409,3556
410,2806
411,3324
412,4473
413,4470
414,1353
415,1677
416,3323
417,4627
418,10
419,4991
420,3972
421,3212
422,1986
423,2698
424,1672
425,4656
426,767
427,370
428,643
429,2617
430,2117
431,2437
432,3107
433,2184
434,2807
435,1437
436,1299
437,2115
438,1352
439,4821
440,2607
441,5433
442,3852
443,2808
444,4628
445,1014
446,65
447,1676
448,1732
449,2524
450,3193
451,4454
452,1917
453,1015
454,3853
455,3020
456,4453
457,4300
458,3678
459,2606
460,2424
461,4452
462,3969
463,1836
464,3677
465,589
466,2715
467,3676
468,4113
469,1834
470,4112
471,2810
472,4293
473,1835
474,1787
475,1089
476,2268
477,3534
478,4660
479,2612
480,362
481,546
482,1915
483,1348
484,1392
485,2433
486,668
487,138
488,1059
489,1608
490,1349
491,151
492,3216
493,2711
494,4108
495,1390
496,3313
497,647
498,2634
499,1916
500,1301
501,2516
502,3854
503,4629
504,1911
505,1918
506,3430
507,3710
508,788
509,4136
510,2905
511,2907
512,4478
513,5320
514,3982
515,3529
516,3015
517,3963
518,3964
519,2815
520,4663
521,3025
522,3825
