,map equation centrality rank
0,343
1,197
2,613
3,1166
4,1311
5,1168
6,552
7,227
8,302
9,1244
10,1392
11,838
12,140
13,19
14,252
15,467
16,328
17,612
18,1096
19,710
20,588
21,119
22,748
23,685
24,217
25,215
26,1395
27,551
28,118
29,79
30,107
31,300
32,1041
33,163
34,18
35,614
36,99
37,311
38,1484
39,228
40,50
41,17
42,1313
43,344
44,683
45,1328
46,1252
47,2684
48,794
49,2483
50,31
51,476
52,1053
53,2932
54,690
55,1415
56,1508
57,69
58,1919
59,1253
60,1414
61,1807
62,1331
63,1504
64,131
65,1718
66,694
67,27
68,40
69,771
70,14
71,624
72,101
73,29
74,16
75,406
76,623
77,1343
78,166
79,488
80,13
81,3177
82,1061
83,100
84,619
85,3118
86,1772
87,2626
88,511
89,1216
90,772
91,862
92,3080
93,669
94,247
95,966
96,864
97,912
98,309
99,1147
100,512
101,631
102,1758
103,489
104,866
105,322
106,389
107,438
108,128
109,570
110,671
111,670
112,258
113,1148
114,1665
115,949
116,865
117,773
118,967
119,820
120,964
121,1288
122,2263
123,605
124,3850
125,451
126,1059
127,1340
128,352
129,5547
130,3964
131,3718
132,4124
133,3708
134,2272
135,4591
136,4580
137,5446
138,34
139,5830
140,12
141,5820
142,571
143,845
144,1326
145,171
146,1800
147,38
148,170
149,584
150,2917
151,473
152,2914
153,1047
154,714
155,855
156,285
157,6
158,883
159,286
160,1711
161,687
162,2911
163,1492
164,143
165,472
166,446
167,1323
168,1173
169,1404
170,3798
171,3954
172,2386
173,2379
174,856
175,1012
176,5323
177,0
178,4062
179,4072
180,5117
181,667
182,2258
183,3635
184,133
185,807
186,602
187,901
188,375
189,3273
190,2391
191,955
192,4478
193,3272
194,412
195,2708
196,156
197,353
198,257
199,654
200,942
201,200
202,144
203,292
204,3545
205,3236
206,1728
207,3884
208,1275
209,7
210,2528
211,1197
212,3885
213,907
214,1006
215,1531
216,3233
217,1727
218,3887
219,335
220,510
221,2087
222,4867
223,4866
224,3549
225,4865
226,5433
227,569
228,138
229,169
230,1353
231,3551
232,1198
233,28
234,1945
235,2210
236,2356
237,1200
238,3227
239,1132
240,2355
241,2734
242,4888
243,291
244,4864
245,3246
246,157
247,1533
248,3908
249,604
250,4827
251,5013
252,699
253,2774
254,1825
255,21
256,122
257,54
258,1185
259,105
260,504
261,4540
262,814
263,815
264,361
265,1472
266,2279
267,2143
268,1675
269,3750
270,1299
271,541
272,2861
273,705
274,1153
275,323
276,1152
277,1473
278,1381
279,1474
280,1676
281,514
282,1226
283,4695
284,2876
285,2877
286,1688
287,1431
288,1186
289,2349
290,1829
291,2970
292,373
293,1720
294,333
295,1426
296,2898
297,712
298,1042
299,3172
300,2306
301,986
302,1593
303,2312
304,254
305,1709
306,255
307,495
308,1
309,397
310,633
311,650
312,1499
313,5763
314,165
315,3602
316,3969
317,1361
318,2102
319,3970
320,3971
321,2864
322,1583
323,1880
324,1682
325,1683
326,1882
327,2149
328,1883
329,2282
330,4910
331,259
332,1841
333,3778
334,3779
335,5301
336,5293
337,3422
338,2542
339,2531
340,2737
341,3556
342,2530
343,2738
344,1943
345,175
346,3245
347,4850
348,3219
349,5838
350,4574
351,2839
352,2835
353,2843
354,1678
355,1878
356,3410
357,3130
358,1775
359,2865
360,5268
361,3133
362,3051
363,1581
364,3757
365,1476
366,4666
367,4184
368,4663
369,4662
370,3132
371,1976
372,4026
373,1973
374,5675
375,4493
376,1972
377,4029
378,4498
379,3313
380,3645
381,4505
382,4501
383,2107
384,3314
385,951
386,280
387,534
388,484
389,222
390,435
391,336
392,244
393,434
394,696
395,598
396,204
397,295
398,658
399,321
400,357
401,337
402,205
403,1134
404,458
405,456
406,245
407,176
408,374
409,356
410,243
411,3401
412,5874
413,4188
414,4189
415,1090
416,3218
417,4190
418,4179
419,3758
420,638
421,4326
422,408
423,2086
424,318
425,4810
426,4809
427,888
428,542
429,1154
430,606
431,1300
432,1579
433,2453
434,2628
435,1030
436,1774
437,1580
438,674
439,3400
440,1382
441,1228
442,2863
443,2019
444,440
445,2629
446,1229
447,826
448,461
449,1877
450,637
451,706
452,2862
453,1089
454,3127
455,825
456,976
457,871
458,824
459,2281
460,1773
461,776
462,1677
463,2144
464,4191
465,294
466,950
467,1202
468,898
469,1357
470,1441
471,1009
472,1203
473,1008
474,1277
475,733
476,1073
477,764
478,2374
479,535
480,1007
481,802
482,565
483,485
484,1635
485,763
486,954
487,597
488,1442
489,1954
490,3497
491,3479
492,2191
493,1184
494,2693
495,5841
496,3794
497,749
498,684
499,1697
500,396
501,2164
502,76
503,1314
504,240
505,142
506,233
