,map equation centrality rank
0,64
1,41
2,50
3,65
4,29
5,56
6,57
7,66
8,82
9,111
10,36
11,37
12,51
13,58
14,90
15,18
16,67
17,54
18,30
19,35
20,42
21,114
22,21
23,22
24,157
25,207
26,24
27,49
28,79
29,8
30,25
31,11
32,87
33,141
34,34
35,161
36,266
37,222
38,191
39,1
40,45
41,175
42,192
43,176
44,109
45,70
46,133
47,166
48,225
49,121
50,154
51,197
52,272
53,198
54,199
55,137
56,269
57,73
58,240
59,270
60,236
61,44
62,186
63,213
64,43
65,158
66,12
67,85
68,6
69,14
70,104
71,204
72,52
73,124
74,0
75,74
76,76
77,250
78,100
79,46
80,3
81,26
82,53
83,5
84,113
85,96
86,16
87,7
88,122
89,75
90,4
91,230
92,60
93,32
94,19
95,2
96,38
97,123
98,59
99,20
100,173
101,187
102,259
103,160
104,208
105,31
106,118
107,310
108,226
109,200
110,201
111,125
112,178
113,144
114,276
115,277
116,278
117,279
118,228
119,151
120,267
121,162
122,216
123,282
124,108
125,307
126,55
127,10
128,63
129,61
130,9
131,77
132,129
133,86
134,102
135,27
136,89
137,115
138,13
139,15
140,47
141,28
142,132
143,17
144,328
145,246
146,69
147,68
148,247
149,284
150,285
151,224
152,271
153,241
154,23
155,62
156,78
157,33
158,286
159,131
160,254
161,253
162,232
163,91
164,39
165,84
166,180
167,138
168,112
169,99
170,106
171,107
172,101
173,321
174,110
175,72
176,237
177,98
178,143
179,94
180,181
181,140
182,211
183,262
184,320
185,209
186,238
187,134
188,182
189,135
190,229
191,130
192,248
193,264
194,126
195,268
196,265
197,217
198,323
199,218
200,295
201,297
202,322
203,263
204,105
205,127
206,128
207,308
208,205
209,167
210,206
211,163
212,164
213,168
214,146
215,156
216,152
217,145
218,136
219,165
220,120
221,193
222,311
223,231
224,292
225,251
226,252
227,256
228,214
229,273
230,244
231,274
232,149
233,83
234,172
235,93
236,219
237,220
238,174
239,221
240,177
241,97
242,92
243,48
244,40
245,88
246,296
247,117
248,116
249,119
250,71
251,95
252,150
253,142
254,148
255,312
256,227
257,153
258,194
259,189
260,324
261,190
262,275
263,245
264,260
265,81
266,80
267,301
268,325
269,184
270,203
271,169
272,103
273,294
274,170
275,210
276,159
277,185
278,235
279,171
280,139
281,261
282,234
283,314
284,233
285,147
286,319
287,212
288,317
289,309
290,293
291,239
292,315
293,258
294,257
295,305
296,304
297,327
298,195
299,196
300,242
301,243
302,215
303,155
304,313
305,290
306,179
307,183
308,289
309,287
310,249
311,291
312,283
313,306
314,255
315,280
316,318
317,302
318,303
319,316
320,188
321,202
322,288
323,281
324,298
325,299
326,300
327,223
328,326
