,map equation centrality rank
0,0
1,11
2,4
3,2
4,26
5,3
6,5
7,7
8,46
9,28
10,94
11,90
12,85
13,42
14,86
15,6
16,29
17,15
18,23
19,57
20,16
21,51
22,52
23,30
24,91
25,71
26,88
27,18
28,110
29,60
30,58
31,25
32,37
33,100
34,20
35,53
36,113
37,67
38,21
39,40
40,32
41,89
42,114
43,22
44,74
45,69
46,63
47,43
48,75
49,64
50,108
51,50
52,96
53,9
54,87
55,59
56,80
57,105
58,81
59,112
60,44
61,24
62,19
63,106
64,38
65,12
66,72
67,8
68,45
69,27
70,13
71,84
72,33
73,61
74,34
75,103
76,14
77,47
78,48
79,54
80,55
81,35
82,56
83,66
84,36
85,107
86,76
87,17
88,10
89,70
90,109
91,73
92,77
93,92
94,99
95,82
96,78
97,111
98,31
99,83
100,39
101,98
102,93
103,101
104,1
105,102
106,41
107,95
108,97
109,68
110,62
111,49
112,104
113,79
114,65
