,map equation centrality rank
0,44
1,55
2,11
3,82
4,45
5,72
6,57
7,34
8,16
9,46
10,53
11,3
12,10
13,0
14,5
15,32
16,37
17,29
18,22
19,41
20,15
21,7
22,20
23,25
24,93
25,21
26,12
27,40
28,49
29,54
30,81
31,91
32,79
33,33
34,31
35,71
36,26
37,27
38,30
39,42
40,51
41,14
42,43
43,28
44,23
45,6
46,58
47,24
48,73
49,74
50,59
51,83
52,60
53,95
54,9
55,87
56,35
57,17
58,63
59,2
60,39
61,62
62,69
63,70
64,89
65,50
66,90
67,68
68,48
69,52
70,56
71,96
72,80
73,64
74,104
75,61
76,8
77,75
78,84
79,19
80,4
81,1
82,76
83,77
84,101
85,85
86,47
87,97
88,65
89,66
90,67
91,13
92,105
93,38
94,106
95,88
96,102
97,36
98,78
99,103
100,98
101,99
102,18
103,92
104,86
105,100
106,94
