,map equation centrality rank
0,231
1,120
2,1323
3,405
4,584
5,163
6,610
7,1164
8,19
9,60
10,189
11,210
12,190
13,211
14,55
15,4
16,662
17,444
18,34
19,1550
20,452
21,219
22,978
23,1530
24,15
25,203
26,202
27,176
28,10
29,7
30,6
31,2
32,175
33,110
34,848
35,92
36,106
37,204
38,241
39,17
40,134
41,794
42,334
43,554
44,192
45,77
46,639
47,479
48,240
49,332
50,30
51,16
52,44
53,740
54,267
55,499
56,11
57,13
58,9
59,8
60,96
61,1123
62,71
63,373
64,582
65,583
66,503
67,585
68,436
69,438
70,130
71,623
72,150
73,156
74,138
75,117
76,62
77,53
78,41
79,54
80,51
81,25
82,166
83,29
84,12
85,49
86,72
87,23
88,78
89,32
90,1
91,0
92,36
93,3
94,66
95,181
96,170
97,141
98,142
99,123
100,14
101,94
102,763
103,747
104,636
105,89
106,58
107,162
108,82
109,24
110,232
111,773
112,151
113,609
114,132
115,1122
116,649
117,335
118,42
119,448
120,545
121,544
122,215
123,160
124,129
125,312
126,47
127,105
128,111
129,97
130,98
131,308
132,5
133,50
134,45
135,194
136,112
137,744
138,690
139,428
140,371
141,1232
142,1222
143,63
144,212
145,183
146,1212
147,21
148,35
149,39
150,668
151,449
152,513
153,297
154,1368
155,540
156,646
157,277
158,209
159,20
160,168
161,18
162,1474
163,590
164,1066
165,265
166,1184
167,672
168,75
169,1445
170,1287
171,73
172,69
173,1631
174,899
175,699
176,700
177,701
178,702
179,696
180,703
181,412
182,704
183,705
184,992
185,595
186,1533
187,1247
188,1537
189,1574
190,116
191,295
192,1470
193,201
194,561
195,814
196,113
197,591
198,1010
199,774
200,858
201,26
202,483
203,57
204,70
205,56
206,1012
207,1757
208,1360
209,1511
210,1364
211,270
212,1329
213,1696
214,1528
215,849
216,1540
217,759
218,310
219,1541
220,234
221,1311
222,279
223,263
224,490
225,40
226,399
227,518
228,226
229,313
230,33
231,386
232,587
233,293
234,728
235,565
236,465
237,198
238,101
239,79
240,1137
241,1139
242,1146
243,289
244,155
245,323
246,27
247,128
248,1277
249,284
250,31
251,275
252,146
253,165
254,145
255,143
256,114
257,109
258,243
259,37
260,67
261,455
262,280
263,960
264,152
265,303
266,81
267,68
268,87
269,131
270,108
271,426
272,400
273,84
274,660
275,406
276,271
277,608
278,119
279,493
280,427
281,1136
282,504
283,1693
284,1203
285,250
286,329
287,239
288,844
289,333
290,273
291,255
292,256
293,327
294,328
295,223
296,227
297,1453
298,396
299,860
300,1022
301,337
302,102
303,298
304,169
305,808
306,1321
307,1188
308,1192
309,104
310,343
311,445
312,446
313,369
314,272
315,222
316,185
317,320
318,302
319,178
320,252
321,233
322,93
323,64
324,115
325,207
326,125
327,887
328,486
329,291
330,314
331,38
332,173
333,341
334,147
335,410
336,686
337,350
338,197
339,357
340,208
341,454
342,316
343,127
344,174
345,779
346,782
347,1272
348,930
349,401
350,61
351,161
352,488
353,85
354,83
355,1662
356,118
357,1713
358,149
359,1038
360,220
361,266
362,1509
363,368
364,1507
365,612
366,230
367,228
368,229
369,1002
370,1385
371,1386
372,1387
373,1256
374,1255
375,1254
376,600
377,390
378,766
379,76
380,257
381,348
382,347
383,349
384,647
385,299
386,274
387,1516
388,1337
389,100
390,59
391,300
392,925
393,224
394,276
395,550
396,677
397,613
398,725
399,382
400,605
401,324
402,180
403,65
404,221
405,363
406,140
407,238
408,177
409,43
410,317
411,459
412,191
413,1689
414,136
415,1733
416,1354
417,772
418,714
419,1776
420,549
421,671
422,1312
423,1315
424,502
425,867
426,580
427,225
428,268
429,1562
430,1563
431,1510
432,1240
433,573
434,403
435,522
436,433
437,524
438,501
439,1750
440,1752
441,1196
442,846
443,1297
444,1034
445,765
446,516
447,419
448,22
449,1348
450,776
451,1197
452,1714
453,889
