,map equation centrality rank
0,67
1,153
2,146
3,1684
4,47
5,202
6,200
7,11
8,84
9,7
10,192
11,193
12,997
13,71
14,2062
15,73
16,277
17,428
18,1210
19,310
20,2126
21,201
22,556
23,61
24,382
25,558
26,82
27,194
28,22
29,978
30,57
31,2133
32,0
33,828
34,461
35,765
36,827
37,13
38,287
39,875
40,707
41,825
42,135
43,273
44,505
45,189
46,692
47,31
48,155
49,17
50,5
51,120
52,148
53,1517
54,826
55,80
56,37
57,271
58,2146
59,678
60,1951
61,160
62,362
63,196
64,704
65,213
66,51
67,552
68,478
69,652
70,49
71,885
72,3
73,527
74,63
75,154
76,212
77,26
78,438
79,29
80,1821
81,440
82,1003
83,28
84,283
85,916
86,917
87,863
88,2031
89,8
90,910
91,75
92,375
93,377
94,9
95,109
96,274
97,356
98,841
99,2197
100,229
101,217
102,50
103,716
104,284
105,1408
106,98
107,998
108,846
109,54
110,1117
111,1827
112,64
113,837
114,832
115,2153
116,39
117,259
118,77
119,574
120,1112
121,74
122,506
123,4
124,99
125,735
126,69
127,1214
128,1
129,175
130,1145
131,59
132,2077
133,55
134,174
135,426
136,42
137,1189
138,1175
139,1325
140,666
141,1709
142,688
143,578
144,70
145,224
146,225
147,474
148,669
149,373
150,25
151,1031
152,307
153,1785
154,85
155,1566
156,341
157,2113
158,6
159,1212
160,665
161,100
162,203
163,165
164,235
165,480
166,1199
167,19
168,933
169,783
170,1120
171,35
172,2076
173,181
174,76
175,861
176,824
177,930
178,1909
179,1177
180,46
181,819
182,1073
183,190
184,742
185,1331
186,1075
187,857
188,624
189,272
190,299
191,1046
192,830
193,130
194,1122
195,280
196,328
197,21
198,199
199,780
200,24
201,397
202,32
203,360
204,30
205,2085
206,887
207,705
208,595
209,561
210,308
211,118
212,45
213,1009
214,329
215,2209
216,493
217,157
218,352
219,325
220,1124
221,1863
222,93
223,431
224,1249
225,251
226,12
227,1337
228,1078
229,867
230,629
231,159
232,706
233,1588
234,234
235,1162
236,670
237,2173
238,23
239,1083
240,1080
241,890
242,700
243,2119
244,166
245,78
246,452
247,2120
248,1213
249,555
250,1899
251,254
252,752
253,43
254,241
255,1004
256,1607
257,502
258,586
259,198
260,662
261,113
262,1714
263,547
264,674
265,848
266,48
267,106
268,79
269,915
270,292
271,921
272,1127
273,1928
274,1835
275,902
276,1618
277,491
278,1993
279,1623
280,646
281,460
282,1211
283,15
284,671
285,449
286,186
287,1720
288,1167
289,423
290,279
291,40
292,173
293,58
294,844
295,372
296,349
297,1846
298,413
299,2193
300,309
301,156
302,1952
303,1169
304,901
305,640
306,639
307,302
308,422
309,10
310,557
311,183
312,1128
313,111
314,569
315,685
316,376
317,591
318,597
319,2189
320,102
321,2179
322,402
323,1640
324,1638
325,1250
326,385
327,684
328,1251
329,908
330,2161
331,147
332,60
333,1352
334,38
335,1356
336,132
337,2013
338,1200
339,134
340,1237
341,598
342,2068
343,508
344,1204
345,539
346,345
347,248
348,1358
349,238
350,133
351,1920
352,2
353,124
354,2017
355,1219
356,56
357,95
358,638
359,226
360,698
361,1209
362,1096
363,206
364,1196
365,1657
366,128
367,1097
368,482
369,918
370,1931
371,266
372,1186
373,510
374,1190
375,656
376,494
377,2022
378,538
379,1661
380,312
381,1936
382,1752
383,645
384,170
385,1883
386,27
387,1133
388,575
389,592
390,2025
391,2149
392,1242
393,1102
394,354
395,346
396,1361
397,110
398,101
399,683
400,1172
401,2156
402,912
403,1674
404,2118
405,559
406,1173
407,2030
408,389
409,1252
410,2158
411,394
412,487
413,1760
414,374
415,244
416,796
417,415
418,1137
419,486
420,655
421,326
422,188
423,1763
424,869
425,1957
426,766
427,92
428,593
429,668
430,221
431,139
432,677
433,1104
434,275
435,323
436,204
437,16
438,1047
439,1179
440,893
441,2079
442,570
443,208
444,97
445,602
446,843
447,903
448,1367
449,1375
450,952
451,1057
452,789
453,950
454,442
455,1904
456,239
457,661
458,296
459,335
460,1139
461,847
462,65
463,388
464,594
465,378
466,1223
467,615
468,66
469,1246
470,2200
471,693
472,237
473,1109
474,2136
475,509
476,1205
477,1781
478,1026
479,214
480,1973
481,83
482,264
483,1976
484,470
485,663
486,410
487,1787
488,2143
489,1390
490,34
491,2145
492,62
493,1063
494,96
495,36
496,250
497,172
498,182
499,1253
500,18
501,513
502,366
503,637
504,2155
505,361
506,1015
507,89
508,141
509,512
510,263
511,1147
512,2053
513,1524
514,1149
515,1059
516,404
517,1140
518,209
519,419
520,149
521,862
522,2046
523,833
524,568
525,469
526,365
527,150
528,643
529,1530
530,1182
531,53
532,327
533,152
534,177
535,660
536,1775
537,1805
538,1534
539,223
540,2132
541,357
542,256
543,222
544,801
545,1761
546,467
547,870
548,476
549,2040
550,330
551,195
552,1143
553,1956
554,913
555,162
556,944
557,247
558,566
559,697
560,1195
561,1218
562,635
563,398
564,33
565,400
566,1234
567,550
568,596
569,334
570,991
571,282
572,816
573,686
574,492
575,416
576,1940
577,359
578,417
579,823
580,626
581,488
582,114
583,1146
584,599
585,884
586,179
587,87
588,1818
589,1239
590,1820
591,220
592,909
593,401
594,516
595,722
596,269
597,1150
598,689
599,1232
600,1116
601,1723
602,871
603,1151
604,2027
605,1569
606,747
607,260
608,866
609,2108
610,197
611,257
612,412
613,265
614,1576
615,1577
616,2020
617,131
618,178
619,572
620,315
621,231
622,314
623,2057
624,167
625,380
626,608
627,184
628,211
629,369
630,2154
631,405
632,370
633,603
634,1584
635,2067
636,322
637,1113
638,829
639,1471
640,754
641,395
642,94
643,1155
644,108
645,936
646,1924
647,1488
648,1188
649,690
650,1906
651,892
652,548
653,942
654,383
655,1224
656,406
657,1498
658,1890
659,2157
660,1228
661,1191
662,1796
663,127
664,1792
665,450
666,245
667,567
668,68
669,1595
670,1991
671,614
672,1119
673,549
674,1861
675,1598
676,1091
677,242
678,1990
679,1832
680,1156
681,185
682,151
683,564
684,311
685,695
686,158
687,504
688,1045
689,1044
690,164
691,367
692,562
693,2001
694,1953
695,121
696,757
697,1074
698,305
699,1121
700,230
701,1233
702,2106
703,2183
704,1159
705,1950
706,1273
707,957
708,86
709,673
710,2082
711,1013
712,1941
713,123
714,1123
715,758
716,891
717,881
718,2000
719,879
720,294
721,835
722,1987
723,1240
724,1285
725,536
726,2166
727,808
728,485
729,1248
730,565
731,180
732,1049
733,409
734,2210
735,399
736,817
737,852
738,2139
739,210
740,1021
741,2111
742,2069
743,2172
744,1620
745,702
746,126
747,2115
748,962
749,650
750,163
751,232
752,88
753,2148
754,1622
755,2174
756,52
757,1897
758,418
759,1051
760,1707
761,1052
762,2204
763,679
764,72
765,434
766,411
767,2125
768,2147
769,1977
770,761
771,1029
772,616
773,648
774,853
775,1988
776,1217
777,878
778,261
779,498
780,2105
781,454
782,2206
783,896
784,534
785,1834
786,503
787,2116
788,489
789,2127
790,1221
791,2208
792,532
793,105
794,1837
795,631
796,1324
797,1841
798,1721
799,258
800,520
801,104
802,601
803,1244
804,317
805,1222
806,2092
807,920
808,2215
809,2112
810,240
811,600
812,855
813,1955
814,517
815,560
816,834
817,1968
818,711
819,396
820,1001
821,281
822,533
823,1088
824,81
825,129
826,768
827,1129
828,1858
829,831
830,1236
831,318
832,2009
833,926
834,658
835,435
836,1090
837,1653
838,1740
839,1225
840,769
841,2072
842,2084
843,1978
844,1742
845,2011
846,475
847,1203
848,429
849,540
850,2131
851,161
852,1866
853,1868
854,355
855,2089
856,551
857,371
858,1981
859,458
860,959
861,682
862,41
863,353
864,914
865,228
866,255
867,886
868,2110
869,1922
870,849
871,187
872,1171
873,699
874,899
875,140
876,462
877,453
878,582
879,528
880,2099
881,2019
882,1202
883,2150
884,2151
885,145
886,858
887,379
888,298
889,778
890,1934
891,481
892,1098
893,779
894,1014
895,107
896,1882
897,332
898,1670
899,1402
900,737
901,818
902,1671
903,1755
904,1672
905,1405
906,1406
907,483
908,1016
909,1017
910,218
911,2182
912,1103
913,171
914,1227
915,2071
