,map equation centrality rank
0,14
1,495
2,1425
3,1049
4,116
5,589
6,216
7,828
8,295
9,281
10,1426
11,1429
12,1060
13,95
14,2159
15,87
16,2158
17,1593
18,2156
19,591
20,812
21,1430
22,810
23,2149
24,1434
25,1431
26,25
27,2147
28,1257
29,88
30,60
31,37
32,62
33,417
34,592
35,336
36,264
37,801
38,593
39,141
40,127
41,472
42,1436
43,181
44,113
45,1438
46,471
47,1040
48,2143
49,645
50,800
51,1053
52,284
53,2140
54,445
55,155
56,45
57,80
58,171
59,845
60,258
61,1260
62,1261
63,2678
64,686
65,2683
66,538
67,2686
68,390
69,669
70,111
71,1595
72,348
73,36
74,498
75,425
76,349
77,100
78,1591
79,857
80,99
81,2132
82,403
83,182
84,1440
85,350
86,248
87,426
88,1151
89,715
90,850
91,496
92,1136
93,878
94,1588
95,217
96,1137
97,637
98,1592
99,1138
100,1594
101,647
102,41
103,487
104,368
105,2645
106,1241
107,21
108,1747
109,580
110,5
111,224
112,190
113,265
114,49
115,539
116,879
117,435
118,1269
119,1785
120,193
121,1796
122,46
123,527
124,1192
125,1189
126,696
127,47
128,0
129,947
130,556
131,103
132,446
133,272
134,1297
135,385
136,104
137,159
138,1861
139,758
140,1856
141,957
142,133
143,740
144,739
145,1807
146,16
147,1830
148,1453
149,123
150,1298
151,732
152,1117
153,1849
154,307
155,738
156,1844
157,1299
158,54
159,563
160,83
161,10
162,659
163,383
164,711
165,1118
166,721
167,263
168,176
169,1301
170,965
171,952
172,553
173,1029
174,447
175,40
176,807
177,1840
178,314
179,612
180,956
181,967
182,1303
183,1752
184,797
185,966
186,728
187,870
188,970
189,1385
190,1636
191,1952
192,1950
193,29
194,1318
195,1468
196,75
197,1945
198,948
199,714
200,1944
201,55
202,1304
203,1336
204,1937
205,68
206,451
207,723
208,1917
209,1907
210,235
211,1899
212,316
213,1030
214,204
215,132
216,729
217,194
218,310
219,174
220,559
221,650
222,71
223,312
224,379
225,1387
226,313
227,500
228,1306
229,961
230,177
231,702
232,1882
