,map equation centrality rank
0,4
1,0
2,5
3,14
4,23
5,10
6,2
7,3
8,18
9,1
10,83
11,4420
12,114
13,1663
14,4421
15,57
16,77
17,3349
18,78
19,95
20,31
21,16
22,6
23,929
24,20
25,238
26,15
27,171
28,9
29,1666
30,418
31,25
32,682
33,573
34,105
35,278
36,1403
37,934
38,50
39,408
40,3859
41,7
42,351
43,199
44,1268
45,204
46,1669
47,19
48,141
49,82
50,908
51,21
52,32
53,174
54,130
55,1346
56,45
57,112
58,252
59,89
60,11
61,132
62,39
63,26
64,59
65,40
66,726
67,41
68,279
69,1671
70,250
71,1672
72,330
73,1673
74,658
75,1674
76,65
77,123
78,1675
79,1676
80,1677
81,945
82,312
83,1678
84,947
85,223
86,70
87,277
88,792
89,661
90,504
91,949
92,142
93,264
94,1391
95,4430
96,4449
97,3811
98,1547
99,4030
100,157
101,102
102,182
103,3137
104,4458
105,183
106,1631
107,848
108,489
109,1629
110,187
111,955
112,3259
113,4459
114,1137
115,3142
116,1544
117,161
118,226
119,243
120,4465
121,496
122,1687
123,501
124,1689
125,1690
126,288
127,3263
128,2443
129,111
130,662
131,71
132,282
133,221
134,316
135,479
136,1692
137,665
138,379
139,1693
140,1694
141,1695
142,4467
143,4480
144,1698
145,3732
146,444
147,3403
148,220
149,971
150,1120
151,1700
152,1754
153,1701
154,645
155,975
156,1702
157,977
158,978
159,1703
160,1417
161,985
162,1706
163,1707
164,395
165,984
166,2808
167,463
168,1708
169,4484
170,345
171,314
172,2476
173,155
174,1710
175,4485
176,212
177,1712
178,1713
179,1714
180,53
181,3283
182,497
183,286
184,3285
185,4493
186,587
187,1718
188,509
189,1719
190,1720
191,688
192,1307
193,1721
194,4495
195,507
196,151
197,420
198,1723
199,206
200,784
201,3910
202,3106
203,1725
204,4496
205,4065
206,1726
207,148
208,1728
209,583
210,1010
211,503
212,1729
213,1730
214,1016
215,1013
216,363
217,333
218,3891
219,258
220,772
221,445
222,2813
223,1733
224,602
225,4499
226,1353
227,3459
228,1736
229,1737
230,3290
231,1738
232,1739
233,1465
234,1740
235,689
236,1741
237,3702
238,1276
239,4500
240,1743
241,180
242,170
