,map equation centrality rank
0,132
1,56
2,133
3,4
4,5
5,134
6,135
7,57
8,99
9,100
10,3
11,83
12,21
13,22
14,23
15,84
16,68
17,24
18,25
19,69
20,58
21,163
22,164
23,17
24,71
25,77
26,75
27,76
28,165
29,72
30,18
31,64
32,188
33,170
34,15
35,129
36,49
37,16
38,119
39,120
40,121
41,14
42,122
43,123
44,181
45,124
46,125
47,41
48,42
49,43
50,126
51,44
52,128
53,45
54,171
55,193
56,2
57,194
58,192
59,97
60,35
61,98
62,169
63,12
64,8
65,151
66,67
67,66
68,157
69,155
70,65
71,92
72,30
73,93
74,31
75,101
76,94
77,9
78,10
79,32
80,33
81,1
82,112
83,113
84,114
85,115
86,116
87,117
88,118
89,131
90,79
91,53
92,63
93,173
94,54
95,55
96,46
97,47
98,48
99,161
100,70
101,162
102,102
103,0
104,36
105,103
106,104
107,105
108,106
109,107
110,37
111,19
112,13
113,108
114,127
115,50
116,182
117,51
118,130
119,167
120,52
121,74
122,168
123,191
124,177
125,29
126,90
127,91
128,7
129,20
130,175
131,111
132,80
133,153
134,81
135,82
136,59
137,144
138,185
139,145
140,146
141,147
142,148
143,60
144,61
145,62
146,149
147,150
148,85
149,86
150,87
151,26
152,136
153,137
154,138
155,139
156,140
157,141
158,174
159,172
160,78
161,195
162,196
163,142
164,143
165,154
166,27
167,28
168,176
169,88
170,89
171,156
172,178
173,34
174,166
175,6
176,38
177,189
178,73
179,190
180,95
181,96
182,11
183,179
184,39
185,158
186,109
187,110
188,40
189,180
190,159
191,160
192,184
193,186
194,183
195,187
196,152
