,map equation centrality rank
0,108
1,36
2,43
3,24
4,5
5,20
6,21
7,112
8,121
9,6
10,10
11,119
12,2
13,35
14,164
15,3
16,29
17,82
18,33
19,160
20,109
21,0
22,123
23,95
24,140
25,34
26,41
27,52
28,72
29,16
30,1
31,129
32,170
33,166
34,169
35,103
36,22
37,54
38,163
39,83
40,98
41,12
42,23
43,39
44,19
45,25
46,80
47,48
48,44
49,61
50,62
51,55
52,68
53,71
54,69
55,64
56,63
57,65
58,150
59,151
60,136
61,90
62,53
63,32
64,79
65,85
66,114
67,60
68,113
69,92
70,111
71,8
72,73
73,15
74,93
75,13
76,89
77,26
78,154
79,120
80,57
81,122
82,59
83,175
84,100
85,27
86,49
87,105
88,37
89,56
90,11
91,30
92,58
93,9
94,91
95,96
96,38
97,99
98,70
99,66
100,18
101,4
102,168
103,7
104,94
105,97
106,42
107,87
108,81
109,104
110,148
111,165
112,50
113,132
114,84
115,162
116,171
117,144
118,78
119,137
120,155
121,152
122,127
123,128
124,159
125,40
126,187
127,149
128,156
129,17
130,126
131,28
132,14
133,186
134,172
135,31
136,46
137,180
138,188
139,185
140,177
141,182
142,153
143,181
144,178
145,176
146,146
147,101
148,74
149,51
150,158
151,88
152,75
153,134
154,145
155,47
156,67
157,147
158,143
159,45
160,76
161,142
162,161
163,118
164,179
165,189
166,190
167,86
168,133
169,135
170,115
171,117
172,116
173,106
174,107
175,77
176,141
177,125
178,138
179,124
180,102
181,196
182,173
183,174
184,130
185,131
186,110
187,157
188,192
189,139
190,197
191,183
192,191
193,184
194,195
195,167
196,194
197,193
