,map equation centrality rank
0,0
1,7
2,5
3,6
4,3
5,1
6,9
7,8
8,14
9,11
10,311
11,10
12,13
13,17
14,168
15,296
16,12
17,20
18,25
19,16
20,21
21,15
22,19
23,89
24,39
25,30
26,57
27,26
28,53
29,32
30,38
31,110
32,118
33,40
34,27
35,60
36,24
37,35
38,117
39,65
40,378
41,45
42,33
43,48
44,134
45,231
46,75
47,241
48,52
49,99
50,2
51,103
52,49
53,719
54,390
55,106
56,42
57,112
58,31
59,235
60,34
61,1010
62,288
63,179
64,66
65,173
66,88
67,81
68,129
69,56
70,63
71,1013
72,133
73,109
74,217
75,160
76,62
77,1395
78,314
79,93
80,442
81,294
82,111
83,313
84,380
85,169
86,36
87,303
88,47
89,165
90,293
91,1028
92,612
93,1398
94,61
95,802
96,418
97,974
98,58
99,214
100,162
101,232
102,499
103,982
104,1501
105,295
106,37
107,128
108,596
109,51
110,91
111,419
112,397
113,230
114,507
115,496
116,453
117,256
118,475
119,1015
120,85
121,114
122,365
123,1018
124,771
125,1014
126,516
127,74
128,513
129,238
130,369
131,97
132,163
133,274
134,498
135,222
136,126
137,375
138,127
139,275
140,218
141,219
142,159
143,387
144,504
145,1151
146,100
147,753
148,101
149,1405
150,754
151,292
152,1021
153,72
154,80
155,818
156,519
157,363
158,626
159,1412
160,1413
161,142
162,270
163,364
164,1415
165,597
166,306
167,244
168,1417
169,1008
170,1154
171,632
172,406
173,1070
174,341
175,113
176,633
177,207
178,86
179,542
180,755
181,524
182,1753
183,562
184,545
185,1026
186,1429
187,1430
188,566
189,96
190,900
191,876
192,174
193,1123
194,677
195,289
196,367
197,1360
198,902
199,226
200,564
201,1828
202,678
203,1030
204,1444
205,1120
206,1446
207,561
208,372
209,392
210,373
211,427
212,227
213,421
214,374
215,679
216,143
217,1389
218,1128
219,1450
220,680
221,282
222,1451
223,381
224,137
225,242
226,503
227,28
228,1129
229,600
230,417
231,145
232,1454
233,757
234,544
235,1363
236,1554
237,778
238,730
239,638
240,1366
241,1006
242,732
243,1368
244,1369
245,584
246,177
247,903
248,1802
249,904
250,1556
251,1582
252,741
253,1370
254,550
255,1372
256,1371
257,1559
258,1111
259,682
260,728
261,1649
262,968
263,255
264,1121
265,975
266,683
267,1375
268,257
269,684
270,187
271,552
272,1650
273,1651
274,209
275,787
276,729
277,1376
278,906
279,212
280,280
281,182
282,236
283,435
284,1748
285,1025
286,115
287,161
288,509
289,580
290,1379
291,355
292,1380
293,1003
294,1381
295,733
296,83
297,734
298,814
299,271
300,686
301,1735
302,123
303,337
304,269
305,391
306,186
307,347
308,344
309,298
310,1016
311,735
312,736
313,529
314,506
315,505
316,1027
317,1396
318,873
319,1159
320,1662
321,502
322,1029
323,1663
324,512
325,1102
326,1097
327,738
328,1402
329,709
330,710
331,711
332,576
333,1017
334,324
335,184
336,1407
337,1592
338,1408
339,935
340,1019
341,865
342,234
343,308
344,932
345,1414
346,1022
347,1358
348,194
349,1166
350,1576
351,928
352,1436
353,1416
354,714
355,1418
356,1419
357,1420
358,921
359,478
360,691
361,1421
362,1126
363,1423
364,1670
365,1424
366,1103
367,1581
368,1036
369,1524
370,1427
371,224
372,408
373,1583
374,1584
375,717
376,1107
377,1155
378,558
379,761
380,722
381,1431
382,1270
383,1267
384,1233
385,1290
386,1434
387,1791
388,1435
389,1456
390,1438
391,479
392,4
393,29
394,23
395,70
396,107
397,41
398,54
399,68
400,44
401,172
402,67
403,105
404,175
405,69
406,132
407,84
408,141
409,136
410,368
411,73
412,284
413,202
414,286
415,210
416,215
417,273
418,158
419,362
420,155
421,94
422,140
423,820
424,205
425,384
426,281
427,385
428,486
429,1110
430,1313
431,532
432,405
433,694
434,383
435,382
436,695
437,696
438,203
439,399
440,487
441,1079
442,697
443,283
444,698
445,488
446,361
447,1200
448,277
449,1065
450,699
451,700
452,701
453,206
454,1063
455,1039
456,1326
457,1327
458,518
459,1094
460,1539
461,1188
462,588
463,1189
464,1042
465,986
466,1330
467,1044
468,1161
469,703
470,1076
471,693
472,1050
473,1051
474,1052
475,989
476,990
477,1053
478,704
479,522
480,994
481,1055
482,515
483,204
484,1342
485,1058
486,1059
487,371
488,1116
489,491
490,497
491,1190
492,705
493,1350
494,285
495,803
496,1353
497,1062
498,1066
499,1069
500,1072
501,501
502,1073
503,490
504,749
505,708
506,1359
507,1191
508,1000
509,1001
510,995
511,743
512,366
513,998
514,999
515,752
516,739
517,1037
518,1038
519,494
520,1347
521,1351
522,1146
523,543
524,1186
525,1135
526,1343
527,993
528,707
529,1338
530,674
531,1137
532,793
533,795
534,1143
535,548
536,146
537,55
538,76
539,331
540,90
541,156
542,334
543,901
544,139
545,412
546,124
547,239
548,338
549,305
550,122
551,190
552,648
553,138
554,272
555,476
556,1232
557,919
558,251
559,441
560,1228
561,909
562,481
563,120
564,1040
565,675
566,911
567,965
568,847
569,1292
570,1273
571,800
572,144
573,587
574,1459
575,805
576,448
577,247
578,321
579,192
580,1260
581,1255
582,1251
583,196
584,785
585,780
586,784
587,783
588,782
589,649
590,946
591,259
592,1248
593,454
594,848
595,332
596,333
597,849
598,927
599,912
600,456
601,457
602,459
603,245
604,246
605,460
606,1399
607,1254
608,125
609,837
610,197
611,650
612,947
613,941
614,799
615,1244
616,480
617,339
618,808
619,358
620,1265
621,1234
622,167
623,352
624,472
625,1291
626,652
627,119
628,653
629,254
630,483
631,655
632,87
633,656
634,152
635,327
636,482
