,map equation centrality rank
0,138
1,6
2,139
3,140
4,7
5,2
6,273
7,141
8,258
9,15
10,259
11,299
12,261
13,262
14,35
15,41
16,250
17,14
18,57
19,252
20,70
21,69
22,253
23,83
24,11
25,44
26,45
27,3
28,21
29,148
30,19
31,81
32,12
33,326
34,150
35,28
36,154
37,151
38,51
39,52
40,178
41,176
42,181
43,177
44,361
45,75
46,291
47,362
48,226
49,227
50,228
51,356
52,109
53,110
54,0
55,210
56,211
57,212
58,213
59,112
60,113
61,114
62,115
63,116
64,20
65,111
66,22
67,97
68,94
69,1
70,32
71,49
72,98
73,119
74,120
75,24
76,121
77,8
78,9
79,160
80,5
81,123
82,101
83,321
84,322
85,323
86,324
87,17
88,85
89,4
90,86
91,87
92,84
93,218
94,91
95,340
96,102
97,104
98,72
99,275
100,271
101,274
102,276
103,238
104,239
105,240
106,243
107,59
108,10
109,193
110,60
111,61
112,36
113,62
114,194
115,37
116,195
117,196
118,137
119,265
120,345
121,50
122,337
123,338
124,335
125,339
126,283
127,284
128,198
129,199
130,200
131,38
132,39
133,42
134,40
135,216
136,27
137,142
138,77
139,78
140,79
141,80
142,23
143,342
144,99
145,277
146,100
147,278
148,145
149,29
150,16
151,155
152,30
153,54
154,31
155,46
156,47
157,88
158,254
159,255
160,256
161,103
162,149
163,153
164,152
165,206
166,207
167,208
168,366
169,43
170,317
171,90
172,319
173,223
174,224
175,225
176,229
177,267
178,26
179,268
180,135
181,136
182,244
183,245
184,66
185,233
186,209
187,214
188,353
189,303
190,304
191,305
192,364
193,96
194,92
195,93
196,76
197,95
198,13
199,201
200,260
201,307
202,308
203,217
204,354
205,309
206,333
207,143
208,334
209,144
210,82
211,327
212,328
213,329
214,330
215,124
216,125
217,343
218,126
219,301
220,293
221,89
222,33
223,55
224,18
225,34
226,234
227,237
228,236
229,74
230,316
231,219
232,220
233,221
234,222
235,318
236,320
237,367
238,163
239,164
240,310
241,311
242,312
243,106
244,107
245,108
246,292
247,363
248,336
249,313
250,314
251,315
252,368
253,282
254,279
255,332
256,325
257,230
258,357
259,215
260,306
261,365
262,117
263,118
264,122
265,165
266,166
267,53
268,167
269,168
270,56
271,175
272,58
273,173
274,174
275,171
276,172
277,204
278,63
279,280
280,187
281,188
282,189
283,190
284,281
285,266
286,156
287,352
288,205
289,130
290,25
291,131
292,48
293,105
294,64
295,355
296,191
297,192
298,241
299,242
300,157
301,158
302,132
303,344
304,133
305,134
306,183
307,184
308,185
309,186
310,159
311,269
312,331
313,246
314,347
315,257
316,302
317,298
318,296
319,297
320,294
321,295
322,73
323,285
324,286
325,289
326,67
327,247
328,248
329,68
330,249
331,358
332,351
333,202
334,203
335,169
336,170
337,348
338,360
339,251
340,71
341,263
342,300
343,359
344,264
345,146
346,346
347,147
348,127
349,128
350,129
351,161
352,65
353,231
354,232
355,270
356,272
357,235
358,287
359,288
360,290
361,179
362,341
363,162
364,182
365,180
366,349
367,197
368,350
