,map equation centrality rank
0,256
1,265
2,257
3,173
4,234
5,235
6,236
7,266
8,279
9,285
10,250
11,77
12,203
13,262
14,261
15,143
16,248
17,144
18,230
19,205
20,145
21,129
22,218
23,183
24,283
25,58
26,219
27,208
28,98
29,284
30,112
31,231
32,207
33,263
34,174
35,232
36,172
37,206
38,254
39,249
40,264
41,220
42,217
43,255
44,216
45,67
46,78
47,87
48,190
49,299
50,237
51,238
52,239
53,240
54,241
55,242
56,243
57,244
58,245
59,246
60,292
61,6
62,300
63,189
64,156
65,96
66,157
67,158
68,131
69,59
70,175
71,97
72,60
73,55
74,68
75,280
76,281
77,251
78,267
79,268
80,269
81,270
82,204
83,130
84,111
85,79
86,185
87,258
88,259
89,252
90,278
91,186
92,187
93,99
94,17
95,13
96,12
97,22
98,34
99,14
100,27
101,290
102,31
103,4
104,33
105,32
106,26
107,191
108,193
109,3
110,21
111,30
112,29
113,9
114,5
115,18
116,28
117,19
118,82
119,80
120,81
121,8
122,1
123,15
124,2
125,20
126,0
127,10
128,7
129,23
130,24
131,25
132,11
133,16
134,194
135,119
136,253
137,147
138,116
139,56
140,86
141,102
142,50
143,164
144,213
145,85
146,103
147,215
148,293
149,287
150,294
151,288
152,289
153,151
154,198
155,84
156,65
157,70
158,150
159,43
160,163
161,71
162,139
163,66
164,36
165,38
166,195
167,75
168,115
169,211
170,140
171,91
172,148
173,101
174,83
175,90
176,41
177,72
178,73
179,39
180,74
181,92
182,93
183,57
184,51
185,117
186,161
187,182
188,184
189,160
190,162
191,37
192,114
193,47
194,274
195,110
196,35
197,282
198,176
199,159
200,273
201,272
202,222
203,301
204,69
205,113
206,100
207,63
208,64
209,62
210,61
211,45
212,221
213,271
214,136
215,146
216,106
217,247
218,276
219,153
220,152
221,165
222,46
223,52
224,209
225,210
226,118
227,149
228,89
229,224
230,138
231,88
232,44
233,94
234,105
235,48
236,121
237,202
238,126
239,122
240,291
241,107
242,108
243,298
244,134
245,135
246,196
247,76
248,109
249,53
250,54
251,154
252,168
253,169
254,155
255,128
256,229
257,192
258,132
259,133
260,304
261,286
262,180
263,275
264,120
265,181
266,42
267,137
268,197
269,306
270,297
271,212
272,199
273,40
274,95
275,171
276,166
277,177
278,178
279,179
280,142
281,277
282,141
283,305
284,201
285,167
286,200
287,104
288,49
289,124
290,228
291,227
292,226
293,260
294,214
295,223
296,296
297,295
298,188
299,233
300,127
301,125
302,123
303,170
304,225
305,302
306,303
