,map equation centrality rank
0,172
1,34
2,8
3,19
4,33
5,0
6,78
7,2
8,79
9,133
10,75
11,44
12,45
13,72
14,6
15,134
16,47
17,68
18,69
19,20
20,58
21,21
22,105
23,1
24,163
25,5
26,122
27,27
28,61
29,175
30,24
31,131
32,43
33,144
34,159
35,96
36,176
37,62
38,90
39,155
40,51
41,49
42,87
43,50
44,66
45,38
46,67
47,152
48,30
49,156
50,91
51,104
52,166
53,110
54,171
55,174
56,59
57,157
58,4
59,77
60,141
61,7
62,57
63,31
64,101
65,64
66,3
67,39
68,40
69,123
70,86
71,177
72,14
73,126
74,127
75,71
76,42
77,13
78,116
79,11
80,76
81,135
82,103
83,167
84,168
85,10
86,25
87,37
88,12
89,65
90,73
91,130
92,106
93,107
94,82
95,143
96,83
97,15
98,16
99,17
100,32
101,18
102,160
103,138
104,29
105,22
106,108
107,23
108,169
109,109
110,170
111,164
112,9
113,92
114,93
115,94
116,63
117,95
118,153
119,85
120,147
121,154
122,119
123,99
124,54
125,100
126,180
127,48
128,74
129,132
130,60
131,173
132,36
133,113
134,114
135,125
136,178
137,35
138,120
139,121
140,115
141,88
142,158
143,102
144,55
145,56
146,162
147,80
148,81
149,165
150,46
151,128
152,129
153,70
154,41
155,28
156,142
157,136
158,52
159,137
160,53
161,111
162,117
163,26
164,89
165,118
166,124
167,139
168,84
169,179
170,145
171,97
172,98
173,140
174,112
175,148
176,149
177,161
178,150
179,151
180,146
