,map equation centrality rank
0,8
1,15
2,33
3,34
4,35
5,36
6,16
7,0
8,7
9,10
10,17
11,53
12,54
13,55
14,56
15,57
16,58
17,59
18,60
19,61
20,62
21,63
22,64
23,65
24,66
25,67
26,68
27,69
28,70
29,71
30,72
31,73
32,74
33,75
34,31
35,32
36,29
37,30
38,9
39,14
40,187
41,188
42,189
43,190
44,191
45,192
46,3
47,21
48,124
49,125
50,126
51,127
52,128
53,129
54,130
55,131
56,132
57,133
58,134
59,135
60,136
61,137
62,138
63,139
64,118
65,119
66,120
67,121
68,122
69,123
70,22
71,23
72,5
73,140
74,141
75,142
76,143
77,144
78,145
79,146
80,147
81,148
82,149
83,150
84,151
85,152
86,153
87,154
88,155
89,156
90,157
91,158
92,159
93,160
94,11
95,176
96,177
97,178
98,179
99,180
100,186
101,181
102,182
103,185
104,13
105,183
106,184
107,2
108,12
109,76
110,77
111,78
112,79
113,80
114,81
115,82
116,83
117,84
118,85
119,86
120,87
121,88
122,89
123,90
124,91
125,92
126,93
127,94
128,18
129,19
130,20
131,24
132,25
133,1
134,95
135,96
136,97
137,98
138,99
139,100
140,101
141,102
142,103
143,104
144,105
145,106
146,107
147,108
148,109
149,110
150,111
151,112
152,113
153,114
154,115
155,116
156,117
157,26
158,27
159,28
160,6
161,161
162,162
163,163
164,164
165,165
166,166
167,167
168,168
169,169
170,170
171,171
172,172
173,173
174,174
175,175
176,4
177,38
178,39
179,40
180,41
181,42
182,43
183,44
184,45
185,46
186,47
187,48
188,49
189,50
190,51
191,52
192,37
