,map equation centrality rank
0,0
1,54
2,102
3,85
4,24
5,58
6,8
7,87
8,94
9,39
10,46
11,63
12,38
13,47
14,16
15,72
16,19
17,81
18,13
19,3
20,59
21,56
22,48
23,36
24,78
25,79
26,98
27,60
28,49
29,103
30,9
31,104
32,84
33,64
34,88
35,74
36,22
37,42
38,43
39,10
40,11
41,57
42,12
43,35
44,90
45,91
46,62
47,95
48,96
49,27
50,23
51,97
52,73
53,37
54,105
55,26
56,21
57,44
58,29
59,6
60,31
61,92
62,7
63,99
64,45
65,101
66,32
67,67
68,33
69,55
70,14
71,30
72,93
73,15
74,25
75,17
76,28
77,5
78,86
79,2
80,1
81,40
82,76
83,77
84,20
85,34
86,51
87,52
88,53
89,100
90,4
91,41
92,61
93,82
94,83
95,106
96,80
97,18
98,89
99,107
100,50
101,68
102,69
103,70
104,71
105,108
106,65
107,66
108,75
