,map equation centrality rank
0,283
1,28
2,279
3,0
4,1
5,3
6,146
7,9
8,18
9,74
10,230
11,34
12,147
13,6
14,29
15,43
16,44
17,148
18,107
19,108
20,54
21,206
22,352
23,207
24,208
25,145
26,144
27,149
28,45
29,46
30,209
31,280
32,111
33,112
34,150
35,151
36,202
37,278
38,152
39,210
40,61
41,13
42,62
43,94
44,14
45,337
46,33
47,185
48,186
49,318
50,176
51,97
52,334
53,20
54,181
55,335
56,253
57,254
58,2
59,182
60,255
61,256
62,32
63,183
64,228
65,250
66,251
67,366
68,75
69,219
70,217
71,218
72,4
73,115
74,35
75,39
76,49
77,211
78,284
79,285
80,286
81,53
82,195
83,196
84,197
85,359
86,175
87,82
88,126
89,313
90,315
91,353
92,225
93,17
94,23
95,31
96,24
97,290
98,121
99,226
100,122
101,123
102,164
103,291
104,292
105,167
106,10
107,11
108,293
109,294
110,295
111,296
112,227
113,110
114,348
115,247
116,248
117,249
118,42
119,7
120,127
121,177
122,40
123,50
124,63
125,330
126,95
127,128
128,361
129,319
130,243
131,320
132,362
133,321
134,322
135,323
136,363
137,244
138,245
139,246
140,160
141,37
142,8
143,161
144,120
145,162
146,90
147,163
148,222
149,223
150,224
151,308
152,288
153,289
154,240
155,360
156,92
157,314
158,368
159,260
160,257
161,184
162,68
163,69
164,336
165,258
166,22
167,106
168,136
169,137
170,138
171,139
172,140
173,19
174,190
175,191
176,192
177,238
178,100
179,101
180,378
181,350
182,276
183,277
184,205
185,351
186,310
187,21
188,125
189,12
190,239
191,311
192,232
193,89
194,303
195,233
196,234
197,235
198,369
199,133
200,98
201,99
202,187
203,312
204,91
205,172
206,173
207,174
208,331
209,96
210,131
211,179
212,180
213,252
214,332
215,333
216,134
217,71
218,264
219,5
220,77
221,78
222,116
223,117
224,159
225,55
226,158
227,76
228,157
229,212
230,213
231,355
232,30
233,52
234,15
235,16
236,214
237,215
238,57
239,59
240,58
241,56
242,220
243,221
244,297
245,298
246,41
247,64
248,65
249,25
250,26
251,66
252,27
253,67
254,129
255,130
256,178
257,47
258,299
259,48
260,79
261,60
262,80
263,81
264,229
265,102
266,103
267,72
268,51
269,104
270,105
271,189
272,339
273,340
274,374
275,341
276,342
277,343
278,375
279,338
280,135
281,370
282,371
283,188
284,265
285,266
286,109
287,324
288,325
289,365
290,326
291,327
292,231
293,83
294,124
295,38
296,300
297,301
298,84
299,85
300,86
301,87
302,88
303,302
304,168
305,169
306,170
307,171
308,216
309,287
310,354
311,329
312,328
313,270
314,271
315,346
316,347
317,367
318,377
319,349
320,143
321,376
322,261
323,262
324,263
325,281
326,282
327,193
328,344
329,73
330,267
331,194
332,268
333,364
334,304
335,236
336,305
337,165
338,237
339,309
340,306
341,166
342,307
343,358
344,356
345,357
346,141
347,142
348,272
349,203
350,204
351,372
352,241
353,242
354,93
355,316
356,317
357,273
358,274
359,275
360,119
361,113
362,36
363,118
364,114
365,153
366,154
367,155
368,156
369,70
370,132
371,259
372,269
373,345
374,373
375,198
376,199
377,200
378,201
