,map equation centrality rank
0,761
1,3
2,25
3,275
4,273
5,1
6,274
7,0
8,16
9,249
10,250
11,17
12,251
13,151
14,13
15,48
16,14
17,6
18,2
19,9
20,32
21,534
22,8
23,57
24,253
25,20
26,47
27,104
28,254
29,5
30,7
31,211
32,229
33,12
34,1197
35,1205
36,746
37,894
38,631
39,347
40,56
41,195
42,127
43,1272
44,862
45,15
46,239
47,829
48,153
49,70
50,1019
51,439
52,770
53,771
54,926
55,348
56,350
57,1022
58,537
59,50
60,1208
61,37
62,51
63,42
64,164
65,205
66,204
67,100
68,137
69,163
70,183
71,162
72,161
73,29
74,228
75,58
76,160
77,245
78,193
79,112
80,10
81,557
82,53
83,1406
84,708
85,710
86,883
87,884
88,72
89,196
90,4
91,111
92,276
93,231
94,198
95,30
96,1354
97,74
98,248
99,207
100,31
101,233
102,581
103,23
104,410
105,131
106,1456
107,1349
108,173
109,59
110,419
111,35
112,914
113,306
114,1290
115,443
116,525
117,526
118,40
119,963
120,150
121,39
122,87
123,597
124,750
125,97
126,715
127,696
128,11
129,840
130,1381
131,412
132,1376
133,393
134,644
135,159
136,80
137,19
138,842
139,390
140,76
141,391
142,548
143,279
144,843
145,844
146,1370
147,297
148,542
149,553
150,396
151,847
152,849
153,1379
154,850
155,392
156,852
157,65
158,296
159,157
160,554
161,1377
162,1378
163,853
164,1365
165,649
166,389
167,200
168,1366
169,545
170,833
171,324
172,62
173,73
174,834
175,21
176,269
177,295
178,108
179,1375
180,22
181,109
182,835
183,836
184,280
185,556
186,846
187,93
188,1380
189,839
190,394
191,551
192,36
193,69
194,552
195,66
196,395
197,463
198,299
199,96
200,845
201,85
202,86
203,854
204,241
205,284
206,1373
207,1374
208,848
209,158
210,181
211,24
212,397
213,851
214,762
215,283
216,52
217,513
218,1244
219,1245
220,804
221,560
222,262
223,28
224,287
225,825
226,44
227,1004
228,154
229,978
230,456
231,191
232,667
233,460
234,974
235,38
236,664
237,83
238,663
239,1002
240,114
241,90
242,656
243,185
244,655
245,973
246,325
247,458
248,338
249,662
250,477
251,449
252,49
253,968
254,270
255,182
256,962
257,55
258,46
259,346
260,657
261,1012
262,468
263,658
264,237
265,1006
266,224
267,126
268,660
269,79
270,63
271,788
272,991
273,189
274,342
275,147
276,148
277,335
278,220
279,60
280,321
281,979
282,71
283,345
284,144
285,136
286,462
287,331
288,450
289,409
290,703
291,704
292,88
293,1098
294,77
295,768
296,1155
297,174
298,421
299,33
300,289
301,290
302,34
303,830
304,351
305,291
306,41
307,18
308,429
309,1300
310,1165
311,624
312,625
313,259
314,1337
315,1304
316,483
317,236
318,709
319,981
320,666
321,1167
322,867
323,742
324,1170
325,811
326,294
327,340
328,1171
329,716
330,271
331,1321
332,956
333,475
334,469
335,803
336,1310
337,540
338,907
339,1237
340,155
341,257
342,363
343,252
344,1421
345,751
346,752
347,288
348,78
349,92
350,240
351,673
352,674
353,712
354,713
355,43
356,26
357,213
358,170
359,45
360,61
361,27
362,208
363,1367
364,1173
365,1284
366,1285
367,931
368,141
369,441
370,255
371,317
372,318
373,442
374,420
375,587
376,940
377,789
378,319
379,943
380,142
381,120
382,99
383,357
384,278
385,197
386,64
387,678
388,188
389,679
390,110
391,596
392,54
393,454
394,353
395,354
396,352
397,461
398,452
399,882
400,987
401,1110
402,1203
403,1423
404,1439
405,1111
406,1112
407,805
408,359
409,1113
