,map equation centrality rank
0,8617
1,5437
2,2367
3,2601
4,53
5,2143
6,641
7,1138
8,3
9,0
10,42
11,24
12,460
13,62
14,67
15,102
16,12
17,186
18,18
19,9
20,23
21,10
22,34
23,172
24,45
25,73
26,39
27,148
28,74
29,61
30,87
31,93
32,68
33,114
34,37
35,111
36,92
37,113
38,57
39,35
40,86
41,146
42,107
43,133
44,52
45,72
46,184
47,88
48,241
49,121
50,446
51,1880
52,3313
53,3312
54,1357
55,316
56,344
57,205
58,315
59,874
60,783
61,579
62,482
63,726
64,973
65,974
66,1358
67,25
68,6512
69,3281
70,6531
71,5705
72,5704
73,3976
74,992
75,3974
76,5042
77,971
78,2811
79,1
80,128
81,3626
82,3625
83,7767
84,7762
85,7761
86,7759
87,7758
88,2825
89,2823
90,1602
91,2288
92,1899
93,5109
94,646
95,3655
96,3652
97,5110
98,7840
99,7850
100,5111
101,318
102,8832
103,5566
104,5567
105,566
106,516
107,200
108,336
109,311
110,258
111,46
112,6
113,116
114,765
115,217
116,40
117,704
118,296
119,216
120,22
121,2713
122,239
123,49
124,30
125,312
126,11
127,32
128,152
129,212
130,64
131,334
132,335
133,705
134,472
135,703
136,706
137,947
138,3457
139,727
140,195
141,301
142,85
143,5
144,165
145,208
146,134
147,120
148,164
149,207
150,185
151,294
152,108
153,122
154,132
155,226
156,58
157,196
158,265
159,187
160,230
161,14
162,285
163,106
164,183
165,4958
166,1349
167,274
168,252
169,147
170,278
171,582
172,260
173,94
174,458
175,833
176,406
177,1538
178,506
179,608
180,2189
181,4462
182,4468
183,1078
184,1507
185,2603
186,6551
187,4628
188,6554
189,2602
190,3389
191,3316
192,3307
193,6555
194,2606
195,6556
196,1549
197,564
198,624
199,82
200,110
201,194
202,77
203,246
204,7186
205,7147
206,1053
207,627
208,949
209,36
210,700
211,359
212,519
213,766
214,953
215,54
216,96
217,97
218,76
219,69
220,83
221,78
222,98
223,70
224,79
225,99
226,100
227,191
228,80
229,81
230,89
231,1325
232,7134
233,7207
234,7162
235,21
236,2213
237,63
238,118
239,75
240,2218
241,626
242,129
243,520
244,473
245,518
246,17
247,474
248,28
249,1327
250,215
251,1324
252,151
253,1173
254,565
255,153
256,2217
257,1827
258,1829
259,3463
260,701
261,1888
262,2219
263,7125
264,4732
265,4731
266,2207
267,2221
268,7127
269,7128
270,4736
271,7129
272,7130
273,517
274,951
275,2209
276,952
277,1830
278,1050
279,4741
280,3466
281,3469
282,7203
283,257
284,4742
285,3470
286,3451
287,1547
288,2215
289,7201
290,9848
291,41
292,6036
293,9850
294,3149
295,9851
296,1456
297,3156
298,9781
299,2484
300,4
301,6012
302,1703
303,9782
304,1702
305,9783
306,166
307,2493
308,9785
309,3151
310,328
311,4139
