,map equation centrality rank
0,61
1,94
2,95
3,2
4,39
5,49
6,25
7,40
8,1
9,11
10,14
11,8
12,0
13,17
14,26
15,62
16,99
17,69
18,98
19,68
20,23
21,64
22,42
23,29
24,30
25,67
26,27
27,28
28,103
29,96
30,7
31,22
32,66
33,31
34,63
35,24
36,65
37,43
38,41
39,35
40,10
41,34
42,51
43,70
44,71
45,50
46,84
47,9
48,97
49,58
50,100
51,60
52,81
53,72
54,52
55,85
56,86
57,83
58,21
59,73
60,53
61,87
62,54
63,88
64,33
65,48
66,5
67,59
68,93
69,80
70,44
71,15
72,4
73,6
74,13
75,12
76,18
77,45
78,78
79,38
80,90
81,89
82,32
83,36
84,3
85,82
86,16
87,74
88,75
89,55
90,76
91,37
92,101
93,46
94,47
95,91
96,56
97,57
98,77
99,20
100,19
101,79
102,92
103,104
104,102
