,map equation centrality rank
0,2
1,2502
2,523
3,2568
4,3922
5,1659
6,2769
7,226
8,3847
9,2171
10,1245
11,1316
12,2597
13,3546
14,688
15,1457
16,162
17,1889
18,2071
19,5
20,590
21,292
22,954
23,1010
24,2447
25,4217
26,605
27,1740
28,1017
29,3130
30,1566
31,422
32,4693
33,1612
34,58
35,986
36,2856
37,263
38,410
39,748
40,2705
41,969
42,3655
43,2284
44,644
45,571
46,273
47,116
48,385
49,1227
50,864
51,392
52,532
53,329
54,2989
55,2095
56,1118
57,491
58,850
59,529
60,3614
61,851
62,151
63,552
64,1475
65,46
66,1768
67,158
68,5641
69,1712
70,275
71,1815
72,4252
73,664
74,839
75,217
76,302
77,1172
78,1655
79,917
80,541
81,4797
82,4139
83,722
84,1274
85,501
86,1384
87,3686
88,1313
89,3613
90,2617
91,1864
92,3920
93,3839
94,1177
95,3688
96,248
97,5707
98,563
99,2327
100,2076
101,534
102,2115
103,1519
104,4576
105,2868
106,1267
107,2175
108,0
109,5443
110,211
111,5300
112,6266
113,5005
114,3578
115,3571
116,3282
117,5557
118,891
119,527
120,4680
121,229
122,2192
123,3642
124,2144
125,5862
126,5487
127,1786
128,5554
129,3831
130,3187
131,4102
132,5139
133,4301
134,473
135,1298
136,3025
137,2440
138,4447
139,3651
140,656
141,4401
142,963
143,3080
144,4522
145,1158
146,4448
147,7
148,4949
149,4053
150,4916
151,3714
152,1226
153,1859
154,5054
155,4785
156,4783
157,2276
158,4021
159,4924
160,3980
161,2471
162,2043
163,4951
164,5666
165,2384
166,4591
167,1754
168,4871
169,4285
170,3650
171,4061
172,758
173,3610
174,3014
175,4409
176,3800
177,4318
178,2952
179,6035
180,495
181,1168
182,6
183,1641
184,309
185,931
186,3023
187,2850
188,1008
189,186
190,1861
191,1250
192,1640
193,187
194,20
195,4325
196,2202
197,1907
198,1295
199,1975
200,1436
201,2481
202,2514
203,2450
204,1825
205,3711
206,2584
207,5234
208,2317
209,892
210,4537
211,63
212,1448
213,1799
214,538
215,880
216,272
217,1341
218,1512
219,89
220,622
221,387
222,447
223,3963
224,3237
225,479
226,2932
227,141
228,270
229,3885
230,3681
231,471
232,48
233,648
234,701
235,1217
236,194
237,1697
238,2867
239,799
240,2891
241,2250
242,1076
243,998
244,729
245,3285
246,977
247,667
248,3966
249,4218
250,1318
251,13
252,210
253,1699
254,1348
255,23
256,2032
257,2357
258,2508
259,487
260,528
261,3246
262,502
263,1180
264,22
265,2117
266,147
267,1528
268,75
269,131
270,3069
271,1311
272,810
273,4723
274,508
275,1535
276,4296
277,1738
278,4650
279,175
280,1521
281,2097
282,1253
283,436
284,439
285,1231
286,905
287,8
288,1332
289,797
290,301
291,586
292,382
293,1865
294,2948
295,1042
296,97
297,37
298,3165
299,1284
300,1696
301,373
302,32
303,1479
304,556
305,4277
306,904
307,1363
308,1362
309,1061
310,1824
311,3671
312,2385
313,293
314,1306
315,932
316,537
317,1346
318,47
319,1788
320,30
321,776
322,434
323,1060
324,337
325,4107
326,1360
327,3999
328,313
329,29
330,225
331,1320
332,669
333,1417
334,867
335,2225
336,754
337,1273
338,824
339,956
340,577
341,1263
342,3850
343,335
344,1285
345,4380
346,125
347,12
348,2183
349,790
350,597
351,67
352,4
353,189
354,1095
355,1598
356,133
357,182
358,1208
359,1201
360,2472
361,609
362,2757
363,1726
364,914
365,3422
366,2962
367,366
368,3387
369,3899
370,2701
371,2912
372,24
373,1034
374,706
375,219
376,540
377,95
378,1136
379,745
380,1698
381,1449
382,812
383,5213
384,446
385,1497
386,1662
387,1774
388,320
389,2393
390,1984
391,1714
392,1816
393,4174
394,496
395,4794
396,2234
397,922
398,759
399,152
400,42
401,4790
402,168
403,3411
404,4852
405,1613
406,184
407,1637
408,96
409,3533
410,744
411,4415
412,2206
413,240
414,9
415,98
416,109
417,135
418,714
419,3815
420,2556
421,879
422,3403
423,2221
424,1070
425,332
426,1734
427,820
428,2564
429,2577
430,786
431,129
432,41
433,730
434,345
435,1382
436,2342
437,1151
438,386
439,198
440,827
441,757
442,2857
443,2394
444,215
445,3460
446,4251
447,261
448,3173
449,1232
450,2214
451,2748
452,377
453,1469
454,4145
455,153
456,1233
457,2321
458,1301
459,874
460,2111
461,1337
462,2147
463,574
464,432
465,493
466,2290
467,2302
468,476
469,866
470,218
471,2441
472,788
473,1156
474,576
475,1814
476,1260
477,256
478,908
479,2328
480,5094
481,76
482,3008
483,1482
484,1866
485,2153
486,861
487,3204
488,2929
489,1957
490,203
491,2655
492,2919
493,3741
494,1014
495,462
496,1618
497,707
498,1863
499,5334
500,2614
501,978
502,4346
503,455
504,3291
505,1426
506,477
507,1159
508,1110
509,3284
510,893
511,2389
512,1837
513,2248
514,1663
515,1925
516,1349
517,27
518,999
519,503
520,1582
521,1941
522,59
523,2145
524,163
525,1405
526,405
527,1921
528,296
529,1185
530,2040
531,1
532,1833
533,2200
534,222
535,3062
536,506
537,1020
538,2785
539,138
540,1290
541,1460
542,492
543,106
544,676
545,575
546,1102
547,1361
548,1790
549,1276
550,1120
551,1945
552,2410
553,3516
554,858
555,87
556,4514
557,66
558,1101
559,2344
560,494
561,731
562,413
563,3026
564,1499
565,1387
566,1937
567,341
568,3029
569,2851
570,818
571,2699
572,100
573,338
574,734
575,958
576,380
577,121
578,1718
579,409
580,5513
581,526
582,868
583,2611
584,1581
585,4548
586,103
587,2833
588,1549
589,204
590,719
591,2565
592,1131
593,852
594,2448
595,629
596,895
597,351
598,1908
599,938
600,2210
601,535
602,2986
603,1262
604,920
605,3652
606,209
607,2858
608,327
609,2700
610,454
611,3
612,2688
613,426
614,43
615,1645
616,2624
617,2870
618,1933
619,2710
620,21
621,2453
622,735
623,933
624,3052
625,72
626,368
627,3229
628,522
629,3482
630,1874
631,3503
632,599
633,3127
634,82
635,2208
636,34
637,679
638,144
639,50
640,174
641,666
642,1789
643,185
644,77
645,3838
646,2480
647,2741
648,966
649,352
650,1531
651,205
652,2064
653,1137
654,2810
655,1450
656,1036
657,1701
658,1081
659,2371
660,1764
661,4193
662,4403
663,2401
664,2609
665,6110
666,1955
667,3545
668,1630
669,2354
670,5453
671,2849
672,3865
673,4559
674,3010
675,945
676,3491
677,4128
678,164
679,1886
680,4857
681,2527
682,1249
683,1443
684,1731
685,1729
686,1176
687,1902
688,397
689,817
690,1578
691,308
692,659
693,2381
694,1607
695,104
696,156
697,3758
698,4755
699,4471
700,4959
701,3948
702,4019
703,3495
704,3489
705,2947
706,2112
707,1813
708,1882
709,4674
710,4685
711,26
712,3708
713,3017
714,326
715,2431
716,4040
717,262
718,2552
719,2358
720,4810
721,946
722,1514
723,1971
724,1636
725,6108
726,2409
727,1540
728,1053
729,849
730,686
731,2063
732,64
733,4795
734,1634
735,3500
736,925
737,4209
738,687
739,1785
740,3375
741,1193
742,4404
743,944
744,1309
745,548
746,1378
747,5496
748,4716
749,5548
750,1435
751,1546
752,1207
753,962
754,1390
755,902
756,232
757,2555
758,1670
759,223
760,763
761,752
762,1463
763,1376
764,2573
765,11
766,1146
767,2900
768,1045
769,634
770,202
771,573
772,300
773,1646
774,264
775,524
776,278
777,3239
778,889
779,587
780,4269
781,2630
782,2098
783,937
784,1235
785,504
786,1431
787,3177
788,598
789,115
790,2259
791,2037
792,371
793,159
794,299
795,288
796,470
797,370
798,1133
799,1831
800,398
801,179
802,1751
803,4042
804,1125
805,18
806,844
807,690
808,324
809,2598
810,93
811,2977
812,1987
813,3353
814,259
815,979
816,2029
817,764
818,1336
819,2424
820,88
821,2362
822,2515
823,1221
824,1048
825,1016
826,44
827,899
828,55
829,244
830,481
831,149
832,489
833,1862
834,3287
835,2285
836,1107
837,539
838,3730
839,684
840,2121
841,1392
842,155
843,637
844,78
845,1704
846,516
847,15
848,1599
849,350
850,869
851,2235
852,4228
853,877
854,38
855,3002
856,1013
857,779
858,846
859,847
860,91
861,304
862,40
863,277
864,3055
865,830
866,3970
867,1002
868,1887
869,3322
870,53
871,1964
872,488
873,1615
874,2604
875,1485
876,4080
877,408
878,1049
879,1940
880,2706
881,1057
882,298
883,533
884,170
885,1182
886,110
887,2488
888,845
889,1293
890,1155
891,1278
892,427
893,2804
894,102
895,457
896,45
897,980
898,3968
899,2808
900,54
901,171
902,2322
903,4851
904,396
905,898
906,772
907,1829
908,419
909,35
910,347
911,1234
912,2681
913,4068
914,1027
915,3891
916,3733
917,3301
918,3372
919,4091
920,3704
921,553
922,3608
923,4337
924,340
925,90
926,3603
927,2436
928,1675
929,1004
930,3142
931,1783
932,2086
933,654
934,2137
935,2269
936,1963
937,518
938,126
939,4391
940,3679
941,2628
942,4077
943,767
944,3115
945,343
946,1900
947,624
948,1326
949,756
950,1727
951,4778
952,2636
953,318
954,697
955,2754
956,672
957,1584
958,3067
959,1335
960,5651
961,3826
962,2494
963,1148
964,1021
965,918
966,2551
967,1879
968,985
969,1325
970,1470
971,1750
972,355
973,1242
974,726
975,617
976,3493
977,658
978,1723
979,3348
980,2433
981,639
982,1893
983,1753
984,333
985,695
986,2382
987,1579
988,361
989,840
990,4760
991,378
992,1574
993,4350
994,1111
995,1283
996,912
997,2106
998,1308
999,2786
1000,2215
1001,1541
1002,792
1003,1323
1004,1052
1005,1379
1006,4162
1007,1782
1008,2101
1009,376
1010,785
1011,2298
1012,855
1013,2263
1014,1307
1015,739
1016,1078
1017,564
1018,1898
1019,2454
1020,3001
1021,1625
1022,1000
1023,57
1024,94
1025,3342
1026,431
1027,3868
1028,2356
1029,3780
1030,3318
1031,1804
1032,2872
1033,2601
1034,238
1035,4303
1036,140
1037,1867
1038,741
1039,364
1040,111
1041,483
1042,1199
1043,530
1044,3370
1045,636
1046,677
1047,31
1048,321
1049,814
1050,1413
1051,19
1052,180
1053,143
1054,2397
1055,961
1056,2294
1057,3152
1058,2072
1059,1600
1060,1442
1061,1703
1062,228
1063,1354
1064,960
1065,1702
1066,1539
1067,3339
1068,2479
1069,2983
1070,3106
1071,838
1072,1058
1073,1205
1074,580
1075,3464
1076,988
1077,870
1078,645
1079,2591
1080,4735
1081,500
1082,212
1083,4115
1084,4188
1085,2033
1086,625
1087,1716
1088,971
1089,3402
1090,384
1091,3266
1092,2303
1093,3775
1094,835
1095,1516
1096,1371
1097,1072
1098,2666
1099,2627
1100,108
1101,1407
1102,4938
1103,284
1104,910
1105,3930
1106,2554
1107,3481
1108,1041
1109,1198
1110,3553
1111,1667
1112,680
1113,1644
1114,570
1115,1319
1116,1978
1117,2714
1118,3367
1119,2460
1120,1157
1121,3965
1122,3194
1123,1858
1124,1103
1125,196
1126,3455
1127,1138
1128,1998
1129,1480
1130,1669
1131,4227
1132,1664
1133,4146
1134,297
1135,3670
1136,2509
1137,2513
1138,235
1139,1112
1140,2119
1141,828
1142,2935
1143,1745
1144,1433
1145,2198
1146,976
1147,1455
1148,3715
1149,195
1150,1744
1151,367
1152,3816
1153,2946
1154,3782
1155,2316
1156,2366
1157,2421
1158,1917
1159,3961
1160,2897
1161,3709
1162,3298
1163,2936
1164,964
1165,1966
1166,512
1167,374
1168,2489
1169,3264
1170,3678
1171,83
1172,286
1173,777
1174,258
1175,3769
1176,802
1177,1181
1178,1142
1179,1160
1180,1461
1181,208
1182,236
1183,519
1184,2633
1185,4379
1186,3515
1187,2965
1188,323
