,map equation centrality rank
0,48
1,213
2,192
3,90
4,447
5,264
6,207
7,114
8,199
9,200
10,225
11,406
12,475
13,360
14,226
15,405
16,134
17,135
18,476
19,148
20,386
21,299
22,115
23,354
24,144
25,193
26,341
27,379
28,495
29,355
30,430
31,453
32,86
33,105
34,432
35,65
36,106
37,278
38,473
39,147
40,228
41,229
42,402
43,170
44,288
45,210
46,485
47,486
48,179
49,328
50,154
51,491
52,251
53,428
54,178
55,368
56,369
57,270
58,23
59,326
60,343
61,271
62,456
63,344
64,140
65,191
66,362
67,481
68,151
69,11
70,180
71,329
72,330
73,448
74,474
75,449
76,425
77,32
78,407
79,96
80,466
81,352
82,127
83,398
84,438
85,467
86,468
87,353
88,452
89,268
90,349
91,196
92,53
93,121
94,15
95,68
96,88
97,33
98,34
99,22
100,35
101,39
102,164
103,1
104,104
105,66
106,12
107,6
108,211
109,289
110,110
111,274
112,54
113,84
114,5
115,49
116,89
117,189
118,190
119,186
120,378
121,494
122,130
123,243
124,55
125,7
126,67
127,97
128,75
129,30
130,0
131,17
132,45
133,46
134,198
135,93
136,161
137,73
138,123
139,385
140,155
141,450
142,141
143,267
144,40
145,94
146,109
147,185
148,459
149,348
150,477
151,150
152,227
153,78
154,24
155,117
156,165
157,220
158,119
159,26
160,131
161,101
162,132
163,350
164,107
165,108
166,59
167,60
168,61
169,62
170,63
171,47
172,296
173,50
174,25
175,128
176,41
177,79
178,417
179,80
180,197
181,142
182,275
183,111
184,99
185,166
186,77
187,314
188,13
189,126
190,98
191,231
192,19
193,100
194,81
195,322
196,244
197,102
198,277
199,58
200,14
201,31
202,44
203,250
204,300
205,10
206,87
207,318
208,319
209,56
210,171
211,306
212,29
213,82
214,43
215,21
216,57
217,133
218,103
219,122
220,388
221,52
222,158
223,301
224,2
225,422
226,234
227,403
228,249
229,454
230,269
231,187
232,445
233,358
234,359
235,69
236,51
237,120
238,38
239,137
240,297
241,37
242,374
243,375
244,72
245,342
246,286
247,287
248,455
249,95
250,76
251,256
252,440
253,479
254,305
255,160
256,16
257,183
258,146
259,472
260,420
261,28
262,258
263,259
264,184
265,260
266,64
267,252
268,208
269,209
270,482
271,483
272,195
273,8
274,363
275,285
276,253
277,327
278,340
279,284
280,393
281,18
282,294
283,295
284,4
285,9
286,460
287,304
288,3
289,162
290,91
291,92
292,36
293,118
294,169
295,124
296,412
297,20
298,129
299,478
300,441
301,174
302,181
303,138
304,257
305,303
306,159
307,212
308,367
309,173
310,395
311,364
312,366
313,469
314,201
315,42
316,376
317,480
318,27
319,71
320,232
321,276
322,265
323,266
324,216
325,351
326,143
327,172
328,465
329,74
330,217
331,233
332,136
333,490
334,325
335,426
336,205
337,206
338,437
339,293
340,254
341,331
342,357
343,113
344,202
345,255
346,125
347,156
348,439
349,83
350,427
351,308
352,400
353,309
354,310
355,324
356,245
357,463
358,273
359,153
360,116
361,371
362,246
363,241
364,335
365,336
366,175
367,145
368,377
369,188
370,248
371,112
372,471
373,361
374,168
375,230
376,313
377,416
378,321
379,235
380,279
381,236
382,408
383,283
384,149
385,338
386,384
387,298
388,345
389,457
390,194
391,458
392,421
393,431
394,237
395,315
396,373
397,292
398,443
399,261
400,316
401,167
402,346
403,347
404,410
405,311
406,312
407,444
408,262
409,240
410,381
411,411
412,242
413,85
414,263
415,333
416,365
417,401
418,433
419,280
420,462
421,139
422,423
423,177
424,221
425,399
426,334
427,484
428,307
429,396
430,419
431,442
432,434
433,372
434,70
435,215
436,492
437,337
438,487
439,415
440,332
441,391
442,223
443,493
444,413
445,435
446,282
447,356
448,224
449,182
450,418
451,389
452,464
453,320
454,238
455,370
456,489
457,380
458,436
459,239
460,317
461,414
462,152
463,290
464,281
465,291
466,339
467,397
468,451
469,387
470,429
471,218
472,470
473,203
474,222
475,272
476,204
477,394
478,163
479,323
480,461
481,409
482,176
483,488
484,302
485,214
486,390
487,404
488,382
489,219
490,424
491,157
492,392
493,247
494,383
495,446
