,map equation centrality rank
0,28
1,280
2,16
3,138
4,197
5,136
6,25
7,428
8,481
9,6
10,434
11,187
12,752
13,623
14,65
15,123
16,2
17,270
18,7
19,18
20,684
21,306
22,43
23,21
24,169
25,17
26,257
27,26
28,5
29,486
30,217
31,488
32,124
33,13
34,489
35,490
36,159
37,512
38,145
39,505
40,494
41,102
42,503
43,274
44,55
45,27
46,497
47,115
48,23
49,150
50,22
51,58
52,259
53,53
54,465
55,42
56,297
57,3
58,80
59,456
60,54
61,147
62,278
63,279
64,87
65,589
66,384
67,639
68,550
69,160
70,4
71,552
72,235
73,555
74,534
75,41
76,238
77,536
78,239
79,57
80,539
81,185
82,174
83,240
84,542
85,672
86,90
87,673
88,301
89,180
90,66
91,685
92,686
93,307
94,687
95,308
96,690
97,40
98,289
99,644
100,655
101,149
102,152
103,502
104,506
105,1
106,209
107,210
108,189
109,134
110,339
111,753
112,71
113,744
114,553
115,11
116,619
117,151
118,513
119,144
120,142
121,432
122,126
123,759
124,433
125,68
126,92
127,82
128,315
129,316
130,44
131,9
132,423
133,606
134,479
135,184
136,729
137,0
138,356
139,622
140,130
141,732
142,30
143,710
144,484
145,153
146,108
147,35
148,362
149,227
150,157
151,33
152,172
153,610
154,20
155,704
156,317
157,91
158,595
159,84
160,597
161,120
162,521
163,229
164,14
165,247
166,64
167,566
168,117
169,116
170,570
171,29
172,171
173,618
174,713
175,275
176,15
177,368
178,694
179,49
180,249
181,131
182,326
183,51
184,8
185,96
186,75
187,52
188,331
189,728
190,603
191,173
192,265
193,56
194,232
195,154
196,407
197,85
198,266
199,105
200,496
201,410
202,200
203,375
204,332
205,333
206,738
207,101
208,334
209,73
210,202
211,31
212,139
213,46
214,387
215,47
216,45
217,97
218,98
219,286
220,140
221,34
222,110
223,226
224,37
225,109
226,338
227,751
228,424
229,501
230,81
231,466
232,470
233,596
234,294
235,658
236,112
237,530
238,223
239,474
240,304
241,305
242,59
243,662
244,295
245,296
246,663
247,292
248,293
249,395
250,204
251,340
252,341
253,205
254,398
255,69
256,700
257,604
258,121
259,260
260,19
261,211
262,48
263,723
