,map equation centrality rank
0,648
1,960
2,737
3,738
4,643
5,444
6,697
7,776
8,500
9,969
10,876
11,601
12,497
13,546
14,45
15,565
16,466
17,163
18,467
19,591
20,164
21,508
22,281
23,215
24,133
25,328
26,636
27,535
28,536
29,468
30,488
31,848
32,469
33,730
34,474
35,494
36,564
37,472
38,496
39,152
40,510
41,440
42,329
43,537
44,486
45,534
46,438
47,509
48,489
49,490
50,491
51,492
52,538
53,566
54,961
55,744
56,808
57,592
58,413
59,733
60,533
61,731
62,794
63,686
64,849
65,637
66,941
67,940
68,487
69,939
70,853
71,796
72,683
73,493
74,792
75,935
76,339
77,256
78,506
79,300
80,76
81,301
82,431
83,61
84,588
85,68
86,189
87,161
88,89
89,338
90,125
91,158
92,130
93,234
94,135
95,298
96,93
97,235
98,112
99,459
100,136
101,299
102,257
103,83
104,87
105,160
106,159
107,232
108,359
109,142
110,131
111,103
112,324
113,784
114,314
115,632
116,918
117,989
118,518
119,498
120,7
121,770
122,519
123,46
124,295
125,991
126,249
127,32
128,335
129,31
130,14
131,617
132,58
133,521
134,60
135,44
136,18
137,36
138,33
139,24
140,16
141,4
142,523
143,396
144,397
145,38
146,0
147,501
148,22
149,502
150,25
151,157
152,50
153,29
154,96
155,34
156,43
157,20
158,48
159,62
160,67
161,56
162,15
163,13
164,35
165,23
166,111
167,11
168,37
169,51
170,42
171,5
172,52
173,54
174,69
175,39
176,64
177,30
178,27
179,28
180,101
181,8
182,40
183,71
184,21
185,17
186,9
187,26
188,6
189,12
190,19
191,63
192,505
193,41
194,57
195,72
196,296
197,1
198,3
199,47
200,74
201,65
202,79
203,53
204,2
205,454
206,522
207,622
208,374
209,549
210,98
211,106
212,303
213,126
214,105
215,132
216,94
217,173
218,143
219,109
220,633
221,148
222,80
223,258
224,91
225,149
226,122
227,316
228,99
229,77
230,190
231,208
232,95
233,121
234,140
235,70
236,434
237,86
238,482
239,100
240,113
241,191
242,110
243,529
244,145
245,134
246,92
247,169
248,562
249,357
250,141
251,82
252,85
253,114
254,138
255,458
256,117
257,49
258,313
259,144
260,78
261,59
262,129
263,118
264,147
265,75
266,120
267,102
268,625
269,187
270,107
271,254
272,231
273,119
274,66
275,139
276,97
277,108
278,321
279,674
280,252
281,583
282,373
283,394
284,560
285,399
286,88
287,355
288,372
289,504
290,582
291,780
292,304
293,628
294,391
295,370
296,417
297,275
298,354
299,418
300,251
301,447
302,392
303,419
304,393
305,448
306,420
307,421
308,705
309,446
310,658
311,893
312,756
313,984
314,980
315,981
316,612
317,611
318,757
319,822
320,768
321,889
322,823
323,400
324,423
325,427
326,422
327,424
328,449
329,610
330,758
331,657
332,659
333,660
334,710
335,886
336,574
337,769
338,575
339,818
340,983
341,528
342,297
343,830
344,912
345,595
346,513
347,351
348,692
349,511
350,456
351,803
352,734
353,288
354,542
355,543
356,332
357,307
358,594
359,801
360,441
361,596
362,287
363,569
364,639
365,948
366,862
367,861
368,526
369,457
370,371
371,551
372,949
373,778
374,366
375,800
376,248
377,514
378,286
379,367
380,330
381,331
382,952
383,364
384,317
385,84
386,10
387,172
388,207
389,128
390,840
391,302
392,634
393,377
394,155
395,312
396,322
397,561
398,726
399,186
400,725
401,765
402,721
403,779
404,481
405,675
406,724
407,532
408,460
409,671
410,839
411,589
412,635
413,727
414,398
415,925
416,788
417,842
418,841
419,171
420,104
421,277
422,188
423,432
424,233
425,146
426,73
427,276
428,433
429,480
430,722
431,531
432,563
433,124
434,376
435,375
436,631
437,340
438,401
439,688
440,476
441,820
442,786
443,687
444,917
445,673
446,55
447,81
448,356
449,720
450,901
451,719
452,170
453,913
454,624
455,585
456,477
457,909
458,672
459,777
460,905
461,908
462,478
463,597
464,907
465,586
466,443
467,584
468,266
469,267
470,229
471,268
472,230
473,202
474,203
475,204
476,308
477,320
478,289
479,290
480,291
481,292
482,333
483,205
484,269
485,250
486,270
487,185
488,206
489,570
490,388
491,442
492,516
493,804
494,378
495,327
496,176
497,379
498,402
499,410
500,403
501,404
502,405
503,406
504,407
505,150
506,343
507,435
508,408
509,409
510,192
511,210
512,193
513,278
514,259
515,305
516,260
517,213
518,237
519,214
520,175
521,209
522,326
523,236
524,174
525,238
526,928
527,791
528,790
529,360
530,728
531,344
532,194
533,127
534,115
535,877
536,741
537,742
538,614
539,577
540,661
541,723
542,395
543,615
544,579
545,616
546,712
547,921
