,map equation centrality rank
0,204
1,142
2,10
3,711
4,189
5,712
6,404
7,405
8,406
9,654
10,564
11,355
12,168
13,887
14,620
15,6
16,86
17,738
18,11
19,399
20,646
21,184
22,647
23,319
24,214
25,1
26,648
27,320
28,315
29,51
30,322
31,1126
32,610
33,53
34,14
35,30
36,835
37,164
38,335
39,505
40,836
41,507
42,508
43,41
44,29
45,127
46,683
47,70
48,129
49,307
50,1297
51,1298
52,1299
53,689
54,175
55,4
56,16
57,3
58,1074
59,85
60,466
61,762
62,44
63,755
64,462
65,1350
66,18
67,174
68,2
69,8
70,57
71,482
72,52
73,795
74,1052
75,172
76,71
77,314
78,309
79,45
80,311
81,752
82,775
83,803
84,484
85,128
86,275
87,90
88,195
89,276
90,196
91,197
92,1426
93,146
94,326
95,205
96,714
97,1380
98,1381
99,38
100,80
101,356
102,358
103,235
104,357
105,5
106,108
107,674
108,236
109,79
110,352
111,629
112,252
113,390
114,416
115,630
116,624
117,383
118,526
119,1150
120,253
121,87
122,631
123,415
124,254
125,679
126,366
127,632
128,1129
129,1131
130,1134
131,1138
132,1139
133,623
134,1144
135,1140
136,1141
137,1142
138,545
139,981
140,231
141,1079
142,880
143,24
144,487
145,97
146,318
147,130
148,131
149,198
150,91
151,92
152,132
153,200
154,303
155,17
156,1184
157,0
158,882
159,622
160,1130
161,386
162,1280
163,675
164,470
165,758
166,1007
167,1185
168,471
169,312
170,472
171,1186
172,83
173,571
174,239
175,73
176,573
177,1036
178,368
179,1032
180,497
181,337
182,846
183,766
184,297
185,1439
186,60
187,139
188,1340
189,1353
190,701
191,437
192,695
193,566
194,1258
195,413
196,619
197,178
198,607
199,347
200,964
201,165
202,966
203,913
204,23
205,491
206,492
207,828
208,1008
209,569
210,993
211,107
212,454
213,455
214,28
215,171
216,374
217,1058
218,589
219,1060
220,1061
221,604
222,118
223,915
224,12
225,443
226,710
227,42
228,1083
229,176
230,117
231,599
232,1096
233,605
234,1098
235,245
236,244
237,372
238,7
239,917
240,342
241,158
242,920
243,101
244,510
245,511
246,512
247,93
248,503
249,922
250,680
251,32
252,190
253,261
254,662
255,661
256,1242
257,1193
258,641
259,292
260,493
261,530
262,829
263,830
264,831
265,500
266,328
267,666
268,330
269,834
270,331
271,888
272,227
273,634
274,255
275,600
276,84
277,25
278,1125
279,179
280,625
281,181
282,1153
283,962
284,64
285,182
286,137
287,26
288,48
289,40
290,256
291,458
292,459
293,460
294,719
295,767
296,293
297,724
298,725
299,450
300,185
301,237
302,188
303,186
304,650
305,1313
306,278
307,477
308,323
309,324
310,478
311,823
312,814
313,1133
314,926
315,9
316,395
317,638
318,639
319,111
320,82
321,94
322,113
323,120
324,577
325,1024
326,238
327,586
328,598
329,242
330,799
331,1136
332,1055
333,173
334,286
335,1391
336,1392
337,287
338,1410
339,208
340,671
341,192
342,266
343,22
344,434
345,199
346,33
347,400
348,264
349,367
350,191
351,213
352,123
353,126
354,465
355,1261
356,1262
357,1273
358,1264
359,1265
360,1266
361,664
362,747
363,977
364,46
365,1200
366,1037
367,81
368,1312
369,133
370,910
371,20
372,217
373,810
374,815
375,816
376,986
377,1271
378,1354
379,696
380,1043
381,672
382,1003
383,37
384,1421
385,291
386,1000
387,1212
388,1255
389,414
390,727
391,879
392,665
393,21
394,776
395,777
396,783
397,739
398,740
399,155
400,305
401,440
402,532
403,162
404,148
405,147
406,27
407,154
408,1081
409,385
410,1154
411,557
412,555
413,554
414,1013
415,354
416,104
417,1452
418,730
419,1453
420,1454
421,1455
422,731
423,36
424,250
425,247
426,614
427,995
428,1004
429,1002
430,1001
431,999
432,998
433,1339
434,282
435,531
436,163
437,890
438,891
439,892
440,893
441,894
442,102
443,520
444,521
445,898
446,1188
447,899
448,900
449,901
450,902
451,522
452,224
453,905
454,906
455,907
456,225
457,909
458,341
459,525
460,1049
461,39
462,59
463,1120
464,13
465,424
466,1285
467,1278
468,419
469,1341
470,156
471,855
472,856
473,75
474,858
475,859
476,821
477,1257
478,673
479,860
480,506
481,824
482,474
483,640
484,1162
485,1191
486,1192
487,643
488,1194
489,72
490,1195
491,1196
492,1197
493,1198
494,1199
495,574
496,1204
497,1205
498,1206
499,721
500,1207
501,306
502,1208
503,1190
504,1209
505,321
506,1210
507,645
508,1213
509,1214
510,1215
511,1216
512,1189
513,1201
514,1202
515,1169
516,1167
517,1168
518,1171
519,1170
520,1187
521,1172
522,1173
523,1174
524,1175
525,1176
526,1177
527,1178
528,1179
529,1180
530,1181
531,1182
532,1027
533,365
534,576
535,516
536,896
537,226
538,565
539,563
540,562
541,1009
542,476
543,529
544,34
545,560
546,19
547,504
548,838
549,863
550,839
551,54
552,870
553,412
554,308
555,152
556,96
557,263
558,136
559,659
560,1435
561,295
562,722
563,290
564,209
565,676
566,422
567,1274
568,667
569,904
570,76
571,528
572,1077
573,67
574,194
575,109
576,550
577,1075
578,551
579,77
580,929
581,708
582,203
583,1362
584,535
585,536
586,537
587,971
588,690
589,281
590,233
591,1409
592,447
593,1293
594,935
595,670
596,669
597,229
598,105
599,35
600,611
601,248
602,1413
603,145
604,1137
605,1082
606,47
607,540
608,945
609,345
610,847
611,1062
612,1309
613,382
614,249
615,1122
616,223
617,651
618,121
619,652
620,746
621,50
622,1433
623,1434
624,644
625,398
626,1203
627,1146
628,381
629,384
630,411
631,279
632,193
633,473
634,98
635,31
636,1387
637,207
638,467
639,496
640,241
641,1045
642,1046
643,841
644,134
645,280
646,135
647,1314
648,1315
649,1316
650,1317
651,161
652,930
653,246
654,1102
655,1103
656,609
657,1249
658,409
659,1148
660,802
661,534
662,1318
663,1329
664,881
665,228
666,938
667,635
668,66
669,1157
670,183
671,258
672,257
673,636
674,1164
675,637
676,1414
677,140
678,886
679,402
680,122
681,649
682,1221
683,344
684,518
685,160
686,403
687,658
688,262
689,720
690,448
691,723
692,351
693,55
694,232
695,222
696,498
697,157
698,707
699,1360
700,442
701,983
702,1389
703,285
704,296
705,770
706,151
707,595
708,114
709,115
710,1054
711,596
712,597
713,1051
714,63
715,216
716,325
717,818
718,819
719,642
720,433
721,431
722,1438
723,728
724,820
725,426
726,1295
727,942
728,538
729,996
730,1159
731,265
732,300
733,150
734,149
735,210
736,456
737,475
738,69
739,947
740,541
741,234
742,1010
743,1011
744,703
745,1365
746,874
747,864
748,865
749,866
750,169
751,332
752,868
753,346
754,869
755,543
756,955
757,371
758,370
759,668
760,56
761,787
762,1334
763,692
764,302
765,556
766,789
767,790
768,453
769,517
770,338
771,1302
772,1303
773,277
774,1068
775,1056
776,1067
777,1065
778,316
779,1059
780,373
781,1057
782,590
783,1183
784,1269
785,694
786,1151
787,1152
788,626
789,350
790,78
791,167
792,333
793,502
794,334
795,391
796,392
797,1336
798,283
799,432
800,138
801,1327
802,547
803,553
804,166
805,965
806,1301
807,274
808,527
809,903
810,340
811,837
812,74
813,1066
814,1361
815,438
816,1156
817,393
818,1158
819,1161
820,1163
821,100
822,353
823,112
824,240
825,364
826,394
827,579
828,584
829,1034
830,578
831,363
832,1042
833,1260
834,754
835,463
836,1018
837,65
838,1078
839,288
840,1407
841,523
842,524
843,980
844,973
845,61
846,660
847,717
848,446
849,421
850,1393
851,1394
852,1395
853,103
854,159
855,445
856,853
857,1343
858,449
859,1425
860,951
861,583
862,1305
863,1306
864,441
865,1307
866,1308
867,485
868,798
869,483
870,1119
871,612
872,219
873,699
874,700
875,568
876,58
877,180
878,1352
879,436
880,1351
881,743
882,396
883,397
884,1165
885,633
886,794
887,1041
888,911
889,606
890,1211
891,918
892,339
893,919
894,519
895,876
896,875
897,1035
898,702
899,439
900,377
901,378
902,379
903,843
904,327
905,407
906,852
907,1143
908,1408
909,1217
910,259
911,469
912,742
913,304
914,313
915,211
916,62
917,95
918,748
919,961
920,106
921,375
922,376
923,116
924,592
925,593
926,243
927,941
928,221
929,220
930,1238
931,1235
932,88
933,170
934,972
935,429
936,1326
937,1324
938,691
939,1093
940,1456
941,360
942,1031
943,533
944,765
945,89
946,270
947,268
948,271
949,494
950,1272
951,267
952,380
953,1100
954,1417
955,1418
956,1419
957,548
958,549
959,582
960,772
961,310
962,567
963,616
964,617
965,1118
966,1224
967,967
968,968
969,969
970,774
971,934
972,1376
973,713
974,1325
975,68
976,1330
977,1275
978,273
979,1366
980,709
981,187
982,124
983,1239
984,1240
985,1241
986,1254
987,1243
988,997
989,1160
990,1296
991,822
992,99
993,201
994,1429
995,1226
996,1227
997,509
998,1228
999,401
1000,1234
1001,260
1002,1231
1003,950
1004,539
1005,979
1006,988
1007,349
1008,982
1009,984
1010,561
1011,921
1012,1286
1013,653
1014,1233
1015,985
1016,1127
1017,1128
1018,585
1019,987
1020,923
1021,570
1022,1014
1023,1015
1024,202
1025,1033
1026,359
1027,1430
1028,726
1029,1431
1030,452
1031,1432
1032,978
1033,813
1034,317
1035,444
1036,1382
1037,737
1038,1147
1039,515
1040,1251
1041,15
1042,960
1043,546
1044,1080
1045,895
1046,793
1047,1363
1048,1244
1049,655
1050,827
1051,1105
1052,613
1053,939
1054,1378
1055,1218
1056,780
1057,963
1058,1338
1059,435
1060,212
1061,461
1062,153
1063,427
1064,681
1065,682
1066,428
1067,1005
1068,698
1069,952
1070,289
1071,1320
1072,1335
1073,693
1074,1323
1075,953
1076,867
1077,1416
1078,716
1079,486
1080,1225
1081,857
1082,771
1083,769
1084,812
1085,479
1086,480
1087,575
1088,1039
1089,481
1090,125
1091,1026
1092,807
1093,805
1094,826
1095,809
1096,348
1097,800
1098,797
1099,796
1100,587
1101,1364
1102,1259
1103,697
1104,908
1105,514
1106,936
1107,994
1108,1344
1109,1345
1110,603
1111,410
1112,1245
1113,1246
1114,299
1115,464
1116,423
1117,418
1118,1276
1119,420
1120,678
1121,1279
1122,1290
1123,1281
1124,1294
1125,1084
1126,1085
1127,1086
1128,1087
1129,1088
